match,players
1288311,"590326,326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192"
1288312,"590326,326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192"
1263464,"446548,326434,1076713,434813,787987,530011,219889,311592,489889,272279,267192"
1263465,"446548,326434,1076713,434813,787987,219889,311592,489889,272279,215155,267192"
1263466,"446548,326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192"
1263463,"376169,326434,1076713,774223,434813,787987,530011,219889,311592,272279,267192"
1263462,"326434,1076713,434813,787987,530011,288284,219889,311592,489889,272279,267192"
1288310,"326434,1076713,787987,530011,288284,219889,311592,489889,272279,215155,267192"
1223871,"772365,1076713,787987,288284,230193,219889,311592,489889,272279,267192,7252"
1223869,"1076713,787987,530011,326632,288284,230193,311592,489889,272279,267192,7252"
1223870,"1076713,787987,530011,326632,288284,230193,311592,489889,272279,267192,7252"
1223872,"1076713,434813,787987,288284,230193,219889,311592,489889,272279,267192,7252"
1145000,"774223,505110,434813,787987,530011,326632,311592,489889,272279,215155,7252"
1145001,"774223,505110,434813,787987,530011,326632,311592,489889,272279,215155,7252"
1144993,"434813,530011,5334,334337,288284,311592,489889,6683,272279,215155,7252"
1144994,"434813,530011,5334,334337,288284,311592,489889,6683,272279,215155,7252"
1144995,"434813,530011,5334,288284,272450,311592,489889,6683,272279,215155,7252"
1144996,"434813,787987,530011,334337,288284,311592,489889,6683,272279,215155,7252"
1152848,"434813,787987,530011,288284,230193,219889,272465,489889,272279,215155,7252"
1152849,"434813,787987,530011,288284,230193,219889,311592,489889,272279,267192,7252"
1152850,"434813,787987,288284,272450,230193,219889,489889,272279,267192,7252,7898"
1157370,"787987,530011,5334,230368,272450,311592,6683,272279,215155,7252,7898"
1157371,"787987,530011,5334,230368,272450,311592,6683,272279,215155,7252,7898"
1152847,"787987,530011,501011,288284,230193,219889,489889,272279,215155,267192,7252,7898"
1183530,"787987,530011,326632,288284,230193,219889,311592,489889,272279,267192,7252"
1183531,"787987,530011,326632,288284,230193,219889,311592,489889,272279,267192,7252"
1183532,"787987,530011,326632,288284,230193,219889,311592,489889,272279,267192,7252"
1183533,"787987,530011,326632,230193,219889,311592,272465,489889,272279,267192,7252"
1183534,"787987,530011,326632,230193,219889,311592,272465,489889,272279,267192,7252"
1152846,"530011,501011,230193,219889,272465,489889,272279,215155,267192,7252,7898"
1075985,"261230,722303,334337,326632,288284,272450,489889,6683,272279,215155,7252"
1072305,"501011,334337,288284,219889,311592,489889,6683,272279,215155,267192,7252"
1072306,"501011,334337,288284,219889,311592,489889,6683,272279,215155,267192,7252"
1072307,"501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1072308,"501011,288284,272450,215152,219889,489889,6683,272279,215155,267192,7252"
1072309,"501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1075982,"501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1075983,"501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1075984,"501011,288284,272450,219889,311592,489889,6683,272279,215155,267192,7252"
1000885,"557295,722303,334337,288284,7069,230193,219889,311592,272279,215155,267192"
1104285,"557295,722303,334337,7069,505120,325026,230193,219889,489889,272279,267192"
1000855,"722303,333780,334337,288284,215152,230193,219889,311592,272279,215155,267192"
1000881,"722303,333780,334337,288284,215152,230193,219889,311592,272279,215155,267192"
1000883,"722303,333780,334337,288284,215152,230193,219889,311592,272279,215155,267192"
1062573,"722303,334337,288284,7069,272450,230193,219889,311592,6683,272279,267192"
1062574,"722303,334337,288284,7069,272450,230193,219889,311592,6683,272279,267192"
1062575,"722303,334337,288284,7069,325026,230193,219889,489889,6683,272279,267192"
1062576,"722303,334337,288284,7069,325026,230193,219889,489889,6683,272279,267192"
1104284,"722303,334337,288284,505120,325026,230193,219889,489889,272279,215155,267192"
1000853,"439288,5236,6973,8119,326632,288284,219889,311592,272279,215155,267192"
995453,"230368,6973,8119,326632,288284,272450,219889,311592,272279,215155,267192"
995455,"230368,6973,8119,288284,272450,5961,219889,311592,6683,272279,267192"
743965,"6973,8119,288284,272450,219889,311592,272279,267192,7388,6033,4578"
