match,players
1288980,"990081,629059,990039,932355,629057,410765,629058,538506,629063,536936,373696"
1277978,"1161381,932355,629057,927619,629058,629063,536936,401057,373696,56143,56029"
1288979,"1161381,629059,990039,932355,629057,629058,538506,629063,536936,373696,56029"
1277100,"1161381,629059,932355,629057,927619,629058,538506,629063,536936,373696,56029"
1277101,"1161381,629059,932355,927619,629058,629063,536936,401057,373696,56194,56029"
1277977,"629059,821749,932355,629057,410763,410765,629058,629063,536936,401057,373696,56029"
1255829,"990039,821749,410763,629058,538506,629063,536936,401057,373696,56194,56029"
1213062,"821749,932355,269237,410763,629058,536936,401057,373696,300619,56025,56194"
1214666,"821749,932355,932635,269237,410763,629058,536936,401057,373696,56194,56029"
1255828,"821749,932355,410763,629058,538506,629063,536936,401057,373696,56194,56029"
1267676,"821749,932355,629057,629058,538506,629063,536936,373696,56025,56143,56029"
1153847,"932355,629057,927619,269237,410763,629063,536936,436677,373696,56025,56194"
1153848,"932355,629057,269237,410763,330902,536936,436677,401057,373696,56025,56194"
1187016,"932355,629057,269237,410763,629063,536936,401057,373696,56025,280734,56029"
1187017,"932355,629057,932635,269237,410763,629063,536936,401057,511532,373696,56025,280734,56029"
1153312,"629057,932635,269237,629063,536936,436677,401057,373696,56025,56143,56029"
1197138,"629057,932635,550133,629063,536936,436677,401057,373696,56025,56143,56029"
1244025,"629057,932635,629058,629063,330902,536936,401057,373696,56194,56143,56029"
1153311,"932635,269237,629063,330902,436677,401057,373696,56025,280734,56143,56029"
1244026,"932635,269237,410763,629058,629063,536936,436677,401057,373696,56194,56029"
1153640,"927619,269237,270135,629063,330902,536936,401057,373696,56025,280734,56029"
1153639,"446810,270135,410763,629058,629063,536936,401057,373696,56025,280734,56029"
1146717,"410763,410765,629063,375724,536936,373696,300619,56025,56194,56143,56029"
1146718,"410763,410765,629063,375724,536936,401057,373696,56025,56194,56143,56029"
1130744,"380974,550133,629063,330902,536936,401057,373696,56025,280734,56194,56029"
1083445,"550133,301847,373538,629063,330902,436677,401057,280734,56194,56143,56029"
1019987,"410765,629058,538506,373538,629063,375724,436677,300619,56025,56194,56143"
1019985,"538506,301847,373538,629063,375724,373696,56025,280734,56194,56143,56029"
