,0
1249210,"527776,747031,641423,665053,519082,398778,887207,351588,303669,10617,8608"
1239543,"527776,641423,665053,519082,398778,662973,308967,303669,297433,10617,8608"
1239544,"527776,519082,398778,662973,632172,351588,308967,8917,303669,297433,8608"
1239545,"527776,398778,662973,464626,236489,632172,308967,8917,303669,297433,8608"
1239546,"527776,398778,887207,464626,236489,632172,8917,247235,303669,297433,8608"
1249211,"747031,641423,665053,519082,457279,398778,887207,351588,303669,10617,8608"
1243015,"641423,665053,519082,662973,646847,455524,351588,308967,303669,297433,10617"
1243016,"641423,665053,519082,662973,646847,455524,351588,308967,303669,297433,8608"
1243384,"641423,519082,669855,398778,887207,646847,455524,308967,311158,303669,8608"
1243385,"641423,519082,457279,364788,398778,887207,455524,8917,311158,303669,10617"
1243387,"641423,665053,519082,364788,887207,646847,455524,311158,303669,297433,8608"
1187672,"665053,519082,669855,12454,398778,887207,662973,311158,247235,303669,10617"
1185305,"665053,519082,12454,887207,662973,646847,308967,311158,303669,10617,8608"
1185306,"665053,519082,12454,887207,662973,646847,351588,308967,311158,303669,10617"
1185307,"665053,519082,12454,887207,662973,351588,308967,311158,247235,303669,10617"
1225247,"665053,519082,669855,12454,398778,887207,646847,351588,308967,311158,8608"
1225248,"665053,519082,398778,887207,662973,646847,308967,311158,247235,303669,10617"
1198242,"665053,519082,398778,887207,662973,646847,308967,247235,303669,10617,8608"
1198243,"665053,519082,669855,398778,887207,646847,308967,247235,303669,10617,8608"
1243386,"665053,519082,669855,364788,887207,455524,311158,303669,297433,10617,8608"
1187671,"519082,669855,12454,398778,887207,662973,455524,308967,311158,303669,10617"
1185304,"519082,669855,12454,398778,662973,308967,311158,303669,297433,10617,8608"
1225249,"519082,669855,398778,887207,646847,308967,311158,247235,303669,10617,8608"
1198241,"519082,669855,398778,887207,646847,308967,311158,247235,303669,10617,8608"
1152847,"669855,298438,12454,398778,455524,308967,311158,247235,303669,297433,10617"
1152848,"669855,298438,12454,398778,455524,308967,311158,247235,303669,297433,10617"
1152849,"669855,298438,12454,398778,455524,464626,308967,311158,303669,297433,10617"
1152850,"669855,12454,398778,662973,455524,308967,311158,247235,303669,297433,10617"
1152839,"457279,298438,12454,398778,662973,455524,8917,24599,247235,303669,297433,10617"
1152846,"298438,12454,398778,308967,8917,311158,247235,303669,297433,10617,8608"
1158063,"12454,364788,398778,662973,308967,8917,311158,303669,297433,10617,8608"
1158064,"12454,398778,440780,351588,308967,8917,311158,303669,297433,10617,8608"
1140385,"364788,398778,662973,455524,440780,244497,308967,8917,311158,303669,8608"
1140386,"364788,398778,662973,455524,440780,244497,308967,8917,311158,303669,8608"
1140387,"364788,398778,455524,440780,244497,308967,8917,311158,303669,297433,10617"
1158062,"364788,398778,662973,440780,244497,308967,8917,311158,303669,297433,8608"
1119550,"887207,662973,440780,244497,308967,247235,303669,297433,10617,11728,8608"
1119551,"887207,440780,244497,308967,311158,247235,303669,297433,10617,11728,8608"
1119536,"662973,646847,236489,440780,308967,247235,303669,297433,10617,11728,8608"
1119549,"662973,236489,440780,244497,308967,311158,303669,297433,10617,11728,8608"
1119552,"662973,440780,244497,308967,8917,311158,303669,297433,10617,11728,8608"
1119553,"662973,440780,244497,308967,8917,311158,303669,297433,10617,11728,8608"
1119535,"646847,229954,236489,351588,308967,311158,303669,297433,10617,11728,8608"
1115781,"455524,229954,236489,296597,351588,311158,303669,297433,10617,11728,8608"
1072309,"660889,550235,229954,236489,296597,8917,303669,297433,10617,11728,8608"
1072308,"550235,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608"
1072306,"464626,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608"
1072307,"464626,229954,236489,296597,8917,247235,303669,297433,10617,11728,8608"
1115780,"464626,229954,236489,8917,311158,247235,303669,297433,10617,11728,8608"
1031659,"229954,214265,370535,236489,8917,311158,303669,297433,10617,11728,8608"
1031661,"229954,214265,236489,8917,311158,247235,303669,297433,10617,11728,8608"
1031663,"229954,214265,370535,236489,8917,311158,303669,297433,10617,11728,8608"
1072305,"229954,236489,414990,296597,8917,247235,303669,297433,10617,11728,8608"
1031441,"214265,370535,236489,440780,8917,311158,303669,297433,10617,11728,8608"
1031443,"214265,370535,236489,440780,8917,311158,303669,297433,10617,11728,8608"
1034817,"211855,440780,414990,244497,308967,8917,311158,303669,297433,10617,11728"
1031437,"211855,440780,351588,8917,232438,311158,303669,297433,10617,11728,8608"
1031439,"211855,440780,351588,8917,232438,311158,303669,297433,10617,11728,8608"
1034815,"440780,414990,244497,308967,8917,311158,247235,303669,297433,11728,8608"
1034809,"632172,349853,521637,244497,8917,311158,247235,303669,297433,10617,11728"
1034811,"632172,349853,521637,244497,8917,311158,303669,297433,10617,11728,8608"
1034813,"632172,244497,308967,8917,311158,247235,303669,297433,11728,9042,8608"
1029827,"349853,521637,244497,8917,232438,311158,247235,303669,297433,210283,11728"
1029825,"521637,244497,8917,232438,311158,247235,303669,297433,10617,11728,9042"
913641,"414990,296597,249866,8917,232438,247235,303669,297433,210283,10617,11728"
913613,"296597,249866,8917,311158,303669,11718,297433,210283,10617,11728,8608"
913615,"296597,249866,8917,247235,303669,11718,297433,210283,10617,11728,8608"
913617,"296597,249866,8917,247235,303669,11718,297433,210283,10617,11728,8608"
913643,"296597,249866,8917,232438,311158,247235,303669,297433,10617,11728,8608"
913645,"296597,249866,8917,232438,247235,303669,297433,210283,10617,11728,8608"
913647,"296597,249866,8917,232438,247235,303669,297433,210283,10617,11728,8608"
800461,"249866,8917,311158,247235,303669,11718,297635,297433,210283,10617,11728"
800463,"249866,8917,311158,303669,11718,297635,297433,210283,10617,11728,8608"
800465,"249866,8917,311158,303669,11718,297635,297433,210283,10617,11728,8608"
