match,players
1278674,"642519,554691,1070173,398438,277916,234675,376116,26421,32540,279810,236779"
1278675,"642519,554691,1070173,940973,398438,447587,376116,26421,253802,32540,279810"
1278682,"642519,398438,452044,931581,625383,447587,34102,481896,234675,26421,253802"
1278683,"642519,554691,398438,452044,931581,625383,34102,481896,234675,26421,253802"
1243385,"554691,1070173,940973,931581,559235,34102,277916,26421,253802,32540,236779"
1243386,"554691,719715,1070173,931581,625383,34102,277916,26421,253802,32540,236779"
1243387,"554691,719715,1070173,940973,931581,34102,277916,26421,253802,32540,236779"
1223872,"719715,802575,700167,1070173,940973,398438,475281,931581,34102,277916,32540"
1243384,"719715,1070173,31872,931581,625383,34102,277916,26421,253802,32540,236779"
1223871,"700167,1070173,940973,452044,931581,625383,34102,277916,234675,26421,32540"
1223870,"1070173,940973,398438,452044,931581,625383,277916,234675,376116,26421,32540"
1249875,"1070173,931581,625383,34102,481896,277916,234675,26421,253802,32540,236779"
1239543,"940973,475281,931581,625383,422108,34102,481896,277916,234675,253802,32540"
1239544,"940973,931581,625383,422108,34102,481896,277916,234675,253802,32540,236779"
1239545,"940973,931581,625383,422108,34102,481896,277916,234675,253802,32540,236779"
1239546,"940973,475281,931581,625383,422108,34102,277916,234675,376116,253802,32540"
1277079,"940973,398438,475281,931581,625383,422108,481896,277916,26421,253802,32540"
1277080,"940973,398438,475281,452044,931581,625383,422108,481896,277916,26421,32540"
1187009,"31872,398438,34102,481896,277916,234675,376116,26421,253802,32540,279810"
1144995,"398438,452044,931581,625383,34102,481896,277916,234675,253802,32540,236779"
1144996,"398438,452044,931581,625383,559235,422108,481896,277916,234675,253802,32540"
1188628,"398438,452044,931581,625383,422108,481896,277916,234675,253802,32540,236779"
1188629,"398438,452044,931581,625383,422108,481896,277916,234675,253802,32540,236779"
1187007,"398438,452044,34102,481896,277916,234675,26421,253802,32540,279810,236779"
1187008,"398438,34102,481896,277916,234675,376116,26421,253802,32540,279810,236779"
1187016,"398438,34102,481896,277916,234675,376116,26421,253802,32540,279810,236779"
1187017,"398438,34102,481896,277916,234675,376116,26421,253802,32540,279810,236779"
1187685,"398438,1070168,452044,931581,625383,481896,277916,26421,253802,32540,236779"
1187686,"398438,1070168,452044,931581,625383,481896,277916,234675,376116,253802,32540"
1223869,"398438,1070168,452044,625383,481896,277916,376116,26421,253802,32540,279810"
1277081,"398438,475281,931581,625383,422108,481896,277916,376116,26421,253802,32540"
