match,players
1249210,"379140,625960,55395,539511,502714,388802,233713,277906,38924,232364,38699"
1249211,"379140,547749,381743,595783,440516,539511,506612,388802,233713,277912,38699"
1249875,"379140,625960,55395,539511,388802,233713,277912,277906,38924,232364,38699"
1233957,"547749,625960,381743,440516,539511,388802,233713,277912,277906,232364,38699"
1233958,"547749,625960,381743,440516,539511,388802,233713,277912,38924,232364,38699"
1187685,"625960,595783,440516,55395,539511,388802,277912,277906,38924,232364,38699"
1187686,"625960,440516,55395,539511,388802,233713,277912,277906,38924,232364,38699"
1233962,"625960,440516,539511,502714,388802,233713,277912,277906,38924,232364,38699"
1233963,"625960,381743,440516,539511,506612,388802,277912,277906,38924,232364,38699"
1183534,"823509,38607,440516,277914,55395,506612,388802,213674,233713,38924,38699"
1183532,"493773,277914,55395,539511,502714,388802,233713,277906,38924,232364,38699"
1187672,"381743,277914,539511,502714,506612,388802,233713,277906,38924,232364,38699"
1157383,"38607,595783,277914,55395,539511,388802,277912,277906,38924,232364,38699"
1192873,"38607,595783,277914,539511,502714,388802,277912,277906,38924,232364,38699"
1192874,"38607,595783,277914,55395,539511,388802,277912,277906,38924,232364,38699"
1157381,"595783,277914,55395,539511,388802,559066,233713,277912,277906,38924,38699"
1157382,"595783,277914,55395,539511,388802,559066,233713,277912,277906,38924,38699"
1153838,"595783,277914,55395,539511,388802,233713,277912,277906,38924,232364,38699"
1153839,"595783,277914,55395,539511,388802,233713,277912,277906,38924,232364,38699"
1115793,"440516,277914,55395,539511,502714,506612,388802,233713,277912,277906,38699"
1115794,"440516,277914,55395,539511,502714,388802,233713,277912,277906,232364,38699"
1183533,"440516,55395,539511,502714,388802,233713,277912,277906,38924,232364,38699"
1020043,"36581,277914,55395,539511,355269,388802,233713,277906,38924,232364,38141"
1020045,"36581,277914,55395,539511,502714,506612,388802,233713,277906,38924,38141"
1019993,"277914,55395,539511,388802,213674,233713,277912,277906,38924,232364,38699"
1019995,"277914,55395,539511,502714,506612,388802,233713,277906,38924,232364,38699"
1019985,"277914,55395,539511,502714,388802,233713,277912,277906,38924,232364,38699"
1019987,"277914,55395,539511,502714,388802,233713,277912,277906,38924,232364,38699"
1020041,"277914,539511,502714,355269,388802,233713,277912,277906,38924,38699,38141"
1115780,"277914,55395,539511,388802,213674,233713,277912,277906,38924,232364,38699"
1115781,"277914,55395,539511,388802,559066,233713,277912,277906,38924,232364,38699"
1153847,"277914,55395,539511,388802,213674,233713,277912,277906,38924,232364,38699"
1153848,"277914,55395,539511,506612,388802,233713,277912,277906,38924,232364,38699"
1187671,"277914,55395,539511,502714,388802,233713,277912,277906,38924,232364,38699"
914237,"539511,497543,388802,277662,277912,362541,277906,38924,226492,232364,37737"
914239,"539511,506612,388802,277662,233713,277912,277906,38924,226492,232364,37737"
1024041,"539511,502714,388802,559066,233713,277912,277906,38924,226492,232364,38699"
1024043,"539511,502714,388802,559066,233713,277912,277906,38924,226492,232364,38699"
936127,"539511,502714,388802,233713,277912,362541,277906,38924,226492,232364,38699"
936129,"539511,502714,388802,233713,277912,362541,277906,38924,226492,232364,38699"
1030215,"539511,502714,7502,506612,388802,233713,277912,38924,226492,38699,38141"
892513,"502714,497543,388802,277912,362541,277906,38924,226492,232364,38699,37737"
914203,"502714,388802,233713,277912,362541,277906,38924,226492,232364,38699,37737"
914205,"502714,388802,233713,277912,362541,277906,38924,226492,232364,38699,37737"
1030213,"502714,7502,497543,388802,559066,233713,277912,277906,38924,226492,38699"
1030217,"502714,7502,506612,355269,388802,277912,277906,38924,226492,38699,38141"
743941,"7502,506612,497543,388802,277912,277906,38924,226492,232364,38699,37737"
743939,"506612,497543,388802,277662,277912,277906,38924,226492,232364,38699,37737"
892511,"506612,497543,388802,277912,362541,277906,38924,226492,232364,38699,37737"
730277,"497543,355269,388802,559066,277912,277906,38924,232364,38699,37091,37737"
730279,"497543,355269,388802,559066,331375,277912,277906,38924,232364,38699,37737"
730281,"497543,355269,388802,331375,233713,277912,277906,38924,232364,38699,37737"
742611,"497543,355269,388802,559066,277662,277912,277906,38924,232364,38699,37737"
742613,"497543,355269,388802,559066,277662,277912,277906,38924,232364,38699,37737"
742615,"497543,388802,559066,277662,277912,277906,38924,232364,38699,37737,38710"
749777,"497543,355269,388802,331375,233713,277912,277906,38924,232364,38699,37737"
749779,"497543,355269,388802,331375,277912,362541,277906,38924,232364,38699,37737"
892509,"497543,355269,388802,277912,362541,277906,38924,226492,232364,38699,37737"
667653,"355269,388802,277662,331375,233713,277912,277906,38924,232364,37091,37737"
668949,"559066,277662,331375,37745,277912,362541,277906,38924,38699,37091,37737"
668951,"559066,277662,331375,233713,277912,362541,277906,38924,38699,37091,37737"
661679,"559066,277662,331375,233713,277912,38924,38264,232364,38699,37091,37737"
661681,"559066,277662,331375,233713,277912,277906,38924,232364,38699,37091,37737"
661683,"559066,277662,331375,233713,277912,277906,38924,232364,38699,37091,37737"
667651,"559066,277662,331375,233713,277912,277906,38924,232364,38699,37091,37737"
569243,"331375,37745,233713,277912,4493,277906,38924,232364,38699,37091,37737"
569244,"331375,37745,233713,277912,4493,277906,38924,232364,38699,37091,37737"
569245,"331375,37745,233713,277912,4493,277906,38924,232364,38699,37091,37737"
566921,"331375,37745,233713,277912,4493,277906,38924,232364,38699,37091,37737"
566922,"331375,233713,277912,4493,362541,277906,226492,232364,38699,37091,37737"
567357,"232359,233713,277912,4493,362541,277906,38924,226492,37095,38141,37737"
582193,"213674,47780,277912,362541,277906,226492,37095,232364,38699,38141,37737"
560929,"233713,47780,4493,362541,277906,226492,37095,38699,37737,37700,38710"
560930,"233713,47780,277912,4493,362541,277906,38924,226492,232364,38699,37737"
520603,"47780,38058,277912,362541,277906,226492,232364,38699,37737,37700,38710"
520604,"47780,38058,362541,277906,36194,226492,37111,38699,37737,37700,38710"
520605,"47780,4493,362541,277906,226492,37095,37111,38699,37737,37700,38710"
565817,"47780,277912,362541,277906,226492,37095,38699,38141,37737,37004,37700"
565818,"47780,277912,362541,277906,226492,37095,232364,38699,38141,37737,37004"
582192,"47780,277912,362541,277906,226492,37095,232364,38699,38141,37737,37004"
518948,"277912,4493,362541,38931,277906,226492,38373,232364,38699,37737,37700"
520591,"277912,4493,362541,277906,38924,226492,232364,38699,37737,37700,38710"
567356,"277912,4493,362541,277906,38924,226492,37095,38141,37737,37004,37700"
527017,"4493,362541,38931,277906,38924,226492,38699,38141,37737,37700,38710"
518947,"4493,362541,38931,277906,226492,38373,232364,38699,37737,37700,38710"
473921,"38931,277906,36194,226492,37706,38373,232364,38699,37737,37700,38710"
473922,"38931,277906,36194,226492,38373,232364,38699,37737,37004,37700,38710"
464533,"38005,277906,226492,37706,38373,37248,232364,38699,37737,37700,38710"
464531,"277906,226493,38924,37706,38373,37248,38699,38141,37737,37700,38710"
464532,"277906,36194,226492,37706,38373,37248,232364,38699,37737,37700,38710"
423789,"36194,38952,38924,226492,37706,232364,38699,37737,37700,38620,38710"
423790,"36194,38924,226492,37706,232364,38699,38141,37737,37700,38393,38710"
423786,"38952,38924,226492,37706,232364,38699,38141,37737,37700,38620,38710"
423780,"38924,226492,37706,37095,232364,38699,38108,37737,37700,38620,38710"
366628,"226492,37706,38373,37095,38699,38108,37740,37737,37004,37700,38710"
386496,"226492,37706,38373,38699,38141,37265,38108,37737,37004,37700,38710"
366629,"226492,37706,38373,37095,232364,38699,38108,37737,37004,37700,38710"
403378,"226492,37706,38373,37095,38699,38141,38108,37737,38062,37700,38710"
403379,"226492,37706,38373,37095,38699,38141,38108,37737,38062,37700,38710"
423778,"226492,37706,37095,44956,38699,37091,38108,37737,36326,37700,38710"
