match,players
1277977,"922941,1062812,238672,39950,1072470,681117,681305,323389,348144,39037,40250"
1277978,"922941,1062812,238672,39950,1072470,681117,681305,323389,348144,39037,40250"
1257187,"43409,1062812,238672,598905,39950,1072470,681305,323389,348144,39037,40250"
1257186,"1062812,238672,598905,39950,1072470,681117,681305,323389,348144,39037,40250"
1243017,"238672,598905,39950,1072470,681117,681305,323389,348144,43685,39037,40250"
1243018,"238672,598905,39950,1072470,681117,681305,323389,348144,43685,39037,40250"
1263170,"238672,598905,39950,1072470,681117,681305,389666,323389,348144,39037,40250"
1263169,"598905,39950,1072470,681117,681305,389666,323389,348144,43685,39037,40250"
1233963,"348154,39950,1158088,1072470,681117,318788,389666,323389,233901,39037,40250"
1206635,"697279,39950,1158088,1072470,318788,389666,323389,348144,233901,316397,39037"
1206636,"39950,1158088,1072470,318788,389666,323389,348144,43685,233901,316397,39037"
1213062,"39950,1158088,1072470,318788,389666,323389,348144,43685,233901,316397,39037"
1198241,"39950,1158088,1072470,922943,389666,323389,348144,43685,233901,316397,39037"
1198242,"39950,1158088,1072470,389666,323389,348144,43685,233901,316397,39037,40250"
1198243,"39950,1158088,1072470,389666,323389,348144,43685,233901,316397,39037,40250"
1233962,"39950,1158088,1072470,681117,318788,389666,323389,43685,233901,39037,40250"
1183531,"1072472,1072470,568276,389666,323389,348144,480603,43685,233901,316397,39037"
1183530,"1158088,1072470,318788,323389,348144,480603,43685,316363,233901,316397,39037"
1157383,"1072470,498875,568276,318788,681305,348144,43685,316397,39037,227760,41434"
1144153,"1072470,512191,568276,681305,348144,43685,233901,316397,39037,227760,290948"
1144154,"1072470,512191,568276,389666,348144,43685,233901,316397,39037,227760,290948"
1157371,"556684,512191,498875,318788,389666,348144,43685,316397,39037,227760,41434"
1157370,"498875,568276,318788,389666,348144,43685,316397,43590,39037,227760,41434"
1157381,"498875,568276,318788,681305,389666,348144,43685,316397,39037,227760,41434"
1157382,"498875,568276,318788,681305,389666,348144,43685,316397,39037,227760,41434"
1119536,"260519,568276,681117,318788,681305,922943,389666,316397,39037,227760,290948"
1127284,"568276,681117,318788,922943,389666,348144,323244,316397,39037,227760,290948"
1119535,"568276,681117,318788,681305,922943,389666,348144,316397,39037,227760,290948"
1144155,"568276,681117,681305,922943,389666,348144,233901,316397,39037,227760,290948"
1120284,"318788,681305,389666,348144,547079,43685,233901,316397,39037,227760,290948"
1120285,"318788,389666,348144,547079,43685,233901,316397,43590,39037,227760,290948"
1077955,"681305,389666,348144,43685,233901,316397,39037,227760,290948,41378,43652"
1077954,"922943,389666,348144,43685,259410,316397,39037,227760,290948,41378,43652"
1077953,"389666,348144,43685,259410,316397,43590,39037,227760,290948,41378,43652"
1000885,"227762,348144,43685,316363,316397,43590,39037,227760,290948,41378,43652"
1019995,"323389,348144,547079,316363,316397,43590,39037,227760,290948,317252,43652"
1050229,"348148,348144,547079,43685,316397,43590,39037,227760,290948,317252,41378"
1050231,"348148,547079,43685,43871,323244,316397,39037,227760,317252,41378,43652"
1050233,"348148,547079,43685,43871,316397,43590,39037,227760,290948,41378,43652"
1019993,"348144,547079,43685,323244,316397,39037,227760,290948,317252,41378,43652"
1000881,"348144,547079,43685,323244,316397,43590,39037,227760,290948,41378,43652"
1000883,"348144,547079,43685,316397,43590,39037,227760,290948,317252,41378,43652"
913647,"480603,547079,43685,316397,43590,39037,227760,290948,317252,41378,43652"
858493,"547079,43685,43871,259551,316397,43590,39037,227760,41434,41378,43652"
858495,"547079,43685,316363,259551,316397,43590,39037,227760,41434,41378,43652"
913645,"547079,43685,323244,316397,39037,227760,290948,317252,41434,41378,43652"
727927,"43685,316363,259410,43871,323244,316397,39037,227760,41434,41378,43652"
727929,"43685,316363,259410,43871,323244,316397,39037,227760,41434,41378,43652"
742611,"43685,316363,259410,43871,323244,316397,39037,227760,41434,41378,43652"
742613,"43685,43871,233901,547092,323244,316397,39037,227760,43363,41378,43652"
742615,"43685,43871,233901,323244,316397,39037,227760,227771,41434,41378,43652"
860263,"43685,259410,43871,259551,316397,43590,39037,227760,41434,41378,43652"
860265,"43685,259410,43871,259551,316397,43590,39037,227760,41434,41378,43652"
860267,"43685,316363,259410,233901,547092,323244,316397,39037,227760,41378,43652"
902637,"43685,316363,43871,233901,316397,43590,227760,41434,42657,41378,43652"
902639,"43685,43871,323244,316397,43590,39037,227760,41434,42657,41378,43652"
913641,"43685,233901,323244,316397,43590,39037,227760,290948,41434,41378,43652"
913643,"43685,233901,323244,316397,43590,39037,227760,290948,41434,41378,43652"
902635,"316363,43871,233901,323244,316397,43590,227760,41434,42657,41378,43652"
657647,"343305,259410,323244,259551,316397,39038,42699,41140,41434,41378,43652"
657649,"343305,259410,323244,259551,316397,227760,42699,41140,41434,41378,43652"
657651,"259410,259551,316397,39037,227760,42699,227771,41140,39091,41378,43652"
745153,"259410,259551,316397,39037,227760,42699,227771,41140,39091,41378,43652"
745155,"259410,259551,316397,43590,39037,227760,42699,41140,39091,41378,43652"
649087,"43871,233901,429981,259551,316397,39038,39037,42699,41140,41378,43652"
649089,"43871,233901,429981,259551,316397,39038,39037,42699,41140,41378,43652"
567365,"547092,429981,323244,316397,39037,227760,42699,41434,41378,40582,43652"
567364,"429981,42321,43307,316397,39037,227760,42699,43524,41434,41378,43652"
567363,"323244,42321,259551,316397,39037,227760,42699,43524,41434,41378,43652"
659555,"323244,259551,316397,39038,39037,42699,41140,39091,41434,41378,43652"
659557,"323244,259551,316397,39038,39037,42699,41140,39091,41434,41378,43652"
562444,"41557,259551,316397,39038,39037,42699,39091,43524,41434,43363,43652"
523731,"259551,39821,39038,39037,317273,42699,317252,41434,43363,41378,43652"
530424,"259551,39821,316397,39038,39037,42699,43524,41434,43363,41378,43652"
530425,"259551,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
530426,"259551,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
531629,"259551,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
562445,"259551,39821,316397,39038,39037,42699,39091,41434,43363,41378,43652"
562446,"259551,316397,39038,39037,42699,43524,41434,43363,41324,41378,43652"
538072,"39821,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
538073,"39821,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
531628,"39821,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
531630,"39821,316397,39038,39037,42699,39091,43524,41434,43363,41378,43652"
489218,"41481,316397,43590,39037,317273,42699,39091,43524,41434,43363,41378"
489219,"41481,43307,316397,43590,39037,317273,42699,39091,41434,43363,41378"
461572,"43307,316397,39038,39037,39091,43524,41434,43363,41324,41378,43652"
473921,"43307,316397,39038,43590,39037,39091,43524,41434,43363,41378,43652"
473922,"43307,316397,39038,43590,39037,39091,43524,41434,43363,41378,43652"
461571,"39038,43590,39037,317273,42699,39091,43524,41434,43363,41378,43652"
426415,"43590,39037,317273,42699,290948,41411,42683,43656,41028,40582,43650"
426416,"43590,39037,317273,42699,290948,41411,42683,43656,41028,40582,43650"
426414,"43860,288211,39037,317273,42699,290948,41411,42683,43524,42657,40582"
426394,"288211,39037,317273,290948,41411,42683,43524,41028,40582,40043,42639"
426395,"288211,39037,317273,290948,41411,42683,43524,41028,42657,40582,40043"
426413,"288211,39037,317273,290948,41411,42683,43524,41028,42657,40582,40043"
406201,"227760,317273,290948,41140,41411,42683,43524,42657,40582,40043,43650"
423778,"317273,40250,42699,290948,41140,41411,43524,41028,42657,40582,43650"
423779,"317273,290948,41411,42683,43524,41028,42657,41378,40582,40043,43650"
423780,"317273,290948,41411,42683,43524,41028,41378,40582,40088,40043,43650"
406199,"317273,42699,290948,39084,41411,42683,41028,41378,40582,40088,43650"
406200,"317273,41411,42683,43524,41028,41324,41378,40582,40088,40043,43650"
403368,"40250,42699,290948,39084,41140,43524,41028,42657,41378,43652,43650"
403369,"40250,42699,290948,41140,43524,41028,42657,41378,40043,43652,43650"
403367,"42699,290948,39084,41140,42683,43524,41028,42657,41378,43652,43650"
388994,"227771,41140,43654,42683,43524,41028,42657,41378,40088,40043,43652"
388993,"317252,41140,43654,42683,43524,41028,42657,41378,40088,40043,43652"
297808,"43654,42683,43656,41028,41324,41378,40088,40043,43652,43650,42655"
297806,"43265,42683,43656,41028,42657,41324,41378,40043,43652,43650,42655"
297807,"43265,42683,43656,41028,41324,41378,40088,40043,43652,43650,42655"
299004,"39091,41411,42683,43524,41434,41028,42657,41378,40088,40043,43652"
299005,"39091,41411,42683,43524,41028,42657,41378,40043,43652,43650,40570"
238217,"40591,41411,43524,41028,40582,40088,40043,43652,39836,43650,40570"
209930,"39956,42272,39041,42683,43656,42632,41028,40043,43652,39836,42639"
64115,"41411,42272,39041,42683,43656,41028,40043,43652,42639,43650,42655"
233797,"41411,42683,41028,42657,40043,43652,39836,42639,43650,42655,40570"
234783,"41411,42683,41028,40582,40088,40043,43652,39836,42639,43650,42655"
238216,"41411,43524,41028,42657,40582,40088,40043,43652,39836,42639,40570"
225258,"41411,43524,41434,41028,40582,40088,40043,43652,43650,42646,40570"
250665,"41411,42272,43656,41434,41028,40582,40088,40043,43652,42646,40570"
250666,"41411,43656,41434,41028,41324,40582,40043,43652,43650,42655,40570"
250667,"41411,43656,41434,41028,41324,40582,40043,43652,43650,42646,40570"
64113,"41452,42683,41028,41324,40582,40043,43652,39836,43650,42655,40570"
64126,"41452,39041,41028,43363,41324,40043,43652,39836,42639,43650,40570"
64106,"42590,42272,43656,41028,42657,40582,40043,43652,39836,43650,40570"
64125,"42272,39041,42683,41028,43363,41324,40043,43652,39836,43650,40570"
210368,"42272,39041,43656,42632,41028,42657,40043,43652,39836,42639,40570"
226350,"42272,42683,41028,42657,41324,40043,43652,42639,43650,42655,40570"
