match,players
1277101,"318842,379887,605661,481803,324260,595004,485676,698189,486679,267724,432960,372116,230852"
1277100,"379887,605661,324260,595004,485676,698189,486679,267724,432960,372116,230852"
1288981,"481803,324260,696401,595004,337790,550187,600498,486679,550215,372116,230852"
1288982,"324260,696401,595004,698143,337790,698189,600498,267724,550215,372116,230852"
1277079,"696401,485676,337790,698189,542023,600498,267724,550215,372116,379143,230852"
1277080,"696401,595004,485676,337790,542023,600498,486679,267724,550215,372116,230852"
1277081,"696401,595004,485676,337790,542023,600498,486679,267724,550215,372116,230852"
1263149,"595004,485676,337790,481979,698189,542023,600498,267724,550215,379143,230852"
1263150,"595004,485676,337790,481979,698189,542023,600498,267724,550215,379143,230852"
1237356,"698143,337790,481979,698189,542023,600498,267724,372116,379143,230852,44828"
1237357,"698143,337790,481979,698189,542023,600498,267724,372116,379143,230852,44828"
1185307,"379927,327947,277390,337790,327830,481979,372116,379143,230852,44828,46945"
1185306,"327947,277390,337790,481979,550187,267724,550215,379143,230852,44828,46945"
1185305,"277390,337790,327830,481979,550187,267724,550215,379143,230852,44828,46945"
1185304,"337790,327830,481979,550187,600498,267724,550215,379143,230852,44828,46945"
1243017,"337790,481875,481979,542023,600498,267724,550215,372116,379143,230852,44828"
1243018,"337790,481875,481979,698189,600498,267724,550215,372116,379143,230852,44828"
1187009,"481875,436757,481979,550187,542023,486672,550215,372116,379926,379143,230852,44828"
1187008,"481979,535393,600498,486672,267724,550215,372116,379143,230852,44828,46945"
1187007,"535393,600498,486672,267724,550215,372116,379926,379143,230852,44828,46945"
1144165,"698189,600498,486679,267724,550215,372116,379143,230852,44828,47492,43906"
1144155,"550187,600498,486672,486679,550215,372116,379143,230852,46945,47492,43906"
1122277,"542023,600498,267724,550215,379143,230852,44828,46945,46538,44936,43906"
1122278,"542023,540316,600498,550215,379143,230852,44828,46945,46538,44936,43906"
1075983,"542023,600498,486672,267724,550215,379143,230852,44828,46945,44936,43906"
1142582,"542023,600498,486672,267724,550215,372116,379143,230852,44828,47492,43906"
1075502,"540316,600498,486679,267724,550215,372116,379143,230852,44828,46538,43906"
1075503,"540316,600498,486679,267724,550215,372116,379143,230852,44828,265564,43906"
1122310,"540316,600498,267724,550215,372116,379143,230852,46945,46538,44936,43906"
1122276,"600498,267724,550215,379143,230852,44828,46945,46538,47492,44936,43906"
1075982,"600498,486672,267724,550215,379143,230852,44828,46945,46538,44936,43906"
1075984,"600498,267724,550215,372116,379143,230852,44828,46945,46538,44936,43906"
1075985,"600498,267724,550215,372116,379143,230852,44828,46945,46538,44936,43906"
1142581,"600498,379145,267724,550215,372116,379143,230852,44828,46945,47492,43906"
1144153,"600498,486672,486679,267724,550215,372116,379143,230852,44828,47492,43906"
1144154,"600498,486672,486679,550215,372116,379143,230852,44828,46945,47492,43906"
1144164,"600498,486679,267724,550215,372116,379143,230852,44828,46945,47492,43906"
1031437,"45955,486672,267724,550215,372116,379143,230852,46945,44932,46538,43906"
1031439,"45955,486679,267724,439952,372116,379143,230852,44828,46945,46538,43906"
1031441,"45955,267724,439952,550215,372116,379143,230852,44828,46945,46538,43906"
1031443,"45955,486672,486679,267724,550215,372116,379143,230852,44828,46538,43906"
1020045,"486672,267724,550215,372116,379143,230852,44828,46945,44932,46538,43906"
936151,"486679,44656,550215,372116,379143,230852,44828,46945,265564,44932,43906"
1000855,"379145,44656,550215,372116,379143,297583,230852,44828,46945,44932,43906"
1000851,"267724,44656,550215,372116,379143,230852,44828,46945,44932,47492,43906"
1000853,"267724,44656,550215,372116,379143,297583,230852,44828,46945,44932,43906"
936147,"267724,44656,550215,372116,379143,297583,230852,44828,46945,44932,43906"
936149,"267724,44656,550215,372116,379143,297583,230852,44828,46945,44932,43906"
1020041,"267724,44656,550215,372116,379143,230852,44828,46945,44932,46538,43906"
1020043,"267724,44656,550215,372116,379143,230852,44828,46945,44932,46538,43906"
800467,"44656,550215,372116,379926,379143,297583,230852,44932,46538,44936,43906"
936127,"44656,550215,372116,379926,379143,230852,44828,46945,44932,47492,43906"
936129,"44656,550215,372116,267479,379926,379143,44828,46945,44932,47492,43906"
800465,"375126,439952,550215,262456,372116,267479,230852,44828,46538,44936,43906"
800463,"439952,550215,372116,267479,379926,379143,230852,44828,46538,44936,43906"
903603,"550215,262456,432960,267479,230852,44828,46945,40618,47492,44936,43906"
903605,"550215,262456,267479,297583,230852,44828,40618,44932,46538,44936,43906"
903607,"550215,262456,432960,267479,230852,44828,40618,44932,46538,44936,43906"
817215,"262456,432960,372116,267479,230852,44828,46945,44932,46538,47492,43906"
903609,"262456,372116,379926,297583,230852,44828,40618,44932,46538,44936,43906"
722333,"432960,372116,267479,230852,44828,46945,46934,46538,47492,44936,43906"
817213,"432960,372116,267479,379143,230852,44828,46945,44932,46538,47492,43906"
722331,"372116,267479,230852,44828,46945,40618,46934,46538,47492,44936,43906"
800461,"372116,267479,379926,297583,230852,44828,44932,46538,47492,44936,43906"
722329,"267479,379143,297583,230852,44828,46945,46934,46538,47492,44936,43906"
736435,"379926,379143,230852,44828,46945,46934,44932,46538,47492,44936,43906"
648675,"379143,230852,44828,46945,265564,44932,46538,47492,44936,43906,47270"
730089,"379143,230852,44828,46945,40618,46934,44932,46538,47492,44936,43906"
730091,"379143,230852,44828,46945,40618,46934,44932,46538,47492,44936,43906"
567365,"297583,230852,44828,45949,46945,46934,47492,44936,43906,46750,47270"
648677,"297583,230852,44828,46945,46934,44932,46538,47492,44936,43906,47270"
573009,"230852,44828,46945,46934,46538,47492,44936,43906,46750,47270,45789"
567356,"230852,44828,46945,46934,46538,47492,44936,43906,46750,47270,45789"
567357,"230852,44828,45949,46934,46538,47492,44936,43906,46750,47270,45789"
567363,"230852,44828,46945,46934,46538,47492,44936,43906,46750,47270,45789"
567364,"230852,44828,46945,46934,46538,47492,44936,43906,46750,47270,45789"
649089,"230852,44828,46945,40618,46934,44932,46538,47492,44936,47270,45789"
573008,"44828,45949,40618,46934,46538,47492,44936,43906,47015,47270,45789"
649087,"44828,46945,46934,44932,46538,47492,44936,43906,46750,47270,45789"
648665,"44828,46945,40618,46934,44932,46538,47492,44936,43906,47270,45789"
648667,"44828,46945,46934,44932,46538,47492,44936,43906,46750,47270,45789"
648673,"44828,46945,46934,46393,44932,46538,47492,44936,43906,46750,47270"
573007,"45949,46945,46934,44932,46538,47492,44936,43906,47015,47270,45789"
514033,"393279,40618,46538,47492,44936,43906,47015,47270,46788,44111,45789"
520605,"393279,46945,46934,44932,46538,47492,44936,43906,47015,47270,44111"
514029,"46945,40618,46538,47492,44936,43906,47015,47270,46788,44111,45789"
514030,"46945,40618,46538,47492,44936,43906,47015,47270,46788,44111,45789"
514032,"46945,40618,46538,47492,44936,43906,47015,47270,46788,44111,45789"
514034,"46945,40618,46934,46538,47492,44936,43906,47015,47270,44111,45789"
520603,"46945,40618,46934,46538,47492,44936,43906,47015,47270,44111,45789"
520604,"46945,40618,46934,46538,47492,44936,43906,47015,47270,44111,45789"
534225,"46945,40618,46934,44932,46538,47492,44936,43906,47015,47270,45789"
534226,"46945,40618,46934,44932,46538,47492,44936,43906,47015,47270,45789"
534227,"46945,40618,46934,44932,46538,47492,44936,43906,47015,47270,45789"
439152,"47666,46934,45568,46538,47492,44936,43906,47270,46788,44111,45789"
439153,"47666,46934,45568,46538,47492,44936,43906,47270,46788,44111,45789"
463146,"47666,46934,45568,46538,47492,44936,43906,47270,46788,44111,45789"
463147,"47666,46934,45568,46538,47492,44936,43906,47270,46788,44111,45789"
463148,"47666,46934,45568,46538,47492,44936,43906,47270,46788,44111,45789"
441826,"46934,265564,44932,45568,46538,47492,44936,43906,47270,46788,45789"
439154,"46934,45568,46538,44149,47492,44936,43906,47270,46788,44111,45789"
461571,"46934,45568,46538,44149,47492,44936,43906,47270,46788,44111,45789"
461572,"46934,45568,46538,44149,47492,44936,43906,47270,46788,44111,45789"
387573,"265564,46393,44932,46538,47492,44936,43906,47270,46788,44111,45789"
441825,"265564,44932,45568,46538,47492,44936,43906,47270,46788,44111,45789"
387570,"44930,44932,45568,46538,44936,43906,47270,46788,46592,44111,45789"
387572,"44930,44932,45568,46538,47492,44936,43906,47270,46788,44111,45789"
350474,"46248,45932,44932,45568,47492,44936,43906,46788,46592,44111,45789"
351681,"44932,45568,46538,47492,44936,43906,47270,46208,46592,44111,45789"
351682,"44932,45568,46538,47492,44936,43906,47270,46208,46592,44111,45789"
351683,"44932,45568,46538,47492,44936,43906,47270,46208,46592,44111,45789"
350472,"44932,45568,46538,47492,44936,43906,47270,46208,46592,44111,45789"
350473,"44932,45568,46538,47492,44936,43906,47270,46208,46592,44111,45789"
387571,"44932,45568,46538,47492,44936,43906,47270,46788,46592,44111,45789"
249217,"45568,47492,44936,43906,47270,46788,46592,44111,45224,45789,46774"
250665,"45568,44936,43906,47270,46788,46569,46592,44111,45224,45789,46774"
250666,"45568,44936,43906,47270,46788,46569,46592,44111,45224,45789,46774"
250667,"45568,47492,44936,43906,47270,45396,46788,44708,46592,44111,45789"
299004,"45568,47492,44936,43906,47270,46788,46569,46592,44111,45224,45789"
299005,"45568,47492,44936,43906,47270,46788,46569,46592,44111,45224,45789"
298793,"45568,47492,44936,43906,47270,46788,46569,46592,44111,45224,45789"
298794,"45568,47492,44936,43906,47270,46788,46569,46592,44111,45224,45789"
298801,"45568,47492,44936,43906,47270,46788,46569,46592,44111,45224,45789"
298802,"45568,47492,44936,43906,47270,46788,46569,46208,46592,44111,45789"
332911,"45568,46538,47492,44936,43906,47270,46788,46208,46592,44111,45789"
332912,"45568,46538,47492,44936,43906,47270,46788,46208,46592,44111,45789"
332913,"45568,46538,47492,44936,43906,47270,46788,46208,46592,44111,45789"
296909,"45568,46538,47492,44936,43906,47270,46788,46208,46592,44111,45789"
296910,"45568,46538,47492,44936,43906,47270,46788,46208,46592,44111,45789"
296911,"45568,46538,44936,43906,47270,46788,46569,46208,46592,44111,45789"
