match,players
1288346,"784367,1028665,1028655,629084,366725,848109,465793,227772,300628,49619,49764"
1278682,"784367,1028655,848109,784375,465783,465793,429754,227772,301236,49619,49764"
1278683,"784367,1028665,848109,465783,465793,629074,429754,227772,301236,49619,49764"
1255829,"1028665,1028655,629084,366725,465783,465793,429754,227772,301236,49619,49764"
1288345,"1028665,1028655,629084,366725,848109,465793,552152,227772,300628,49619,49764"
1252073,"1028655,366725,848109,465783,465793,552152,429754,227772,300628,301236,49619"
1252074,"1028655,366725,848109,465783,465793,552152,429754,227772,300628,301236,49619"
1255828,"1028655,784379,366725,784375,465783,465793,429754,227772,301236,49619,49764"
1243016,"629084,786925,366725,848109,300631,429754,49920,300628,301236,49619,49764"
1237357,"786925,629075,784379,465783,437316,629074,300631,552152,429754,227772,301236"
1243015,"786925,784379,848109,437316,629074,300631,429754,49920,300628,301236,49764"
1237356,"784379,499594,784375,465783,465793,437316,629074,300631,429754,227772,300628"
1144164,"366725,848109,499594,465783,465793,629074,300631,429754,227772,301236,49619"
1144165,"366725,848109,499594,465783,465793,629074,300631,429754,227772,301236,49619"
1206635,"366725,499594,784375,465783,465793,629074,429754,49920,227772,300628,49764"
1206636,"366725,848109,784375,465783,465793,629074,429754,49920,227772,300628,49764"
1212541,"366725,848109,499594,784375,465793,629074,429754,227772,300628,49619,49764"
1212542,"366725,848109,784375,465783,465793,629074,429754,227772,300628,49619,49764"
1192873,"848109,574178,784375,465793,629074,300631,429754,227772,301236,49619,49764"
1192874,"848109,784375,465793,629074,300631,429754,49920,227772,301236,49619,49764"
1145001,"623695,499594,465783,465793,629074,300631,429754,49920,227772,300628,301236"
1135150,"50802,499594,574178,237310,784375,465793,629074,300631,429754,300628,49619"
1135151,"50802,499594,237310,345821,784375,465793,629074,300631,429754,49920,49619"
1153838,"499594,345821,784375,465793,629074,429754,49920,227772,300628,49619,49764"
1130745,"574178,237310,345821,465793,629074,429754,49920,227772,300628,49619,49178"
1142582,"574178,237310,345821,465793,629074,429754,49920,227772,49619,49764,49178"
1140385,"574178,465793,629074,429754,49920,227772,300628,50482,49619,49764,49178"
1140386,"574178,237310,50205,465793,629074,429754,49920,227772,50482,49619,49764"
1122725,"237310,629076,268845,429738,465793,429754,49920,227772,300628,49619,49764"
1130744,"237310,784375,429738,465793,629074,429754,49920,227772,300628,49619,49178"
1135149,"237310,268845,784375,629074,300631,429754,49920,300628,49619,49764,49178"
1142581,"237310,345821,429738,465793,629074,429754,49920,227772,49619,49764,49178"
1140387,"237310,50205,345821,429738,465793,629074,429754,49920,227772,49619,49764"
1153839,"237310,345821,784375,629074,552152,429754,49920,227772,300628,49619,49764"
1145000,"237310,784375,465793,629074,552152,429754,49920,227772,300628,301236,49619"
1120285,"629076,268845,629074,429754,49920,227772,300628,50482,324358,49619,49178"
1122723,"629076,268845,437316,429754,49920,227772,300628,301236,49619,49764,49178"
1122724,"629076,268845,437316,429754,49920,227772,300628,301236,49619,49764,49178"
1109603,"50205,465793,629074,429754,49920,227772,300628,324358,49764,50747,49178"
1109604,"50205,784375,465783,429738,629074,429754,49920,227772,300628,49764,50747"
1109602,"345821,784375,360456,629074,429754,49920,227772,324358,49764,50747,49178"
1059702,"784375,360456,465793,629074,300631,49920,227772,50482,49619,50747,49178"
1059703,"784375,360456,465793,629074,300631,49920,227772,50482,49619,50747,49178"
936149,"784375,465793,629074,227772,300628,50482,324358,49619,49764,50747,49178"
936151,"784375,465793,629074,227772,300628,50482,324358,49619,49764,50747,49178"
1083444,"784375,360456,429738,629074,429754,49920,227772,300628,49619,50747,49178"
1104483,"784375,360456,629074,429754,49920,227772,300628,49619,49764,50747,49178"
1083445,"360456,429738,465793,629074,429754,49920,227772,300628,49619,50747,49178"
995453,"465783,429738,465793,629074,300631,49920,227772,300628,50482,49764,49178"
995451,"429738,465793,629074,300631,49920,227772,300628,50482,324358,49764,49178"
995455,"429738,465793,629074,300631,49920,227772,300628,50482,49619,49764,49178"
1120284,"429738,629074,429754,49920,227772,300628,50482,324358,301236,49619,49178"
936147,"465793,629074,300631,552152,227772,300628,50482,324358,49619,49764,49178"
913613,"437316,629074,552152,227772,300628,50482,324358,267414,301236,49764,49178"
914203,"345822,629074,222354,552152,342616,227772,300628,324358,49619,49764,49178"
914205,"345822,629074,222354,552152,342616,227772,300628,324358,49619,49764,49178"
915775,"629074,222354,300631,49920,227772,300628,50482,324358,49764,50163,49178"
913615,"629074,222354,227772,300628,50482,324358,267414,301236,49619,49764,49178"
913617,"629074,300631,227772,300628,50482,324358,267414,301236,49619,49764,49178"
915773,"222354,300631,465797,227772,300628,50482,324358,301236,49764,50163,49178"
895777,"300631,465797,227772,300628,50482,324358,301236,49764,50163,50747,49178"
860265,"552152,465797,342616,227772,300628,50482,301236,49764,50163,50710,49178"
895775,"552152,465797,227772,300628,50482,301236,49764,50163,49633,50710,49178"
749777,"465797,429754,227772,50482,267414,301236,49619,49764,50163,50710,49236"
860267,"465797,227772,300628,50482,324358,301236,49619,49764,50163,50747,49633"
895773,"465797,227772,300628,50482,324358,301236,49764,50163,49633,50710,49178"
730091,"429754,49920,342616,50482,49619,49764,268739,50747,50710,49178,49289"
745153,"429754,49920,342616,50482,267414,49764,50163,50747,50710,49178,49289"
745155,"429754,49920,50482,301236,49764,50163,51019,50747,50710,49178,49289"
657651,"49920,227772,300628,50482,267414,49619,49764,50710,49236,49178,49289"
690347,"49920,342616,227772,300628,50482,267414,49619,49764,50710,49178,49289"
690349,"49920,342616,227772,300628,50482,324358,49619,49764,268739,50710,49289"
730089,"49920,300628,50482,267414,301236,49619,49764,50747,50710,49178,49289"
860263,"49920,342616,227772,300628,50482,324358,301236,49764,50163,50710,49178"
657647,"273439,227772,300628,50482,267414,49619,49764,50710,49236,49178,49289"
602472,"342616,227772,300628,267414,301236,49764,268739,49535,50710,48472,49178"
602473,"342616,227772,300628,267414,301236,49619,49764,49535,50710,48472,49178"
582192,"227772,267414,50438,49764,50181,49535,50424,50710,49236,49178,49289"
573011,"227772,267414,49764,51019,49535,50424,50710,49236,48472,49178,49289"
573012,"227772,267414,49764,50163,51019,50424,50710,49236,48472,49178,49289"
573013,"227772,300628,324358,301236,49619,49764,50163,50424,48472,49178,49289"
657649,"227772,300628,50482,324358,267414,49619,49764,50710,49236,49178,49289"
667899,"227772,50482,324358,267414,301236,49764,49535,50710,49236,49178,49289"
667901,"227772,300628,50482,324358,267414,301236,49764,50163,50710,49178,49289"
749779,"227772,300628,50482,324358,301236,49619,49764,50163,50710,49236,49178"
