match,players
1288345,"632168,348056,314650,1168667,494581,391832,432214,581379,391485,431909,446101,348024"
1263149,"1199304,348056,314650,1168667,494581,391832,581379,391485,431909,252932,348024,230553"
1263150,"1199304,348056,1168667,391832,581379,391485,431909,446101,252932,348024,230553"
1263169,"1199304,348056,314650,1168667,391832,432214,391485,431909,252932,348024,230553"
1263170,"1199304,348056,314650,1168667,670031,391832,391485,431909,252932,348024,230553"
1256726,"1199304,314650,1168667,230555,348026,670031,391485,431909,274921,348024,230553"
1256727,"1199304,314650,1168667,230555,348026,670031,391485,431909,274921,348024,230553"
1256728,"1199304,348056,314650,1168667,230555,348026,670031,391485,431909,348024,230553"
1244025,"851501,348056,314650,1168667,494581,348026,432214,431909,446101,348024,230553"
1244026,"851501,348056,314650,1168667,494581,348026,670031,432214,431909,446101,348024"
1252073,"348056,314650,1168667,494581,348026,670031,391485,431909,446101,348024,230553"
1252074,"348056,314650,1168667,494581,348026,670031,391485,431909,446101,348024,230553"
1288346,"348056,314650,1168667,391832,432214,581379,391485,431909,274921,348024,230553"
1233958,"914519,1168667,230555,348026,670031,391832,391485,431909,446101,348024,277472"
1188629,"332937,494581,230555,348026,670025,391832,391485,431909,446101,348024,277472,230553"
1193500,"494581,230555,348026,670025,391832,432214,431905,581379,391485,348024,230553"
1225249,"494581,230555,348026,391832,431905,581379,391485,431909,446101,348024,230553"
1188628,"230555,348026,670025,556749,391832,581379,391485,446101,348024,277472,230553"
1225247,"230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553"
1225248,"230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553"
1233957,"230555,348026,670031,391832,431905,391485,431909,446101,348024,277472,230553"
1158062,"348026,670025,670031,391832,431905,581379,391485,446101,348024,277472,230553"
1158063,"348026,670025,670031,391832,431905,581379,391485,446101,348024,277472,230553"
1158064,"348026,677081,670025,670031,391832,431905,581379,446101,348024,277472,230553"
1157752,"1086206,677081,348054,670025,391832,431905,581379,446101,252932,348024,341593"
1153312,"1086206,348054,670025,391832,432214,431905,581379,252932,348024,341593,230553"
1146718,"677081,670025,556749,391832,431905,581379,391485,446101,252932,348024,52962"
1115794,"450101,348054,670025,556749,391832,431905,581379,446101,252932,348024,230553"
1115793,"348054,670025,556749,391832,431905,581379,391485,446101,252932,348024,230553"
1157753,"348054,670025,391832,432214,431905,581379,391485,446101,252932,348024,341593"
1153311,"348054,670025,391832,432214,431905,581379,446101,252932,348024,341593,230553"
1031659,"443150,670031,556749,391832,431905,581379,391485,431909,252932,348024,230553"
1031661,"443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1031663,"443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1122886,"443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1122887,"443150,391832,431905,581379,391485,431909,446101,252932,348024,341593,230553"
1077953,"399276,670025,670031,391832,431905,581379,391485,446101,252932,348024,341593"
1077954,"399276,670025,670031,391832,431905,581379,391485,446101,252932,348024,341593"
1077955,"399276,670025,670031,391832,431905,581379,391485,446101,252932,348024,341593"
1022597,"670031,556749,391832,431905,52280,391485,431909,446101,348024,277472,52983"
1050233,"670031,391832,431905,52280,391485,431909,446101,348024,341593,277472,52983"
1022595,"556749,391832,316153,431905,391485,431909,446101,348024,341593,277472,52983"
1022599,"556749,391832,431905,52280,391485,431909,446101,348024,341593,277472,52983"
1050229,"556749,391832,431905,52280,391485,431909,446101,348024,341593,277472,52983"
1050231,"556749,391832,581379,52280,391485,431909,446101,348024,341593,277472,52983"
1135149,"556749,391832,431905,581379,391485,446101,252932,348024,341593,230553,52962"
1135150,"556749,391832,431905,581379,391485,446101,252932,348024,341593,230553,52962"
1135151,"556749,391832,431905,581379,391485,446101,252932,348024,341593,230553,52962"
1146717,"556749,391832,431905,581379,391485,446101,252932,348024,341593,230553,52962"
1022593,"391832,457249,316153,431905,391485,431909,446101,348024,341593,277472,52983"
892517,"457249,432214,316153,391485,431909,348024,277472,230553,52917,53191,52983"
892519,"457249,432214,581379,391485,431909,348024,277472,230553,52917,53191,52983"
915775,"432214,581379,391485,431909,348024,341593,277472,230553,52917,53191,52983"
892515,"432214,316153,391485,431909,446101,348024,277472,230553,52917,53191,52983"
810425,"316153,431905,581379,391485,431909,274921,348024,277472,230553,52917,53191"
810423,"431905,581379,391485,431909,446101,348024,341593,277472,52917,53191,52983"
766933,"581379,391485,431909,274921,446101,348024,277472,52917,53191,52983,51469"
915773,"581379,391485,431909,446101,348024,341593,277472,230553,52917,53191,52983"
722331,"52796,52280,391485,446101,348024,51248,52917,53191,52962,52983,51469"
730297,"52280,431909,446101,51786,348024,277472,230553,51248,52917,53191,51469"
722329,"52280,431909,495551,348024,230553,51248,52917,53191,52962,52983,51469"
722333,"52280,391485,431909,446101,348024,51248,52917,53191,52962,52983,51469"
730281,"391485,51786,348024,277472,52997,230553,51248,52917,53191,51880,51469"
766929,"391485,431909,348024,277472,230553,51248,52917,53191,52962,52983,51469"
766931,"391485,431909,446101,348024,341593,277472,230553,52917,52962,52983,51469"
730279,"431909,446101,51786,348024,277472,230553,51248,52917,53191,51880,51469"
730295,"431909,446101,51786,348024,277472,230553,51248,52917,53191,51880,51469"
676525,"495551,274921,252932,277472,52997,53115,52917,51436,52983,51880,51469"
587469,"274921,230558,252932,277472,52912,53115,52917,51436,52983,51880,51469"
587470,"274921,230558,252932,277472,53115,52917,51782,51436,52983,51880,51469"
661683,"274921,230558,252932,51786,348024,53115,52917,51659,51436,52983,51469"
534207,"230558,51866,252932,277472,52912,274926,53115,52917,51659,51436,52983"
560929,"230558,51866,252932,52912,230553,53115,52917,51659,52983,51880,51469"
560930,"230558,51866,252932,230553,53115,52917,51659,51436,52983,51880,51469"
534205,"446101,252932,51786,277472,274926,230553,53115,52917,51782,52983,51469"
593988,"446101,252932,277472,52997,230553,53115,52917,51436,52983,51880,51469"
593989,"446101,252932,277472,52997,230553,53115,52917,51436,52983,51880,51469"
676527,"446101,252932,277472,52997,53115,52917,51659,51436,52983,51880,51469"
661679,"446101,252932,51786,277472,52997,53115,52917,51659,51436,52983,51469"
661681,"446101,252932,51786,277472,52997,53115,52917,51659,51436,52983,51469"
489228,"252932,51786,341593,277472,52912,274926,53115,51782,51446,52983,51469"
531987,"252932,51786,348024,341593,277472,230553,53115,51782,51446,52983,51469"
535997,"252932,51786,348024,341593,277472,52912,53115,51782,51446,52983,51469"
535999,"252932,51786,348024,341593,277472,52912,274926,53115,51782,51446,52983"
540177,"252932,348024,277472,52997,274926,230553,53115,51659,51782,51446,51469"
540178,"252932,348024,277472,52997,52912,274926,230553,53115,51659,51446,51469"
534206,"252932,51786,277472,52997,52912,274926,230553,53115,52917,52983,51469"
730277,"252932,51786,277472,52997,230553,51248,52917,53191,52983,51880,51469"
531986,"51786,348024,341593,277472,52912,53116,53115,51782,51446,52983,51469"
535998,"51786,348024,341593,277472,274926,230553,53115,51782,51446,52983,51469"
540176,"51786,348024,341593,277472,274926,230553,53115,51659,51782,51446,51469"
489219,"348024,341593,277472,52912,230553,53116,6950,53115,51446,52983,52969"
489218,"341593,277472,52912,230553,53116,6950,53115,51446,52962,52969,51469"
489226,"341593,277472,52912,274926,53116,6950,53115,51782,51446,52969,51469"
489227,"341593,277472,52912,274926,53116,53115,51782,51446,52983,52969,51469"
464987,"276298,277472,52997,274926,230553,6950,53115,51439,51446,51880,51469"
