match,players
1249210,"527776,747031,641423,665053,519082,398778,887207,351588,303669,10617,8608,379140,625960,55395,539511,502714,388802,233713,277906,38924,232364,38699"
1239543,"527776,641423,665053,519082,398778,662973,308967,303669,297433,10617,8608,940973,475281,931581,625383,422108,34102,481896,277916,234675,253802,32540"
1239544,"527776,519082,398778,662973,632172,351588,308967,8917,303669,297433,8608,940973,931581,625383,422108,34102,481896,277916,234675,253802,32540,236779"
1239545,"527776,398778,662973,464626,236489,632172,308967,8917,303669,297433,8608,940973,931581,625383,422108,34102,481896,277916,234675,253802,32540,236779"
1239546,"527776,398778,887207,464626,236489,632172,8917,247235,303669,297433,8608,940973,475281,931581,625383,422108,34102,277916,234675,376116,253802,32540"
1249211,"747031,641423,665053,519082,457279,398778,887207,351588,303669,10617,8608,379140,547749,381743,595783,440516,539511,506612,388802,233713,277912,38699"
1243015,"641423,665053,519082,662973,646847,455524,351588,308967,303669,297433,10617,786925,784379,848109,437316,629074,300631,429754,49920,300628,301236,49764"
1243016,"641423,665053,519082,662973,646847,455524,351588,308967,303669,297433,8608,629084,786925,366725,848109,300631,429754,49920,300628,301236,49619,49764"
1243384,"641423,519082,669855,398778,887207,646847,455524,308967,311158,303669,8608,719715,1070173,31872,931581,625383,34102,277916,26421,253802,32540,236779"
1243385,"641423,519082,457279,364788,398778,887207,455524,8917,311158,303669,10617,554691,1070173,940973,931581,559235,34102,277916,26421,253802,32540,236779"
1243387,"641423,665053,519082,364788,887207,646847,455524,311158,303669,297433,8608,554691,719715,1070173,940973,931581,34102,277916,26421,253802,32540,236779"
1187672,"665053,519082,669855,12454,398778,887207,662973,311158,247235,303669,10617,381743,277914,539511,502714,506612,388802,233713,277906,38924,232364,38699"
1185305,"665053,519082,12454,887207,662973,646847,308967,311158,303669,10617,8608,277390,337790,327830,481979,550187,267724,550215,379143,230852,44828,46945"
1185306,"665053,519082,12454,887207,662973,646847,351588,308967,311158,303669,10617,327947,277390,337790,481979,550187,267724,550215,379143,230852,44828,46945"
1185307,"665053,519082,12454,887207,662973,351588,308967,311158,247235,303669,10617,379927,327947,277390,337790,327830,481979,372116,379143,230852,44828,46945"
1225247,"665053,519082,669855,12454,398778,887207,646847,351588,308967,311158,8608,230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553"
1225248,"665053,519082,398778,887207,662973,646847,308967,311158,247235,303669,10617,230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553"
1198242,"665053,519082,398778,887207,662973,646847,308967,247235,303669,10617,8608,39950,1158088,1072470,389666,323389,348144,43685,233901,316397,39037,40250"
1198243,"665053,519082,669855,398778,887207,646847,308967,247235,303669,10617,8608,39950,1158088,1072470,389666,323389,348144,43685,233901,316397,39037,40250"
1243386,"665053,519082,669855,364788,887207,455524,311158,303669,297433,10617,8608,554691,719715,1070173,931581,625383,34102,277916,26421,253802,32540,236779"
1187671,"519082,669855,12454,398778,887207,662973,455524,308967,311158,303669,10617,277914,55395,539511,502714,388802,233713,277912,277906,38924,232364,38699"
1185304,"519082,669855,12454,398778,662973,308967,311158,303669,297433,10617,8608,337790,327830,481979,550187,600498,267724,550215,379143,230852,44828,46945"
1225249,"519082,669855,398778,887207,646847,308967,311158,247235,303669,10617,8608,494581,230555,348026,391832,431905,581379,391485,431909,446101,348024,230553"
1198241,"519082,669855,398778,887207,646847,308967,311158,247235,303669,10617,8608,39950,1158088,1072470,922943,389666,323389,348144,43685,233901,316397,39037"
1152847,"669855,298438,12454,398778,455524,308967,311158,247235,303669,297433,10617,787987,530011,501011,288284,230193,219889,489889,272279,215155,267192,7252,7898"
