match,players
1267676,"946517,493765,951781,806241,392946,453277,827051,392945,235524,293831,55814"
1257187,"541224,951781,806241,392946,453274,827051,235519,596375,392945,293831,55814"
1257186,"951781,806241,392946,453274,827051,235519,596375,232442,392945,293831,55814"
1252056,"938959,453277,453274,827051,495964,596375,232442,392945,299572,55870,293831"
1252057,"938959,453277,453274,827051,495964,596375,232442,392945,299572,55870,293831"
1214666,"959823,453277,596456,453274,232442,392945,299572,235524,293831,55412,55814"
1212542,"333001,453277,453274,672775,232442,392945,299572,235524,55870,293831,55412,55814"
1212541,"453277,596456,1147414,453274,232442,392945,299572,55870,293831,332996,55412,55814"
1153639,"806239,571703,333000,427178,299572,55870,425639,293831,332996,55814,55608"
1153640,"806239,333000,427178,392945,299572,55870,425639,293831,332996,55814,55608"
1122310,"827051,495964,333000,55354,299572,332996,55412,55633,55346,55814,55608"
1122887,"235519,290462,333000,299572,55872,293831,55412,55633,55346,55814,55608"
1122886,"290462,299572,55870,55872,293831,332996,55412,55633,55346,55814,55608"
1104483,"596375,333000,392945,299572,55870,55872,293831,55412,55633,55346,55608"
1059702,"672775,333000,427178,392945,55870,55872,55597,55412,55633,55346,55608"
1059703,"672775,333000,427178,392945,55870,55872,55597,55412,55633,55346,55608"
1024043,"333000,232442,55353,55354,392945,55666,299572,55870,55597,55412,55346"
1024041,"232442,55353,55354,427178,392945,299572,55870,293831,55412,55346,55608"
760783,"392944,427178,299572,425639,55872,293831,55412,55814,55705,55343,55608"
760785,"392944,427178,299572,235516,343529,293831,55412,55814,55705,55343,55608"
760781,"235521,55666,299572,425639,293831,55412,55814,55705,55343,55787,55608"
736435,"392945,55666,235516,55870,425639,293831,55814,55705,55787,55822,55608"
659555,"299572,235516,425639,343529,55872,55597,55820,55705,55343,55787,55608"
623576,"235516,232443,235524,343529,55872,332996,55346,55814,55343,55787,55608"
623577,"235516,232443,343529,55872,293831,332996,55346,55814,55343,55787,55608"
659557,"235516,425639,55872,235514,55597,55820,55814,55705,55343,55787,55608"
593989,"55870,425639,55872,55597,332996,55412,55346,55820,55814,55787,55608"
593988,"425639,55872,293831,55597,332996,55412,55346,55814,55787,55608,55698"
520591,"55641,343529,55872,293831,235514,55597,332996,55346,55814,55608,55805"
527017,"55872,333002,293831,55597,332996,55633,55814,55787,55608,55805,55698"
523731,"55562,235514,55597,332996,55412,55633,55814,55787,55608,55805,55698"
522245,"235514,55597,332996,55412,55633,55814,55343,55787,55608,55805,55698"
219613,"55640,55391,55329,55388,55814,55628,55608,55805,55416,55259,55761"
219062,"55391,55329,55388,55814,55419,55628,55608,55805,55416,55259,55761"
216055,"55388,55633,55346,55814,55628,55608,55805,55416,55854,55307,55761"
215253,"55421,55633,55346,55814,55628,55608,55805,55416,55854,55307,55761"
64121,"55736,55633,55346,55814,55343,55787,55612,55509,55608,55805,55663"
64122,"55736,55633,55346,55814,55705,55343,55612,55509,55608,55805,55416"
64123,"55736,55633,55346,55814,55343,55612,55608,55805,55416,55259,55761"
64124,"55736,55633,55346,55814,55343,55612,55608,55805,55416,55259,55761"
64085,"55652,55814,55705,55573,55343,55612,55822,55509,55805,55416,55663"
64084,"55820,55814,55705,55573,55343,55612,55628,55509,55805,55416,55663"
64054,"55787,55612,55822,55628,55805,55259,55698,55463,55854,55307,55761"
64055,"55787,55612,55822,55628,55805,55259,55698,55463,55854,55307,55761"
64049,"55419,55822,55628,55805,55416,55259,55698,55463,55854,55307,55761"
64069,"55419,55414,55509,55805,55416,55259,55698,55463,55307,55761,55429"
64032,"55414,55822,55509,55805,55438,55416,55259,55698,55307,55761,55429"
64033,"55414,55822,55509,55805,55438,55416,55259,55698,55307,55761,55429"
64048,"55414,55822,55805,55416,55259,55698,55463,55408,55854,55307,55761"
64070,"55414,55628,55509,55805,55438,55416,55698,55463,55307,55761,55429"
64017,"55822,55608,55805,55416,55259,55663,55698,55675,55429,55427,55301"
64016,"55628,55608,55805,55416,55259,55698,55675,55848,55429,55427,55301"
63949,"55509,55608,55438,55416,55698,55854,55848,55761,55429,55427,55301"
