player,id,matches
0,590326,"1288311,1288312"
1,446548,"1263464,1263465,1263466"
2,376169,1263463
3,326434,"1263462,1263463,1263464,1263465,1263466,1288310,1288311,1288312"
4,772365,1223871
5,1076713,"1223869,1223870,1223871,1223872,1263462,1263463,1263464,1263465,1263466,1288310,1288311,1288312"
6,774223,"1145000,1145001,1263463"
7,505110,"1145000,1145001"
8,434813,"1144993,1144994,1144995,1144996,1145000,1145001,1152848,1152849,1152850,1223872,1263462,1263463,1263464,1263465"
9,787987,"1157370,1157371,1144996,1145000,1145001,1152847,1152848,1152849,1152850,1183530,1183531,1183532,1183533,1183534,1223869,1223870,1223871,1223872,1263462,1263463,1263464,1263465,1263466,1288310,1288311,1288312"
10,530011,"1157370,1157371,1144993,1144994,1144995,1144996,1145000,1145001,1152846,1152847,1152848,1152849,1183530,1183531,1183532,1183533,1183534,1223869,1223870,1263462,1263463,1263464,1263466,1288310,1288311,1288312"
11,5334,"1157370,1157371,1144993,1144994,1144995"
12,261230,1075985
13,501011,"1072305,1072306,1072307,1072308,1072309,1075982,1075983,1075984,1152846,1152847"
14,557295,"1000885,1104285"
15,722303,"1000855,1000881,1000883,1000885,1062573,1062574,1062575,1062576,1104284,1104285,1075985"
16,333780,"1000855,1000881,1000883"
17,334337,"1000855,1000881,1000883,1000885,1062573,1062574,1062575,1062576,1104284,1104285,1072305,1072306,1075985,1144993,1144994,1144996"
18,439288,1000853
19,5236,1000853
20,230368,"995453,995455,1157370,1157371"
21,6973,"743965,743967,743969,743971,892509,892511,892513,892515,892517,892519,914237,914239,995451,995453,995455,1000851,1000853"
22,8119,"810423,810425,743963,743965,743967,743969,743971,892509,892511,892513,892515,892517,892519,914237,914239,995451,995453,995455,1000851,1000853"
23,326632,"754741,754743,892509,892511,892513,892515,892517,892519,914237,914239,995451,995453,1000853,1075985,1145000,1145001,1183530,1183531,1183532,1183533,1183534,1223869,1223870"
24,288284,"754739,754741,754743,810423,810425,743963,743965,743967,743969,892509,892511,892513,892515,892517,892519,914237,914239,995451,995453,995455,1000851,1000853,1000855,1000881,1000883,1000885,1062573,1062574,1062575,1062576,1104284,1072305,1072306,1072307,1072308,1072309,1075982,1075983,1075984,1075985,1144993,1144994,1144995,1144996,1152847,1152848,1152849,1152850,1183530,1183531,1183532,1223869,1223870,1223871,1223872,1263462,1288310"
25,7069,"727927,892519,995451,1000885,1062573,1062574,1062575,1062576,1104285"
26,272450,"727927,727929,754737,754739,743965,743967,743971,892509,892511,892513,892515,892517,892519,914237,914239,995451,995453,995455,1000851,1062573,1062574,1072307,1072308,1072309,1075982,1075983,1075984,1075985,1157370,1157371,1144995,1152850"
27,233648,"648673,648675,648677,727927"
28,4451,"592397,592398,592399,592400,592401"
29,270484,566936
30,505120,"566932,566933,1104284,1104285"
31,325026,"598813,598815,727929,1062575,1062576,1104284,1104285"
