player,id,matches
0,990081,1288980
1,1161381,"1277978,1288979,1277100,1277101"
2,629059,"1277977,1288979,1288980,1277100,1277101"
3,990039,"1255829,1288979,1288980"
4,821749,"1213062,1214666,1255828,1255829,1267676,1277977"
5,932355,"1153847,1153848,1187016,1187017,1213062,1214666,1255828,1267676,1277977,1277978,1288979,1288980,1277100,1277101"
6,629057,"1153312,1153847,1153848,1197138,1187016,1187017,1244025,1267676,1277977,1277978,1288979,1288980,1277100"
7,932635,"1153311,1153312,1197138,1187017,1214666,1244025,1244026"
8,927619,"1153640,1153847,1277978,1277100,1277101"
9,269237,"1153640,1153311,1153312,1153847,1153848,1187016,1187017,1213062,1214666,1244026"
10,446810,1153639
11,270135,"1153639,1153640"
12,410763,"1146717,1146718,1153639,1153847,1153848,1187016,1187017,1213062,1214666,1244026,1255828,1255829,1277977"
13,380974,1130744
14,550133,"1083445,1130744,1197138"
15,410765,"1019987,1146717,1146718,1277977,1288980"
16,629058,"1019987,1153639,1213062,1214666,1244025,1244026,1255828,1255829,1267676,1277977,1277978,1288979,1288980,1277100,1277101"
17,538506,"1019985,1019987,1041761,1083444,1075502,1255828,1255829,1267676,1288979,1288980,1277100"
18,301847,"1019985,1083444,1083445,1075503"
19,373538,"1029825,1029827,1019985,1019987,1041761,1083445,1104284,1104285,1075502,1075503,1130745"
20,629063,"1029825,1029827,1019985,1019987,1041761,1083444,1083445,1104284,1104285,1075502,1130744,1130745,1146717,1146718,1153639,1153640,1153311,1153312,1153847,1197138,1187016,1187017,1244025,1244026,1255828,1255829,1267676,1277977,1277978,1288979,1288980,1277100,1277101"
21,375724,"1029825,1029827,1019985,1019987,1041761,1146717,1146718"
22,330902,"817213,817215,1083444,1083445,1104284,1104285,1075502,1075503,1130744,1130745,1153640,1153311,1153848,1244025"
23,536936,"870729,817213,817215,1083444,1075502,1075503,1130744,1130745,1146717,1146718,1153639,1153640,1153312,1153847,1153848,1197138,1187016,1187017,1213062,1214666,1244025,1244026,1255828,1255829,1267676,1277977,1277978,1288979,1288980,1277100,1277101"
24,436677,"858493,858495,870729,1019987,1041761,1083444,1083445,1104284,1104285,1075503,1153311,1153312,1153847,1153848,1197138,1244026"
25,537154,"858493,858495,870729,817213,817215"
26,629066,"760781,760783,760785,870729,817213,817215"
27,401057,"730295,730297,760781,760783,760785,858493,858495,870729,817213,1029825,1029827,1041761,1083445,1104284,1104285,1075503,1130744,1130745,1146718,1153639,1153640,1153311,1153312,1153848,1197138,1187016,1187017,1213062,1214666,1244025,1244026,1255828,1255829,1277977,1277978,1277101"
28,402992,"730295,760781,760783,760785,858493,858495,870729,1029827"
29,56154,"690347,690349,730295,730297,760781,760783"
30,511532,"668951,690347,690349,730295,730297,760781,1187017"
31,228349,"668949,668951,690347"
32,56167,623577
33,373696,"602472,602473,623577,668949,668951,690347,690349,730295,730297,760781,760783,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1041761,1083444,1104285,1075502,1075503,1130744,1130745,1146717,1146718,1153639,1153640,1153311,1153312,1153847,1153848,1197138,1187016,1187017,1213062,1214666,1244025,1244026,1255828,1255829,1267676,1277977,1277978,1288979,1288980,1277100,1277101"
34,380354,"602472,668949,668951,730297"
35,373439,"587470,602472,602473"
36,444135,"587469,587470,602472,602473,623576,623577,668949,668951,690347,690349"
37,56059,"538072,538073,587470"
38,56138,531987
39,300618,"531986,531987,538072,538073,587469,587470,602472,602473,623576,623577,668949,668951,690347,690349,730295,730297,817215,1104284,1104285"
40,55883,"531986,538072,538073,602472"
41,227455,"426401,522245,538073,602473,623576,623577,668949,690347,730297"
42,55944,"426424,426401,426402,602472,602473,623576,623577"
43,288305,"434256,434257,423786,426424,426402,522245,730297,760785,1029825,1104284,1075502"
44,300619,"401071,401072,434256,434257,423786,426423,426424,426401,522245,531986,531987,538072,587469,587470,602473,623576,668949,668951,690347,730295,760783,760785,858493,1019987,1075503,1146717,1213062"
45,56025,"401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,538072,538073,587469,587470,602472,602473,623576,690349,730295,730297,760781,760783,760785,858493,858495,817213,817215,1029825,1029827,1019985,1019987,1041761,1083444,1075502,1075503,1130744,1130745,1146717,1146718,1153639,1153640,1153311,1153312,1153847,1153848,1197138,1187016,1187017,1213062,1267676"
46,56093,"350346,378750,378751,401071,401072,434256,434257,531986,531987"
47,280734,"350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,531986,531987,690349,730295,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1083445,1104284,1104285,1075502,1075503,1130744,1130745,1153639,1153640,1153311,1187016,1187017"
48,56032,"361759,350345,350346,378750"
49,56054,"361758,350345,426423,426424,531986,531987,587469,587470"
50,56194,"300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,531986,531987,538072,538073,587469,587470,602473,623577,668949,668951,690347,690349,730295,730297,760781,760783,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1019987,1041761,1083444,1083445,1104284,1104285,1075502,1130744,1130745,1146717,1146718,1153847,1153848,1213062,1214666,1244025,1244026,1255828,1255829,1277101"
51,227454,"300429,300430,623577"
52,55946,"300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434257,423786,426423,426424,426401,426402,587469"
53,56031,"293479,361758,361759,350345,350346,378750,378751"
54,56143,"282691,282692,293478,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,531986,531987,538072,538073,587469,587470,623576,623577,668949,668951,690347,690349,760781,760783,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1019987,1041761,1083444,1083445,1104284,1104285,1146717,1146718,1153311,1153312,1197138,1244025,1267676,1277978"
55,56283,"238172,293478,323948,361758,361759,426423,426424,426402,522245,668949,668951,690349,1130745"
56,56160,"218813,219612,238167,238168,282692,293480"
57,56153,"218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947,323948,434256,522245,531986,531987,538072,538073,587469,587470,623576"
58,56149,"209929,218813,219612,238167,238168,238171,238172,282691,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426401,426402,531986,531987,538072,538073,587469,602472,760781,760783,858495"
59,56029,"209929,238168,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426423,426424,426401,426402,522245,531986,531987,538072,538073,587469,587470,602472,602473,623576,623577,668949,668951,690347,690349,730295,730297,760781,760783,760785,858493,858495,870729,817213,817215,1029825,1029827,1019985,1041761,1083444,1083445,1104284,1104285,1075502,1075503,1130744,1130745,1146717,1146718,1153639,1153640,1153311,1153312,1197138,1187016,1187017,1214666,1244025,1244026,1255828,1255829,1267676,1277977,1277978,1288979,1277100,1277101"
60,56056,"64112,538073"
61,56266,"64104,64112,64121,64122,209929,210366,218813,219612,238171,238172,300429,300430,323947,323948,423786,426423"
62,56064,"64103,64104,64111,64112,64121,64122,209929,210366,219612,238167,238168"
63,56188,"64089,64090,64103"
64,55889,64089
65,55991,"64069,64070,64090,64103,64111,64112"
66,55882,"64052,64053,64104,64121,64122,218813,219612,238167,238168,238171,282691,300429,378751,401072,623576"
67,56074,"64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64121,64122,210366,238171,238172,282691,282692,293478,293479,293480,361758,361759"
68,56235,"64037,209929,210366"
69,55982,"64028,64029"
70,56255,64018
71,56077,64008
72,56186,"63996,64007,64008,218813,293480"
73,56176,"63996,64007,64008,64018,64019,64028,64029,64036,64037,64043,64045,64069,64070,64089,64090,64103,64104,64111,64121,64122,210366"
74,56251,"63996,64007,64008,64018,64019,64028,64029,64036,64037,64043,64044,64045,64052,64053,64103,64104,238167"
75,56180,"63995,63996,64007,64008,64018,64019,64112"
76,55915,"63995,63996,64008,64018,64019,64036,64037,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103"
77,55880,63995
78,56249,"63995,64044,64070"
79,55887,"63972,63973,63996"
80,56107,"63967,63968,63972,63973,64007,64008,64019,64037,64043"
81,56007,"63956,63957,63967,63968,64028,64029,64036,64037,64043,64044,64052,64053,64111,64112,64121,64122,209929,210366,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071"
82,55952,"63956,63967,63968,64028,64029,64036,64037,64043,64044,64045,64052,64053"
83,55988,"63947,63956,63957,63967,63968,63972,63996,64018,64019,64028,64029,64036,64037,64044,64045,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,300429,300430,323947,323948,361758,361759,350345,350346,378750,378751,401071,401072,434256,434257,423786,426401,426402,522245,538072,602472,602473,623576,623577"
84,55878,"63931,63946,63956,63957,63972,63973,63995,64018,64019,64028"
85,55976,"63930,63931,64052,64053,64069,64070,64089,64090,64104,64111"
86,55986,"63930,63931,63946,63947,63957,63967,63972,63973,282692,293479"
87,55968,"63930,63931,63946,63947,63956,63967,63968,63972,63973,63995,63996,64007,64008,64019,64036,64045,64069"
88,55935,"63930,63931,63946,63947,63956,63957,63967,63968,63973,64007,64028,64029,64036,64037,64043,64044,64045,64052,64053,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480"
89,56104,"63898,64069,64070"
90,56068,63898
91,56035,"63898,63930,63931,63946,63947,63956,63957,64018"
92,55973,"63898,64007,64029,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478,293479,293480,323947,323948"
93,55970,"63898,63930,63931,63946,63947,63972,63973,64028,64029"
94,55954,"63898,63930,63946,63947,63956,63957,63967,63968,63972,63973,63995,63996,64007,64008,64018,64019,64036,64037,64043,64044,64045,64052,64053,64069,64070,64089,64090,64103,64104,64111,64112,64121,64122,209929,210366,218813,219612,238167,238168,238171,238172,282691,282692,293478"
95,55909,"63898,63930,63946,63947,63968"
