player,id,matches
0,460756,"1256726,1256727,1256728"
1,297628,1263466
2,527776,"1249210,1239543,1239544,1239545,1239546,1263462,1263463,1263464,1263466"
3,747031,"1249210,1249211"
4,641423,"1243015,1243016,1243384,1243385,1243387,1249210,1249211,1239543,1256726,1256727,1256728"
5,665053,"1187672,1185305,1185306,1185307,1225247,1225248,1198242,1198243,1243015,1243016,1243386,1243387,1249210,1249211,1239543,1263464,1263465,1263466,1256726,1256727,1256728"
6,519082,"1187671,1187672,1185304,1185305,1185306,1185307,1225247,1225248,1225249,1198241,1198242,1198243,1243015,1243016,1243384,1243385,1243386,1243387,1249210,1249211,1239543,1239544"
7,669855,"1152847,1152848,1152849,1152850,1187671,1187672,1185304,1225247,1225249,1198241,1198243,1243384,1243386"
8,457279,"1152839,1243385,1249211"
9,298438,"1152839,1152846,1152847,1152848,1152849"
10,12454,"1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225247"
11,364788,"1140385,1140386,1140387,1158062,1158063,1243385,1243386,1243387,1256726,1256727,1256728"
12,398778,"1140385,1140386,1140387,1158062,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1225247,1225248,1225249,1198241,1198242,1198243,1243384,1243385,1249210,1249211,1239543,1239544,1239545,1239546,1263462,1263463,1263466"
13,887207,"1119550,1119551,1187671,1187672,1185305,1185306,1185307,1225247,1225248,1225249,1198241,1198242,1198243,1243384,1243385,1243386,1243387,1249210,1249211,1239546,1263462,1263463,1263466"
14,662973,"1119536,1119549,1119550,1119552,1119553,1140385,1140386,1158062,1158063,1152839,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225248,1198242,1243015,1243016,1239543,1239544,1239545"
15,646847,"1119535,1119536,1185305,1185306,1225247,1225248,1225249,1198241,1198242,1198243,1243015,1243016,1243384,1243387"
16,455524,"1115781,1140385,1140386,1140387,1152839,1152847,1152848,1152849,1152850,1187671,1243015,1243016,1243384,1243385,1243386,1243387,1263462,1263464,1263465,1256726,1256727,1256728"
17,660889,1072309
18,550235,"1072308,1072309"
