player,id,matches
0,642519,"1278674,1278675"
1,554691,"1243385,1243386,1243387,1278674,1278675"
2,719715,"1223872,1243384,1243386,1243387"
3,802575,1223872
4,700167,"1223871,1223872"
5,1070173,"1223870,1223871,1223872,1243384,1243385,1243386,1243387,1249875,1278674,1278675"
6,940973,"1223870,1223871,1223872,1243385,1243387,1239543,1239544,1239545,1239546,1278675"
7,31872,"1187009,1243384"
8,398438,"1144995,1144996,1188628,1188629,1187007,1187008,1187009,1187016,1187017,1187685,1187686,1223869,1223870,1223872,1278674,1278675"
9,475281,"1157753,1223872,1239543,1239546"
10,1070168,"1157752,1157753,1187685,1187686,1223869"
11,452044,"1119553,1144994,1144995,1144996,1188628,1188629,1187007,1187685,1187686,1223869,1223870,1223871"
12,931581,"1119551,1119552,1119553,1157752,1157753,1144993,1144994,1144995,1144996,1188628,1188629,1187685,1187686,1223870,1223871,1223872,1243384,1243385,1243386,1243387,1249875,1239543,1239544,1239545,1239546"
13,625383,"1122276,1122277,1122278,1119551,1119552,1119553,1144993,1144994,1144995,1144996,1188628,1188629,1187685,1187686,1223869,1223870,1223871,1243384,1243386,1249875,1239543,1239544,1239545,1239546"
14,625371,"1109602,1109603,1109604,1122276,1122277,1122278,1133983,1119549,1119550,1119551,1119552"
15,559235,"1062576,1109604,1119550,1157752,1157753,1144996,1243385"
16,398439,"1034813,1034815,1034817,1062574,1062575,1062576"
17,447587,"1034811,1034813,1034815,1062573,1278675"
18,32102,895777
19,422108,"754741,754743,895773,895775,895777,1022595,1022597,1022599,1030213,1034811,1034815,1034817,1041761,1062573,1062574,1062575,1062576,1109603,1109604,1122723,1122724,1122277,1122278,1133983,1119549,1119550,1119551,1119552,1119553,1157752,1157753,1144993,1144994,1144996,1188628,1188629,1239543,1239544,1239545,1239546"
20,30288,754737
21,32973,"667715,667717"
22,27223,"667711,667713,667719,895775,895777,903605"
23,34102,"676525,676527,648665,648667,667651,667653,667715,754737,754739,754743,870729,895773,895775,895777,903607,903609,1022597,1022599,1030213,1030215,1030217,1122724,1122725,1122276,1122277,1144993,1144995,1187007,1187008,1187009,1187016,1187017,1223871,1223872,1243384,1243385,1243386,1243387,1249875,1239543,1239544,1239545,1239546"
24,481896,"676525,676527,648665,648667,667651,667653,667711,667713,667715,754737,754741,754743,1022593,1022595,1022597,1022599,1030213,1030215,1030217,1034809,1034811,1034813,1109602,1109603,1109604,1122723,1122725,1122276,1122277,1122278,1119549,1119550,1119551,1119552,1119553,1157752,1144993,1144994,1144995,1144996,1188628,1188629,1187007,1187008,1187009,1187016,1187017,1187685,1187686,1223869,1249875,1239543,1239544,1239545"
25,277916,"598815,648665,648667,667651,667653,667711,667713,667715,667717,667719,754737,754739,754741,754743,870729,895773,895775,895777,903603,903605,903607,903609,1022593,1022595,1022597,1022599,1030213,1030215,1030217,1034809,1034811,1034813,1041761,1062573,1062574,1062575,1062576,1109602,1109603,1109604,1122723,1122724,1122725,1122278,1133983,1119549,1119550,1119551,1119552,1119553,1157752,1157753,1144993,1144994,1144995,1144996,1188628,1188629,1187007,1187008,1187009,1187016,1187017,1187685,1187686,1223869,1223870,1223871,1223872,1243384,1243385,1243386,1243387,1249875,1239543,1239544,1239545,1239546,1278674"
26,28235,"598814,676525,676527,648665,648667,667651,667653,667711,667713,667715,754737,754739,754741,870729,895773,903603,903605,903607,903609,1022593,1022595,1022597,1030215,1109602,1109603,1109604,1122723,1122725,1122276,1133983,1119549,1119551,1119552,1119553"
27,326016,"598812,598813,598814,598815,676525,676527,667711,667713,667715,667717,667719,754743,1022597,1022599,1030215,1034815,1041761,1062576,1122723,1122276,1122278"
28,234675,"565809,598812,598813,598814,598815,648667,667651,667653,667711,667713,667715,667717,903603,903605,903607,903609,1022597,1030213,1030215,1030217,1034809,1034811,1034813,1034815,1034817,1041761,1062573,1062574,1062575,1062576,1109602,1109603,1122723,1122724,1122725,1133983,1119553,1157752,1157753,1144995,1144996,1188628,1188629,1187007,1187008,1187009,1187016,1187017,1187686,1223870,1223871,1249875,1239543,1239544,1239545,1239546,1278674"
29,35731,518952
30,360911,"535999,667717,667719,754737,754739,870729,895773,903603,903605"
31,376116,"535997,535998,518950,518951,518952,518953,565817,565818,565806,754739,754741,754743,870729,895775,895777,903603,903609,1022593,1022595,1030213,1030217,1034809,1034811,1034813,1034815,1034817,1041761,1062573,1062574,1062575,1062576,1109602,1109603,1109604,1122723,1122724,1133983,1119549,1157752,1157753,1144994,1187008,1187009,1187016,1187017,1187686,1223869,1223870,1239546,1278674,1278675"
32,26421,"535997,535998,535999,518950,518951,518953,565817,565818,565806,565807,565808,565809,598812,598813,598814,598815,676525,676527,648665,667717,667719,754739,754741,754743,870729,895773,895775,895777,903603,903605,903607,903609,1022593,1022595,1022597,1022599,1030213,1030215,1030217,1034809,1034811,1034813,1034815,1034817,1041761,1062573,1062574,1062575,1062576,1109602,1109603,1109604,1122723,1122724,1122725,1122276,1122277,1133983,1119549,1119550,1119551,1119552,1157752,1157753,1144993,1187007,1187008,1187009,1187016,1187017,1187685,1223869,1223870,1223871,1243384,1243385,1243386,1243387,1249875,1278674,1278675"
33,302582,"489226,489227,489228,474472,474473,1062574,1109602"
34,30732,"489226,489227,489228,474472,474473,474474"
35,253802,"489226,489227,489228,535999,518950,518951,518952,518953,565817,565818,565806,565807,565808,565809,598812,598813,598814,598815,676525,676527,648665,648667,667651,667653,667711,667713,667715,667717,667719,754737,754739,754741,754743,870729,895773,895775,895777,903603,903605,903607,903609,1022593,1022595,1022597,1022599,1030213,1030215,1030217,1034809,1034811,1034813,1034815,1034817,1041761,1062573,1062574,1062575,1109602,1109603,1109604,1122723,1122724,1122725,1122276,1122277,1122278,1119549,1119550,1119551,1119552,1119553,1157752,1157753,1144993,1144994,1144995,1144996,1188628,1188629,1187007,1187008,1187009,1187016,1187017,1187685,1187686,1223869,1243384,1243385,1243386,1243387,1249875,1239543,1239544,1239545,1239546,1278675"
36,390484,463146
