player,id,matches
0,959767,"1278674,1278675"
1,379140,"1249210,1249211,1249875"
2,547749,"1233957,1233958,1249211,1278674,1278675"
3,625960,"1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249875,1278674,1278675"
4,823509,1183534
5,493773,1183532
6,381743,"1187672,1233957,1233958,1233963,1249211,1278675"
7,38607,"1157383,1192873,1192874,1183534,1278674,1278675"
8,595783,"1157381,1157382,1157383,1153838,1153839,1192873,1192874,1187685,1249211,1278674,1278675"
9,440516,"1115793,1115794,1183533,1183534,1187685,1187686,1233957,1233958,1233962,1233963,1249211,1278674,1278675"
10,36581,"1020043,1020045"
11,277914,"1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183534"
12,55395,"1019993,1019995,1019985,1019987,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192874,1187671,1183532,1183533,1183534,1187685,1187686,1249210,1249875"
13,539511,"914237,914239,1024041,1024043,936127,936129,1030215,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249211,1249875,1278674,1278675"
14,502714,"892513,914203,914205,1024041,1024043,936127,936129,1030213,1030215,1030217,1019995,1019985,1019987,1020041,1020045,1115793,1115794,1192873,1187671,1187672,1183532,1183533,1233962,1249210"
15,7502,"743941,1030213,1030215,1030217"
16,506612,"743939,743941,892511,914239,1030215,1030217,1019995,1020045,1115793,1153848,1187672,1183534,1233963,1249211"
17,497543,"730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914237,1030213"
18,355269,"667653,730277,730279,730281,742611,742613,749777,749779,892509,1030217,1020041,1020043"
19,388802,"667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1183534,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249211,1249875,1278674,1278675"
20,559066,"668949,668951,661679,661681,661683,667651,730277,730279,742611,742613,742615,1024041,1024043,1030213,1115781,1157381,1157382"
21,277662,"668949,668951,661679,661681,661683,667651,667653,742611,742613,742615,743939,914237,914239"
22,331375,"569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730279,730281,749777,749779"
23,37745,"569243,569244,569245,566921,668949"
24,232359,567357
25,213674,"582193,1019993,1115780,1153847,1183534"
26,233713,"560929,560930,567357,569243,569244,569245,566921,566922,668951,661679,661681,661683,667651,667653,730281,749777,914203,914205,914239,1024041,1024043,936127,936129,1030213,1030215,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1153838,1153839,1153847,1153848,1187671,1187672,1183532,1183533,1183534,1187686,1233957,1233958,1233962,1249210,1249211,1249875"
27,47780,"520603,520604,520605,560929,560930,565817,565818,582192,582193"
28,38058,"520603,520604"
29,277912,"518948,520591,520603,560930,565817,565818,582192,582193,567356,567357,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019985,1019987,1020041,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1183533,1187685,1187686,1233957,1233958,1233962,1233963,1249211,1249875"
30,4493,"527017,518947,518948,520591,520605,560929,560930,567356,567357,569243,569244,569245,566921,566922"
31,362541,"527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,566922,668949,668951,749779,892509,892511,892513,914203,914205,914237,936127,936129"
32,38931,"473921,473922,527017,518947,518948"
33,38005,464533
34,277906,"464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,569243,569244,569245,566921,566922,668949,668951,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030217,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1187685,1187686,1233957,1233962,1233963,1249210,1249875,1278674"
35,226493,464531
36,36194,"423789,423790,464532,473921,473922,520604"
37,38952,"423786,423789"
38,38924,"423780,423786,423789,423790,464531,527017,520591,560930,567356,567357,569243,569244,569245,566921,668949,668951,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019995,1019985,1019987,1020041,1020043,1020045,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1183534,1187685,1187686,1233958,1233962,1233963,1249210,1249875"
39,226492,"366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,566922,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1030213,1030215,1030217"
40,37706,"366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921"
41,38373,"361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,464531,464532,464533,473921,473922,518947,518948"
42,37248,"296902,464531,464532,464533"
43,38264,"296900,296901,296902,361758,361759,351679,351680,661679"
44,37095,"296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,366629,403378,403379,423778,423779,423780,520605,560929,565817,565818,582192,582193,567356,567357"
45,232364,"300444,296900,351679,351680,366629,423780,423786,423789,423790,464532,464533,473921,473922,518947,518948,520591,520603,560930,565818,582192,582193,569243,569244,569245,566921,566922,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239,1024041,1024043,936127,936129,1019993,1019995,1019985,1019987,1020043,1115794,1115780,1115781,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249875,1278674,1278675"
46,44956,"300444,361759,351679,423778,423779"
47,37111,"298794,300443,366705,520604,520605"
48,38699,"298793,298794,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,1024041,1024043,936127,936129,1030213,1030215,1030217,1019993,1019995,1019985,1019987,1020041,1115793,1115794,1115780,1115781,1157381,1157382,1157383,1153838,1153839,1153847,1153848,1192873,1192874,1187671,1187672,1183532,1183533,1183534,1187685,1187686,1233957,1233958,1233962,1233963,1249210,1249211,1249875,1278674,1278675"
49,38141,"238206,300442,300444,361758,361759,366706,386496,403378,403379,423786,423790,464531,527017,565817,565818,582192,582193,567356,567357,1030215,1030217,1020041,1020043,1020045"
50,37265,"238180,238181,238182,238207,251485,251486,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,386496"
51,37091,"238180,238181,238182,238205,238206,300429,300430,351680,423778,423779,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730277"
52,37698,"64130,64133,64134,215253,216055,296900,296901"
53,38108,"64128,64129,298793,298794,300429,300430,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780"
54,36627,"64128,64129,64130,64133,64134,251485,251486,298793,298794,300429,300430"
55,37740,"64088,64107,64133,64134,238181,238205,238207,300429,300430,300442,300443,296900,296901,296902,361758,361759,366705,366706,366628"
56,37701,64076
57,38111,"64074,64075,64076,64087,238206,238207,298793,298794"
58,37737,"64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,560930,565817,565818,582192,582193,567356,567357,569243,569244,569245,566921,566922,668949,668951,661679,661681,661683,667651,667653,730277,730279,730281,742611,742613,742615,749777,749779,743939,743941,892509,892511,892513,914203,914205,914237,914239"
59,37494,64068
60,38062,"64020,64021,64030,64031,64046,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,238205,238206,238207,251485,251486,298793,300429,300430,300442,300443,296900,296901,296902,361758,403378,403379"
61,38407,"63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,215253,216055,238180,238181,238182,238205,238206,238207,298793,298794"
62,37239,"63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068"
63,36192,63983
64,36331,"63981,63982,63993,63994,64047,64067,64068,64103"
65,38714,"63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64046,64047,64067,64068,64128,64129,64130,64133,64134,215253,216055,298794"
66,36326,"63954,63955,63967,63968,63993,63994,64020,64021,64030,64031,215253,216055,238180,238182,251485,251486,298793,423778"
67,36839,"63923,63968,63981,63982,63983"
68,37004,"63922,63924,64088,64103,64104,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,366705,366706,366628,386496,366629,473922,565817,565818,582192,567356"
69,37696,"63904,64104,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205"
70,38737,"63902,63903,63904,63912,63989"
71,37700,"63902,63903,63904,63912,63922,63923,63924,63955,63967,63982,63989,64075,64076,64086,64087,64088,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444,296900,296901,296902,351679,351680,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,518948,520591,520603,520604,520605,560929,565817,567356"
72,38251,"63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108"
73,38620,"63877,63902,63904,63922,63923,63924,63954,63983,63989,63993,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64086,64087,423779,423780,423786,423789"
74,38393,"63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,64030,64031,64076,64103,64104,64107,64108,251485,251486,300429,300430,300442,300443,300444,423790"
75,38403,"63835,63836,63850,63868,63869"
76,36294,"63826,63827,63834,63842,63843,63844,63848,63849,63922,63923,63924,63953,63954,300429,300430,300442,300443,300444"
77,38753,"63801,63802,63803,63826,63827,63849,63850,63868,63875,63877,63896,63897,63912,63922,64030,64031,64046,64047,64074,64103,64104,64108,64130,64133,64134"
78,37712,"63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63834,63841,63842,63843,63844,63848,63849,63868,63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64046,64047,64067,64068,64074,64075,64086,64088,64107,64128,64129"
79,38386,63765
80,38060,"63764,63765,63770,63771,63792,63802,63836,63844,63848,63869,63876,63877,63896,63897,63902,63903,63904,63912,63953"
81,37250,"63741,63750,63751,63764,63765,63771,63792,63793,63801,63802,63803,63826,63827,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63875,63876,63877,63896,63912,63968,63981,63982,63989,64030,64031"
