player,id,matches
0,922941,"1277977,1277978,1288310,1288311,1288312"
1,43409,1257187
2,1062812,"1257186,1257187,1277977,1277978,1288310,1288311,1288312"
3,238672,"1243017,1243018,1257186,1257187,1263170,1277977,1277978,1288310,1288311,1288312"
4,598905,"1243017,1243018,1257186,1257187,1263169,1263170"
5,348154,1233963
6,697279,1206635
7,39950,"1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978"
8,1072472,1183531
9,1158088,"1183530,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1288310,1288312"
10,1072470,"1157383,1144153,1144154,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288310,1288311,1288312"
11,556684,1157371
12,512191,"1157371,1144153,1144154"
13,498875,"1157370,1157371,1157381,1157382,1157383"
14,260519,1119536
15,568276,"1127284,1119535,1119536,1157370,1157381,1157382,1157383,1144153,1144154,1144155,1183531,1288310,1288311,1288312"
16,681117,"1127284,1119535,1119536,1144155,1233962,1233963,1243017,1243018,1257186,1263169,1263170,1277977,1277978,1288311"
17,318788,"1120284,1120285,1127284,1119535,1119536,1157370,1157371,1157381,1157382,1157383,1183530,1206635,1206636,1213062,1233962,1233963"
18,681305,"1077955,1120284,1119535,1119536,1157381,1157382,1157383,1144153,1144155,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288311,1288312"
19,922943,"1077954,1127284,1119535,1119536,1144155,1198241"
20,389666,"1077953,1077954,1077955,1120284,1120285,1127284,1119535,1119536,1157370,1157371,1157381,1157382,1144154,1144155,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1263169,1263170"
21,227762,1000885
22,323389,"1019995,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288310,1288311,1288312"
23,348148,"1050229,1050231,1050233"
24,348144,"1050229,1019993,1019995,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1127284,1119535,1157370,1157371,1157381,1157382,1157383,1144153,1144154,1144155,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1243017,1243018,1257186,1257187,1263169,1263170,1277977,1277978,1288310,1288311,1288312"
25,480603,"913647,1183530,1183531,1288310"
26,547079,"858493,858495,913645,913647,1050229,1050231,1050233,1019993,1019995,1000881,1000883,1120284,1120285"
27,43685,"727927,727929,742611,742613,742615,858493,858495,860263,860265,860267,902637,902639,913641,913643,913645,913647,1050229,1050231,1050233,1019993,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1157370,1157371,1157381,1157382,1157383,1144153,1144154,1183530,1183531,1206636,1213062,1198241,1198242,1198243,1233962,1243017,1243018,1263169"
28,316363,"727927,727929,742611,858495,860267,902635,902637,1019995,1000885,1183530"
29,343305,"657647,657649"
30,259410,"657647,657649,657651,745153,745155,727927,727929,742611,860263,860265,860267,1077953,1077954"
31,43871,"649087,649089,727927,727929,742611,742613,742615,858493,860263,860265,902635,902637,902639,1050231,1050233"
32,233901,"649087,649089,742613,742615,860267,902635,902637,913641,913643,1077955,1120284,1120285,1144153,1144154,1144155,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243,1233962,1233963"
33,547092,"567365,742613,860267"
34,429981,"567364,567365,649087,649089"
35,323244,"567363,567365,659555,659557,657647,657649,727927,727929,742611,742613,742615,860267,902635,902639,913641,913643,913645,1050231,1019993,1000881,1127284"
36,42321,"567363,567364"
37,41557,562444
38,259551,"523731,530424,530425,530426,531629,562444,562445,562446,567363,659555,659557,649087,649089,657647,657649,657651,745153,745155,858493,858495,860263,860265"
39,39821,"523731,530424,538072,538073,531628,531630,562445"
40,41481,"489218,489219"
41,43307,"461572,473921,473922,489219,567364"
42,316397,"461572,473921,473922,489218,489219,530424,530425,530426,538072,538073,531628,531629,531630,562444,562445,562446,567363,567364,567365,659555,659557,649087,649089,657647,657649,657651,745153,745155,727927,727929,742611,742613,742615,858493,858495,860263,860265,860267,902635,902637,902639,913641,913643,913645,913647,1050229,1050231,1050233,1019993,1019995,1000881,1000883,1000885,1077953,1077954,1077955,1120284,1120285,1127284,1119535,1119536,1157370,1157371,1157381,1157382,1157383,1144153,1144154,1144155,1183530,1183531,1206635,1206636,1213062,1198241,1198242,1198243"
43,39038,"461571,461572,473921,473922,523731,530424,530425,530426,538072,538073,531628,531629,531630,562444,562445,562446,659555,659557,649087,649089,657647"
44,43590,"426415,426416,461571,473921,473922,489218,489219,745155,858493,858495,860263,860265,902635,902637,902639,913641,913643,913647,1050229,1050233,1019995,1000881,1000883,1000885,1077953,1120285,1157370"
45,43860,426414
46,288211,"426394,426395,426413,426414"
