player,id,matches
0,318842,1277101
1,379887,"1277100,1277101"
2,605661,"1277100,1277101"
3,481803,"1288981,1277101"
4,324260,"1288981,1288982,1277100,1277101"
5,696401,"1277079,1277080,1277081,1288981,1288982"
6,595004,"1263149,1263150,1277080,1277081,1288981,1288982,1277100,1277101"
7,485676,"1263149,1263150,1277079,1277080,1277081,1277100,1277101"
8,698143,"1237356,1237357,1288982"
9,379927,1185307
10,327947,"1185306,1185307"
11,277390,"1185305,1185306,1185307"
12,337790,"1185304,1185305,1185306,1185307,1237356,1237357,1243017,1243018,1263149,1263150,1277079,1277080,1277081,1288981,1288982"
13,327830,"1185304,1185305,1185307"
14,481875,"1187009,1243017,1243018"
15,436757,1187009
16,481979,"1187008,1187009,1185304,1185305,1185306,1185307,1237356,1237357,1243017,1243018,1263149,1263150"
17,535393,"1187007,1187008"
18,698189,"1144165,1237356,1237357,1243018,1263149,1263150,1277079,1288982,1277100,1277101"
19,550187,"1144155,1187009,1185304,1185305,1185306,1288981"
20,542023,"1122277,1122278,1075983,1142582,1187009,1237356,1237357,1243017,1263149,1263150,1277079,1277080,1277081"
21,540316,"1075502,1075503,1122310,1122278"
22,600498,"1075502,1075503,1122310,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144154,1144155,1144164,1144165,1187007,1187008,1185304,1237356,1237357,1243017,1243018,1263149,1263150,1277079,1277080,1277081,1288981,1288982"
23,45955,"1031437,1031439,1031441,1031443"
24,486672,"1020045,1031437,1031443,1075982,1075983,1142582,1144153,1144154,1144155,1187007,1187008,1187009"
25,486679,"936151,1031439,1031443,1075502,1075503,1144153,1144154,1144155,1144164,1144165,1277080,1277081,1288981,1277100,1277101"
26,379145,"1000855,1142581"
27,267724,"1000851,1000853,936147,936149,1020041,1020043,1020045,1031437,1031439,1031441,1031443,1075502,1075503,1122310,1122276,1122277,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144164,1144165,1187007,1187008,1185304,1185305,1185306,1237356,1237357,1243017,1243018,1263149,1263150,1277079,1277080,1277081,1288982,1277100,1277101"
28,44656,"800467,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043"
29,375126,800465
30,439952,"800463,800465,1031439,1031441"
31,550215,"903603,903605,903607,800463,800465,800467,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031437,1031441,1031443,1075502,1075503,1122310,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144154,1144155,1144164,1144165,1187007,1187008,1187009,1185304,1185305,1185306,1243017,1243018,1263149,1263150,1277079,1277080,1277081,1288981,1288982"
32,262456,"817215,903603,903605,903607,903609,800465"
33,432960,"722333,817213,817215,903603,903607,1277100,1277101"
34,372116,"722331,722333,817213,817215,903609,800461,800463,800465,800467,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031437,1031439,1031441,1031443,1075502,1075503,1122310,1075984,1075985,1142581,1142582,1144153,1144154,1144155,1144164,1144165,1187007,1187008,1187009,1185307,1237356,1237357,1243017,1243018,1277079,1277080,1277081,1288981,1288982,1277100,1277101"
35,267479,"722329,722331,722333,817213,817215,903603,903605,903607,800461,800463,800465,936129"
36,379926,"736435,903609,800461,800463,800467,936127,936129,1187007,1187009"
37,379143,"648675,730089,730091,736435,722329,817213,800463,800467,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031437,1031439,1031441,1031443,1075502,1075503,1122310,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144154,1144155,1144164,1144165,1187007,1187008,1187009,1185304,1185305,1185306,1185307,1237356,1237357,1243017,1243018,1263149,1263150,1277079"
38,297583,"567365,648677,722329,903605,903609,800461,800467,1000853,1000855,936147,936149"
39,230852,"573009,567356,567357,567363,567364,567365,649089,648675,648677,730089,730091,736435,722329,722331,722333,817213,817215,903603,903605,903607,903609,800461,800463,800465,800467,936127,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031437,1031439,1031441,1031443,1075502,1075503,1122310,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144154,1144155,1144164,1144165,1187007,1187008,1187009,1185304,1185305,1185306,1185307,1237356,1237357,1243017,1243018,1263149,1263150,1277079,1277080,1277081,1288981,1288982,1277100,1277101"
40,44828,"573008,573009,567356,567357,567363,567364,567365,649087,649089,648665,648667,648673,648675,648677,730089,730091,736435,722329,722331,722333,817213,817215,903603,903605,903607,903609,800461,800463,800465,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031439,1031441,1031443,1075502,1075503,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1142582,1144153,1144154,1144164,1144165,1187007,1187008,1187009,1185304,1185305,1185306,1185307,1237356,1237357,1243017,1243018"
41,45949,"573007,573008,567357,567365"
42,393279,"514033,520605"
43,46945,"514029,514030,514032,514034,520603,520604,520605,534225,534226,534227,573007,573009,567356,567363,567364,567365,649087,649089,648665,648667,648673,648675,648677,730089,730091,736435,722329,722331,722333,817213,817215,903603,936127,936129,1000851,1000853,1000855,936147,936149,936151,1020041,1020043,1020045,1031437,1031439,1031441,1122310,1122276,1122277,1122278,1075982,1075983,1075984,1075985,1142581,1144154,1144155,1144164,1187007,1187008,1185304,1185305,1185306,1185307"
44,40618,"514029,514030,514032,514033,514034,520603,520604,534225,534226,534227,573008,649089,648665,730089,730091,722331,903603,903605,903607,903609"
45,47666,"439152,439153,463146,463147,463148"
