player,id,matches
0,946517,1267676
1,493765,1267676
2,541224,1257187
3,951781,"1257186,1257187,1267676"
4,806241,"1257186,1257187,1267676"
5,392946,"1257186,1257187,1267676"
6,938959,"1252056,1252057"
7,959823,1214666
8,333001,1212542
9,453277,"1212541,1212542,1214666,1252056,1252057,1267676"
10,596456,"1212541,1214666"
11,1147414,1212541
12,453274,"1212541,1212542,1214666,1252056,1252057,1257186,1257187"
13,806239,"1153639,1153640"
14,571703,1153639
15,827051,"1122310,1252056,1252057,1257186,1257187,1267676"
16,495964,"1122310,1252056,1252057"
17,235519,"1122887,1257186,1257187"
18,290462,"1122886,1122887"
19,596375,"1104483,1252056,1252057,1257186,1257187"
20,672775,"1059702,1059703,1212542"
21,333000,"1024043,1059702,1059703,1104483,1122887,1122310,1153639,1153640"
22,232442,"1024041,1024043,1212541,1212542,1214666,1252056,1252057,1257186"
23,55353,"1024041,1024043"
24,55354,"1024041,1024043,1122310"
25,392944,"760783,760785"
26,427178,"760783,760785,1024041,1059702,1059703,1153639,1153640"
27,235521,760781
28,392945,"736435,1024041,1024043,1059702,1059703,1104483,1153640,1212541,1212542,1214666,1252056,1252057,1257186,1257187,1267676"
29,55666,"736435,760781,1024043"
30,299572,"659555,760781,760783,760785,1024041,1024043,1104483,1122886,1122887,1122310,1153639,1153640,1212541,1212542,1214666,1252056,1252057"
31,235516,"623576,623577,659555,659557,736435,760785"
32,232443,"623576,623577"
33,235524,"623576,1212542,1214666,1267676"
34,55870,"593989,736435,1024041,1024043,1059702,1059703,1104483,1122886,1153639,1153640,1212541,1212542,1252056,1252057"
35,425639,"593988,593989,659555,659557,736435,760781,760783,1153639,1153640"
36,55641,520591
37,343529,"520591,623576,623577,659555,760785"
38,55872,"527017,520591,593988,593989,623576,623577,659555,659557,760783,1059702,1059703,1104483,1122886,1122887"
39,333002,527017
40,293831,"527017,520591,593988,623577,736435,760781,760783,760785,1024041,1104483,1122886,1122887,1153639,1153640,1212541,1212542,1214666,1252056,1252057,1257186,1257187,1267676"
41,55562,523731
42,235514,"522245,523731,520591,659557"
43,55597,"522245,523731,527017,520591,593988,593989,659555,659557,1024043,1059702,1059703"
44,332996,"522245,523731,527017,520591,593988,593989,623576,623577,1122886,1122310,1153639,1153640,1212541"
45,55412,"522245,523731,593988,593989,760781,760783,760785,1024041,1024043,1059702,1059703,1104483,1122886,1122887,1122310,1212541,1212542,1214666"
46,55640,219613
47,55391,"219062,219613"
48,55329,"219062,219613"
49,55388,"216055,219062,219613"
50,55421,215253
51,55736,"64121,64122,64123,64124"
52,55633,"64121,64122,64123,64124,215253,216055,522245,523731,527017,1059702,1059703,1104483,1122886,1122887,1122310"
53,55346,"64121,64122,64123,64124,215253,216055,520591,593988,593989,623576,623577,1024041,1024043,1059702,1059703,1104483,1122886,1122887,1122310"
54,55652,64085
55,55820,"64084,593989,659555,659557"
56,55814,"64084,64085,64121,64122,64123,64124,215253,216055,219062,219613,522245,523731,527017,520591,593988,593989,623576,623577,659557,736435,760781,760783,760785,1122886,1122887,1122310,1153639,1153640,1212541,1212542,1214666,1257186,1257187,1267676"
57,55705,"64084,64085,64122,659555,659557,736435,760781,760783,760785"
58,55573,"64084,64085"
59,55343,"64084,64085,64121,64122,64123,64124,522245,623576,623577,659555,659557,760781,760783,760785"
60,55787,"64054,64055,64121,522245,523731,527017,593988,593989,623576,623577,659555,659557,736435,760781"
61,55612,"64054,64055,64084,64085,64121,64122,64123,64124"
62,55419,"64049,64069,219062"
63,55414,"64032,64033,64048,64069,64070"
64,55822,"64017,64032,64033,64048,64049,64054,64055,64085,736435"
65,55628,"64016,64049,64054,64055,64070,64084,215253,216055,219062,219613"
66,55509,"63949,64032,64033,64069,64070,64084,64085,64121,64122"
67,55608,"63942,63949,63950,63969,63970,64016,64017,64121,64122,64123,64124,215253,216055,219062,219613,522245,523731,527017,520591,593988,593989,623576,623577,659555,659557,736435,760781,760783,760785,1024041,1059702,1059703,1104483,1122886,1122887,1122310,1153639,1153640"
68,55805,"63941,63942,63976,63977,64016,64017,64032,64033,64048,64049,64054,64055,64069,64070,64084,64085,64121,64122,64123,64124,215253,216055,219062,219613,522245,523731,527017,520591"
69,55438,"63935,63949,63950,63956,63957,63969,63970,63971,63976,63977,64032,64033,64070"
70,55843,"63930,63931,63934,63935,63976,63977"
71,55416,"63930,63931,63934,63935,63941,63942,63949,63950,63956,63957,63971,63977,64016,64017,64032,64033,64048,64049,64069,64070,64084,64085,64122,64123,64124,215253,216055,219062,219613"
72,55259,"63930,63931,63934,63935,63941,63942,64016,64017,64032,64033,64048,64049,64054,64055,64069,64123,64124,219062,219613"
73,55578,"63912,63956,63957,63970,63971"
74,55602,63896
75,55663,"63884,63896,63897,63906,63930,63931,64017,64084,64085,64121"
76,55610,"63878,63879,63883,63884,63905,63906,63912,63930,63934,63935,63956"
77,55698,"63859,63931,63941,63942,63949,63950,63976,63977,64016,64017,64032,64033,64048,64049,64054,64055,64069,64070,522245,523731,527017,593988"
78,55269,"63857,63858,63957,63969"
79,55463,"63851,63852,63853,63858,63878,63879,63883,63956,63957,63969,63970,63971,63976,63977,64048,64049,64054,64055,64069,64070"
80,55528,"63813,63824,63825,63851,63852,63853,63857,63858,63859,63878,63879,63883,63884"
81,55825,"63797,63906"
82,55571,"63797,63798,63912"
83,55456,"63781,63782,63792,63793,63797,63798,63813,63824,63825,63851,63852,63853,63857,63858,63859,63878,63879,63883,63884"
84,55713,"63764,63765,63781,63782,63792,63793,63798,63813,63824,63825,63851,63852,63853,63857,63896,63897,63905,63906,63912,63969,63970,63971,63976"
85,55502,"63764,63765,63781,63792,63793,63798,63813,63825"
86,55840,"63734,63735"
87,55584,"63723,63782,63792,63793,63797,63798,63813,63824,63825,63852,63853,63878,63883,63884,63897"
88,55582,"63723,63765,63858"
89,55846,"63719,63720,63722,63781,63782,63792,63793,63797,63824,63857"
90,55408,"63719,63813,64048"
91,55854,"63693,63710,63719,63720,63722,63723,63781,63782,63813,63824,63825,63859,63896,63941,63942,63949,63956,63957,63969,63970,63971,64048,64049,64054,64055,215253,216055"
92,55560,63693
93,55280,63674
