player,matches
633366,1252057
524050,1252057
524048,"1252057,1193500"
402245,"1252057,1252056,1193500"
921509,"1252057,1252056,1193500,1197138"
793463,"1252057,1193500,1197138,1168120,1133983"
533956,"1252057,1252056,1193500,1197138,1168120,1133983"
308235,"1252057,1193500,1133983"
440970,"1252057,1252056,1197138,1168120,1133983"
320652,"1252057,1252056,1193500,1197138,1168120,1133983"
420402,"1252057,1252056,1193500,1197138,1133983"
633399,1252056
974173,1252056
1059030,1252056
712219,"1252056,1193500,1197138"
440968,"1252056,1193500,1197138,1168120,1133983"
703323,"1193500,1197138,1168120"
914171,1197138
25913,"1197138,1168120,1133983"
1108490,1168120
935553,1168120
973945,"1168120,1133983"
419873,"1168120,1133983"
974109,1133983
