player,matches
1161381,1277978
932355,"1277978,1277977,1213062,1214666,1255828,1267676,1153847,1153848,1187016,1187017"
629057,"1277978,1277977,1267676,1153847,1153848,1187016,1187017,1153312,1197138,1244025"
927619,"1277978,1153847,1153640"
629058,"1277978,1277977,1255829,1213062,1214666,1255828,1267676,1244025,1244026,1153639,1019987"
629063,"1277978,1277977,1255829,1255828,1267676,1153847,1187016,1187017,1153312,1197138,1244025,1153311,1244026,1153640,1153639,1146717,1146718,1130744,1083445,1019987,1019985,1041761,1083444,1075502,1029825,1029827,1104284,1104285,1130745"
536936,"1277978,1277977,1255829,1213062,1214666,1255828,1267676,1153847,1153848,1187016,1187017,1153312,1197138,1244025,1244026,1153640,1153639,1146717,1146718,1130744,1083444,1075502,1075503,1130745,817213,817215,870729"
401057,"1277978,1277977,1255829,1213062,1214666,1255828,1153848,1187016,1187017,1153312,1197138,1244025,1153311,1244026,1153640,1153639,1146718,1130744,1083445,1041761,1075503,1029825,1029827,1104284,1104285,1130745,817213,870729,858493,858495,760781,760783,760785,730295,730297"
373696,"1277978,1277977,1255829,1213062,1214666,1255828,1267676,1153847,1153848,1187016,1187017,1153312,1197138,1244025,1153311,1244026,1153640,1153639,1146717,1146718,1130744,1019985,1041761,1083444,1075502,1075503,1029825,1029827,1104285,1130745,817213,817215,870729,858493,858495,760781,760783,760785,730295,730297,690347,690349,668951,668949,623577,602472,602473"
56143,"1277978,1267676,1153312,1197138,1244025,1153311,1146717,1146718,1083445,1019987,1019985,1041761,1083444,1029825,1029827,1104284,1104285,817213,817215,870729,858493,858495,760781,760783,760785,690347,690349,668951,668949,623577,587470,587469,623576,538072,538073,531987,531986,426401,522245,426424,426402,434256,434257,423786,401071,401072,426423,350346,378750,378751,350345,361759,361758,300430,323947,323948,282691,282692,293478"
56029,"1277978,1277977,1255829,1214666,1255828,1267676,1187016,1187017,1153312,1197138,1244025,1153311,1244026,1153640,1153639,1146717,1146718,1130744,1083445,1019985,1041761,1083444,1075502,1075503,1029825,1029827,1104284,1104285,1130745,817213,817215,870729,858493,858495,760781,760783,760785,730295,730297,690347,690349,668951,668949,623577,602472,602473,587470,587469,623576,538072,538073,531987,531986,426401,522245,426424,426402,434256,434257,423786,401071,401072,426423,350346,378750,378751,350345,361759,361758,300429,300430,323947,323948,293479,238168,293480,209929"
629059,1277977
821749,"1277977,1255829,1213062,1214666,1255828,1267676"
410763,"1277977,1255829,1213062,1214666,1255828,1153847,1153848,1187016,1187017,1244026,1153639,1146717,1146718"
410765,"1277977,1146717,1146718,1019987"
990039,1255829
538506,"1255829,1255828,1267676,1019987,1019985,1041761,1083444,1075502"
