player,matches
554691,"1243385,1243386,1243387"
1070173,"1243385,1243386,1243387,1223872,1243384,1223871,1223870,1249875"
940973,"1243385,1243387,1223872,1223871,1223870,1239543,1239544,1239545,1239546"
931581,"1243385,1243386,1243387,1223872,1243384,1223871,1223870,1249875,1239543,1239544,1239545,1239546,1144995,1144996,1188628,1188629,1187685,1187686,1157753,1157752,1119553,1144994,1119551,1119552,1144993"
559235,"1243385,1144996,1157753,1157752,1109604,1119550,1062576"
34102,"1243385,1243386,1243387,1223872,1243384,1223871,1249875,1239543,1239544,1239545,1239546,1187009,1144995,1187007,1187008,1187016,1187017,1144993,1122276,1122277,895777,754743,895773,895775,1022597,1022599,1030213,1122724,754737,667715,676525,676527,648665,648667,667651,667653,754739,870729,903607,903609,1030215,1030217,1122725"
277916,"1243385,1243386,1243387,1223872,1243384,1223871,1223870,1249875,1239543,1239544,1239545,1239546,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1187686,1223869,1157753,1157752,1119553,1144994,1119551,1119552,1144993,1122278,1109602,1109603,1109604,1133983,1119549,1119550,1062576,1034813,1062574,1062575,1034811,1062573,895777,754741,754743,895773,895775,1022595,1022597,1022599,1030213,1041761,1122723,1122724,754737,667715,667717,667711,667713,667719,903605,648665,648667,667651,667653,754739,870729,903607,903609,1030215,1030217,1122725,1022593,1034809,598815,903603"
26421,"1243385,1243386,1243387,1243384,1223871,1223870,1249875,1187009,1187007,1187008,1187016,1187017,1187685,1223869,1157753,1157752,1119551,1119552,1144993,1122276,1122277,1109602,1109603,1109604,1133983,1119549,1119550,1062576,1034813,1034815,1034817,1062574,1062575,1034811,1062573,895777,754741,754743,895773,895775,1022595,1022597,1022599,1030213,1041761,1122723,1122724,667717,667719,903605,676525,676527,648665,754739,870729,903607,903609,1030215,1030217,1122725,1022593,1034809,598815,903603,598814,598812,598813,565809,535999,535997,535998,518950,518951,518953,565817,565818,565806,565807,565808"
253802,"1243385,1243386,1243387,1243384,1249875,1239543,1239544,1239545,1239546,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1187686,1223869,1157753,1157752,1119553,1144994,1119551,1119552,1144993,1122276,1122277,1122278,1109602,1109603,1109604,1119549,1119550,1034813,1034815,1034817,1062574,1062575,1034811,1062573,895777,754741,754743,895773,895775,1022595,1022597,1022599,1030213,1041761,1122723,1122724,754737,667715,667717,667711,667713,667719,903605,676525,676527,648665,648667,667651,667653,754739,870729,903607,903609,1030215,1030217,1122725,1022593,1034809,598815,903603,598814,598812,598813,565809,518952,535999,518950,518951,518953,565817,565818,565806,565807,565808,489226,489227,489228"
32540,"1243385,1243386,1243387,1223872,1243384,1223871,1223870,1249875,1239543,1239544,1239545,1239546,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1187686,1223869,1157753,1157752,1119553,1144994,1119551,1119552,1144993,1122276,1122277,1122278,1109602,1109603,1109604,1133983,1119550,1062576,1034813,1034815,1034817,1062574,1062575,1034811,1062573,895777,754741,1022595,1022599,1030213,1041761,1122723,1122724,754737,667715,667717,667711,667713,667719,903605,676525,676527,648665,648667,667651,667653,754739,903607,903609,1030215,1030217,1122725,1022593,1034809,598815,903603,598814,598812,598813,565809,565817,565818,565806,565807,565808,464527,463147,463148"
236779,"1243385,1243386,1243387,1243384,1249875,1239544,1239545,1144995,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1119553,1144994,1119551,1119552,1144993,1122277,1122278,1133983,1119549,1119550,1034817,1062574,1062575,1062573,895777,754741,895773,895775,1022595,1022597,1022599,1041761,1122724,754737,667711,667713,667719,903605,648665,648667,667651,667653,754739,870729,903607,903609,1122725,1022593,598815,598814,598812,598813,565809,518952,535999,535997,535998,518950,518951,518953,565808,489226,489227,489228,474472,474473,474474,463146,463147,463148,456670,456671,464526,464533,474475,456669,441825,441826,434257,345672,345670,345671,361050,361051,430881,434256,282692,297808,291352,291353,291354,332913,343729,343730,343731,345669,366628,386496,366629"
719715,"1243386,1243387,1223872,1243384"
625383,"1243386,1243384,1223871,1223870,1249875,1239543,1239544,1239545,1239546,1144995,1144996,1188628,1188629,1187685,1187686,1223869,1119553,1144994,1119551,1119552,1144993,1122276,1122277,1122278"
802575,1223872
700167,"1223872,1223871"
398438,"1223872,1223870,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1187686,1223869"
475281,"1223872,1239543,1239546,1157753"
31872,"1243384,1187009"
452044,"1223871,1223870,1144995,1144996,1188628,1188629,1187007,1187685,1187686,1223869,1119553,1144994"
234675,"1223871,1223870,1249875,1239543,1239544,1239545,1239546,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187686,1157753,1157752,1119553,1109602,1109603,1133983,1062576,1034813,1034815,1034817,1062574,1062575,1034811,1062573,1022597,1030213,1041761,1122723,1122724,667715,667717,667711,667713,903605,648667,667651,667653,903607,903609,1030215,1030217,1122725,1034809,598815,903603,598814,598812,598813,565809"
376116,"1223870,1239546,1187009,1187008,1187016,1187017,1187686,1223869,1157753,1157752,1144994,1109602,1109603,1109604,1133983,1119549,1062576,1034813,1034815,1034817,1062574,1062575,1034811,1062573,895777,754741,754743,895775,1022595,1030213,1041761,1122723,1122724,754739,870729,903609,1030217,1022593,1034809,903603,518952,535997,535998,518950,518951,518953,565817,565818,565806"
481896,"1249875,1239543,1239544,1239545,1187009,1144995,1144996,1188628,1188629,1187007,1187008,1187016,1187017,1187685,1187686,1223869,1157752,1119553,1144994,1119551,1119552,1144993,1122276,1122277,1122278,1109602,1109603,1109604,1119549,1119550,1034813,1034811,754741,754743,1022595,1022597,1022599,1030213,1122723,754737,667715,667711,667713,676525,676527,648665,648667,667651,667653,1030215,1030217,1122725,1022593,1034809"
422108,"1239543,1239544,1239545,1239546,1144996,1188628,1188629,1157753,1157752,1119553,1144994,1119551,1119552,1144993,1122277,1122278,1109603,1109604,1133983,1119549,1119550,1062576,1034815,1034817,1062574,1062575,1034811,1062573,895777,754741,754743,895773,895775,1022595,1022597,1022599,1030213,1041761,1122723,1122724"
279810,"1187009,1187007,1187008,1187016,1187017,1223869,1122276,1109602,1109603,1109604,1062576,1062574,1062575,1034811,1062573,754743,895773,895775,1022595,1022597,1022599,1030213,1041761,1122723,1122724,754737,903605,870729,903607,903609,1030215,1030217,1122725,1022593,1034809,903603,518953,441825"
1070168,"1187685,1187686,1223869,1157753,1157752"
28235,"1119553,1119551,1119552,1122276,1109602,1109603,1109604,1133983,1119549,754741,895773,1022595,1022597,1122723,754737,667715,667711,667713,903605,676525,676527,648665,648667,667651,667653,754739,870729,903607,903609,1030215,1122725,1022593,903603,598814"
237095,"1144994,1144993,1122276,1122277,1122278,1133983,1119549,1119550,1062576,1034813,1034815,1034817,1062575,1034811,1062573,754741,754743,895775,1022599,1030213,1041761,1122724,754737,667715,667717,667711,667713,667719,903605,676525,676527,648665,648667,667651,667653,754739,870729,903607,903609,1030215,1030217,1122725,1022593,1034809,598815,903603,598814,598812,598813,489226,489227,489228,464527,463147,456670,456671,441825,441826,430883,434257,345672"
625371,"1119551,1119552,1122276,1122277,1122278,1109602,1109603,1109604,1133983,1119549,1119550"
326016,"1122276,1122278,1062576,1034815,754743,1022597,1022599,1041761,1122723,667715,667717,667711,667713,667719,676525,676527,1030215,598815,598814,598812,598813"
32242,"1122277,1122278,1034813,1034815,1034817,343731,64060,64062,64081,64082,64083,64099,64100,64047,64046,64059,64061,64101,63998,63999,64004,64005,64006,64020,64021"
302582,"1109602,1062574,489226,489227,489228,474472,474473"
30045,"1133983,1119549,1119550,434256,282692,297808,343729,343730,386496,282691,249217,297806,297807,258468,258469,258470,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613"
398439,"1062576,1034813,1034815,1034817,1062574,1062575"
447587,"1034813,1034815,1034811,1062573"
31107,"1034817,895777,895773,895775,1022595,903607,1022593,1034809,903603,489226,474474,456671,474475,441825,441826,345672,345670,345671,361050,361051,430881,434256"
32102,895777
27223,"895777,895775,667711,667713,667719,903605"
28081,"754741,667715,667717,667711,667713,667719,676525,676527,648665,648667,667651,667653,754739,598815,598814,598812,598813,565809,518952,535999,535997,535998,518950,518951,565817,565818,565806,565807,565808,489226,489227,489228,474472,474473,474474,463146,464527,463147,463148,456670,456671,464526,464531,464532,464533,474475,456669,441825,441826,430882,430883,434257,345672,345670,345671,361050,361051,430881,282692,291352,291353,291354,332913,345669,366628,366629,282691,239920,239921,249215,249216,238186,238187,239922,239923,297806,297807,239025,258468,258469,258470,332911,332912,233797,234783,291351,226361,226362,226363,232615"
33335,"754743,565817,565818,489226,489227,489228,474472,474473,474474,463146,464527,456670,456671,464526,464531,464532,464533,474475"
360911,"895773,754737,667717,667719,903605,754739,870729,903603,535999"
29264,"895773,870729,598812,598813,565807,489226,489227,489228,474472,474473,463146,464527,463147,463148,456670,464526,464531,464532,464533,456669,441825,441826,430882,430883,434257,345672,345670,361050,361051,430881,297808,291352,291354,332913,343729,343730,343731,345669,366628,386496,366629,238186,238187,239922,239923,297806,297807,239025,332911,332912,233797,291351,226361,226362,226363,232615,64102,64109,64110,64111,64112,64126,64127,219062,219613,64099,64100,64047,64046,64059,63998,63999,64004,64005,64006,64020,64021,63985,63986,63988,64000,63961,63962,63976,63977,63952,63963,63935,63943,63944,63945,63921,63934,63919,63920,63849,63850,63831,63829,63830,63813,63796,63826"
30288,754737
32973,"667715,667717"
28763,"667717,667719,1030217,1034809,565809,518952,535999,535997,535998,518950,518951,518953,565817,565818,565806,565807,565808,474472,474474,463146,463148,464526,464531,464532,464533,474475,456669,441825,441826,430882,434257,345670,345671,361050,361051,430881,434256,297808,343729,343730,343731,345669,366628,386496,366629,226361,226362,226363,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613"
32130,"676525,676527,598815,598814,565809,535999,535997,535998,565817,565818,565806,565807,565808,464527,456670,456671,464526,464531,464532,464533,456669,430882,430883,434257"
35320,"676525,676527,598815,598814,598812,598813,565809,518952,535999,535997,535998,518950,518951,518953,565817,565818,565806,565807,565808,474472,474473,474474,463146,464527,463147,463148,456670,456671,464526,464531,464532,464533,474475,456669,441825,441826,430882,430883,434257,345672,345670,345671,361050,361051,430881,434256,282692,291352,291353,291354,343729,343730,343731,345669,366628,386496,366629,282691,249215,249216,238186,238187,249217,297806,297807,239025,258468,258469,258470,332911,233797,234783,291351,226361,226362,226363,232615,64102,64109,64110,64111,64112,64125,64126,64127,64060,64062,64081,64082,64083,64047,64046,64059,64061,64101,63998,63999,64004,64005,64006,64020,64021,63985,63986,63987,63988,63997,64000,63961,63962,63976,63977,63984,63951,63952,63963,63935,63921,63934,63919,63906,63905,63898,63920,63871,63870,63866,63867,63848,63849,63850,63865,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63795,63721,63736,63714,63715,63726,63713,63662,63696,63631,63632,63633,63645,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63565,63563,63564,63566,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534"
30102,"648665,648667,667651,667653,518952,518950,518951,518953,565817,565818,565806,565807,565808,474472,464527,463147,463148,464526,464531,464532,441825,441826,430882,430883,434257,345672,345670,345671,361050,361051,430881,434256,282692,343729,343730,343731,345669,366628,386496,366629,282691,249215,249216,249217,297806,297807,258468,258469,258470,233797,234783,291351,64102,64109,64110,64111,64112,64125,219062,219613,64081,64099,64100,64047,64046,64059,64061,64101,63998,63999,64004,64005,64020,64021,63985,63986,63987,63988,63997,64000,63976,63977,63984,63951,63943,63944,63945,63921,63934,63906,63898,63920"
35263,"598812,598813,565809,518952,535999,535997,535998,518950,518951,518953,565817,565818,565806,565807,565808,474474,463146,464527,463147,463148,456670,456671,464526,464531,464532,464533,474475,456669,441825,441826,430882,430883,434257,345672,345670,345671,361050,361051,430881,434256,291353,291354,332913,343729,343730,343731,345669,366628,386496,366629,239920,239921,249215,249216,238186,238187,239922,239923,249217,239025,332911,332912,233797,234783,226361,226363,232615,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64081,64082,64083,64099,64100,64047,64046,64059,64061,64101,63998,63999,64004,64005,64006,64020,64021,63997,64000,63962,63977,63951,63952,63963"
32966,"565809,332913,238186"
35731,518952
30750,"518952,535999,535997,535998,518950,518951,518953,489226,489227,489228,474472,474473,474474,463146,463147,463148,456670,456671,464526,464531,464532,464533,474475,456669,441826,430882,430883,345672,345670,345671,361050,361051,430881,434256,297808,291352,291353,291354,332913,343729,343730,343731,345669,366628,386496,366629,239920,239921,249215,249216,239922,239923,249217,297806,297807,239025,258468,258469,258470,332911,332912,233797,234783,291351,226361,226362,226363,232615,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64081,64082,64083,64099,64100,64047,64046,64059,64061,64101,63998,63999,64004,64005,64006,64020,64021,63985,63986,63987,63988,63997,64000,63961,63962,63976,63984,63951,63952,63963,63935,63921,63934,63919,63905,63920,63870,63866,63867,63865,63831,63828,63829,63830,63796,63745,63746,63747,63748,63737,63738,63724,63725,63795"
28114,"518952,535999,535997,535998,518950,518951,518953,489226,489227,489228,474472,474473,474474,463146,464527,463147,463148,456670,456671,464526,464531,464532,464533,474475,456669,430882,430883,434257,345672,345670,345671,361050,361051,430881,434256,282692,297808,291352,291353,291354,332913,343729,343730,343731,345669,366628,386496,366629,282691,239920,239921,249215,249216,238186,238187,239922,239923,249217,297806,297807,239025,258468,258469,258470,332911,332912,233797,234783,291351,226361,226362,232615,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64081,64082,64083,64099,64100,64047,64046,64059,64061,64101,63998,63999,64004,64005,64006,64020,64021,63985,63986,63987,63988,63997,64000,63961,63962,63976,63977,63984,63951,63952,63963,63935,63943,63944,63945,63921,63934,63919,63906,63905,63898,63920,63871,63870,63866,63867,63848,63849,63850,63865,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63795,63721,63736,63714,63715,63726"
36084,"535997,535998,565806,565807,565808,474473,456669,430882,430883,434257,361050,361051,430881,434256,297808,291352,332913,366628,386496,366629,239920,239921,238186,238187,239922,239923,233797,234783,291351,226362,226363,232615,219062,219613,64081,64082,64083,64099,64100,64047"
30732,"489226,489227,489228,474472,474473,474474"
310958,"489227,456670,456671,456669"
32965,"489228,366628,386496,366629,239920,239921,238186,238187,239922,239923,249217,297806,297807"
34274,"474473,474474,463146,464527,463147,463148,464531,464532,464533,474475,430882,430883,434256,332913,239920,249215,249216,238187,239922,239923,249217,239025,258468,258469,258470,332911,332912"
390484,463146
35280,"474475,282692,291352,291353,291354,282691,258468,258469,258470,332911,332912,233797,234783,291351"
26806,"441825,441826"
28779,"345672,345670,345671,282692,297808,291352,291353,291354,332913,343729,343730,343731,345669,282691,249215,249216,249217,297806,297807,258468,258469,258470,332911,332912,234783,291351,226361,226362,232615,64109,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64083,64099,64100,64046,64059,64061,63998,63999,64004,64005,64006,64020,64021,63985,63986,63987,63988,63997,64000,63961,63962,63976,63977,63984,63951,63952,63963,63935,63943,63944,63945,63921,63934,63919,63906,63905,63898,63920,63871,63870,63866,63867,63848,63849,63850,63865,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63777,63737,63738,63725,63795,63721,63736,63714,63715,63726"
30176,"345671,282692,297808,291352,291353,291354,343729,343730,343731,345669,282691,239920,239921,249215,249216,238186,238187,239922,239923,249217,297806,297807,239025,258468,258469,258470,332911,332912,233797,234783,291351,226361,226362,226363,232615,64102,64109,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64081,64082,64083,64099,64100,64047,64046,64061,64101,63999,64004,64005,64006,63987,63997,64000,63961,63962,63976,63977,63984,63951,63952,63963,63871,63870,63866,63867,63848,63849,63850,63865,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63795,63721,63736,63714,63715,63726,63713,63662,63696,63631,63632,63633,63645,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63583,63535"
32391,"282692,282691"
29646,"282692,297808,291352,291353,332913,282691,239920,239921,249215,249216,238186,238187,239922,239923,249217,297806,297807,239025,258468,258469,258470,332911,332912,291351,63998,63986,63987,63988,63997,63871,63870"
32685,"297808,291353,291354,239921,238186,238187,239025,332912,233797,234783,226361,226362,226363,232615,64110,64111,64112,64125,64126,64127,219062,219613,64060,64062,64081,64082,64083,64099,64100"
35281,"282691,239920,239921,249215,249216"
29990,"239920,239921,239922,239923,239025,226363,64102,64100,64101,63943,63944,63945,63871"
26184,"226361,226362,226363,232615,64060,64062,64082,64059,64061,64101,63998,63999,64020,63997,64000,63952,63935,63919,63906,63905,63898,63870,63866,63867,63865,63813"
30049,"64102,64109,64062,64101,63905,63898,63871,63870"
26829,"64125,64126,64127,64081,64082,64083,64047,64046"
27639,"64060,64062,64081,64082,64099,64047,64046,64059,64061,64101"
31820,"64060,64083,64059,64061,63998,64006,64020,64021,63985,63986,63987,63988,63997,63951,63935,63934,63831"
27225,"63999,64004,64005,64006,64020,64021,63985,64000,63961,63976,63977,63984"
34105,"64004,64005,64006,63985,63986,63987,63988,63962,63976,63977,63984,63951,63952,63963,63935,63943,63934,63919,63906,63905,63898,63871,63870,63866,63867,63848,63849,63850,63865,63828,63829,63830,63827,63813,63826,63794,63775,63776,63777,63737,63738,63724,63725,63795,63736,63714,63715,63726,63713,63662,63696,63645,63660,63661,63694,63695,63615,63616,63586,63587,63589,63565,63563,63564,63566,63567,63583"
36080,"64021,63961,63962"
33127,"63985,63986,63987,63988,63997,64000"
28010,"63985,63986,63987,63988,63961,63962,63976,63977,63984,63951,63952,63963,63935,63943,63944,63945,63921,63934,63919,63906,63905,63898,63920"
34026,63961
28146,"63961,63962,63976,63977,63984,63951,63952,63963"
34211,"63984,63963,63906"
26802,"63935,63943,63944,63945"
28090,"63935,63943,63944,63945,63921,63934"
33066,"63943,63944,63945,63921,63934,63919,63906,63905,63898,63920,63866,63848,63849,63850,63865,63831,63828,63829,63830"
32345,"63943,63944,63945,63920,63866,63867,63848,63850,63865,63831,63828,63829,63830,63827,63826,63763,63762,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63721,63736,63714,63715,63726,63713"
29280,"63944,63796,63794"
26815,"63945,63921"
30149,"63921,63762,63776"
34214,63919
31036,"63919,63920,63871,63870,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63795,63721,63736,63714,63715,63726,63713,63662,63696,63631,63632,63633,63645,63660,63661,63694,63695"
27978,"63906,63905"
29725,"63906,63905,63898,63848,63849,63828,63745,63746,63748,63749,63724,63725,63721,63726,63713"
30042,63898
33044,"63920,63796,63794,63795,63715,63662,63631,63632,63633,63645,63660,63661,63694,63695,63598,63599,63600,63617,63589,63588,63563,63564,63566,63567,63583,63523,63524,63548"
27641,63871
26329,"63871,63831,63828,63829,63830,63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63748,63749,63777,63737,63738,63724,63725,63795,63721,63736,63714,63715,63726,63713,63662,63696,63631,63632,63633,63645,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63565,63563,63564,63566,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534,63506,63495,63494,63469,63493,63503,63504,63467,63468,63449,63440,63452,63453,63433,63438,63439,63432,63434,63454,63455,63456,63409,63410,63411,63395,63393,63394,63418,63419,63420"
29632,"63870,63850,63827,63826,63763,63748,63749,63714,63713,63696,63694,63695,63586,63587,63589"
30018,"63866,63867"
32346,"63866,63867,63848,63849,63850,63865"
35673,"63867,63848,63849"
28770,"63848,63849,63850,63865"
34060,63827
34028,"63827,63813,63796,63826,63794,63763,63775,63762,63776,63745,63746,63747,63749,63777,63795,63662,63696,63631,63632,63633,63645,63660,63661,63695,63604,63598,63599,63600,63615,63616,63617,63565,63566,63567,63535,63523,63536,63514,63516,63513,63515,63534,63506,63495,63494,63493,63505,63503,63504,63352,63355"
34059,63813
27622,"63794,63775,63762,63776,63777,63795,63631,63632,63633,63645,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617"
31025,"63763,63775"
30182,"63763,63775,63762,63776,63745,63746,63747,63748,63749,63777"
28774,"63747,63749,63737,63738"
33058,"63737,63736,63726,63588,63583,63525,63523,63524,63469,63493,63505"
33120,"63738,63721,63736,63714,63715,63713"
29299,"63724,63725,63696,63535,63525,63523,63524,63536,63548,63534,63495,63494,63469,63493,63505,63503,63504"
30934,"63724,63715,63713,63662,63631,63632,63633,63645,63660,63661,63694,63586,63587,63589,63588,63565,63563,63564,63566,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534,63506,63505,63503,63504,63466"
29712,"63721,63736"
30030,"63721,63726,63662,63696"
30999,"63714,63713"
30009,"63662,63696,63631,63632,63633,63645,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617"
32323,"63662,63696,63631,63632,63633,63660,63661,63694,63695,63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63565,63563,63564,63566,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534,63393,63392"
30028,"63631,63632,63633,63645,63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63565,63563,63564,63566,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534,63506,63495,63494,63469,63493,63505,63503,63504,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63438,63439,63432,63434,63454,63455,63456,63409,63410,63411,63395,63394,63418,63419,63420,63392,63381,63382,63391,63352,63355,63349,63350,63339,63333,63334,63332,63335,63336,63337,63338,63330,63331,63353,63354,63320,63329,63315,63316,63314,63302,63303,63298,63299,63300,63301,63288,63286,63287,63348,63351,63251,63252,63262,63279,63280,63281,63347,63247,63248,63249,63250,63242,63243,63244,63245,63246,63241,63238,63239,63240,63237,63229,63230,63228,63217,63218,63219,63226,63227,63231"
36069,63604
26238,"63604,63598,63599,63600,63615,63616,63617,63586,63587,63589,63588"
30923,"63604,63514,63516,63515,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63438,63439,63432,63434,63455,63456,63409,63411,63381,63352,63355,63333,63334,63332,63335,63336,63337,63330,63331,63353,63354"
31038,"63598,63599,63600,63615,63616,63617,63586,63587,63589,63588,63563,63564,63567,63583,63535,63525,63523,63524,63536,63548,63514,63516,63513,63515,63534,63506,63495,63494,63469,63493,63505,63503,63504,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63438,63432,63434,63454,63455,63456"
33975,"63586,63587,63588,63565,63563,63564,63583,63535,63536,63548,63514,63516,63513,63515,63534,63506,63495,63494,63469,63493,63505,63503,63504,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63438,63439,63432,63434,63454,63455,63456,63409,63410,63411,63395,63393,63394,63418,63419,63420,63392,63381,63382,63391,63352,63355,63349,63350,63339,63334,63335,63336,63337,63338,63353,63354,63329,63315,63316,63314,63302,63303,63298,63299,63300,63301,63288,63286,63287,63348,63351"
26853,63565
32179,"63565,63566,63433,63438,63439"
35654,"63565,63563,63564,63566,63567,63535,63525,63524,63536,63548,63534,63506,63495,63494,63493,63505,63503,63504,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63439,63432,63434,63454,63455,63456,63409,63410,63411,63395,63393,63394,63418,63419,63420,63392,63381,63382,63391,63355,63349,63350,63339,63333,63334,63332,63335,63336,63337,63338,63330,63331,63353,63354,63320,63329,63315,63316,63314,63302,63303,63298,63299,63300,63301,63288,63286,63287,63351,63251,63262,63279,63280,63281,63247,63248,63249,63250,63242,63243,63244,63245,63246,63241,63238,63239,63240,63237,63229,63230,63228,63217,63218,63219,63226,63227,63231,63156,63157,63158,63160,63162,63176,63195,63196,63197,63198,63199"
34103,"63563,63564,63566,63567,63514,63516,63513,63515,63495,63494,63469,63493,63466,63467,63468,63449,63450,63451,63440,63452,63453,63433,63438,63439,63432,63434,63454,63455,63456,63409,63410,63411,63395,63394,63418,63419,63420,63333,63332,63298,63299,63300,63301"
28884,63525
35939,"63525,63523,63524,63536"
33952,"63548,63454,63455,63409,63395"
33151,"63514,63516"
26257,63513
26290,"63513,63515,63506,63495,63494,63469,63493,63505,63503,63504,63466,63467,63468"
33963,"63534,63495"
35657,63506
33949,"63506,63505,63503,63504,63466,63467,63468,63449,63450,63438,63439,63432,63434,63409,63410,63411,63393,63394,63418,63420,63381,63382,63391"
