player,matches
318842,1277101
379887,"1277101,1277100"
605661,"1277101,1277100"
481803,"1277101,1288981"
324260,"1277101,1277100,1288981,1288982"
595004,"1277101,1277100,1288981,1288982,1277080,1277081,1263149,1263150"
485676,"1277101,1277100,1277079,1277080,1277081,1263149,1263150"
698189,"1277101,1277100,1288982,1277079,1263149,1263150,1237356,1237357,1243018,1144165"
486679,"1277101,1277100,1288981,1277080,1277081,1144165,1144155,1075502,1075503,1144153,1144154,1144164,1031439,1031443,936151"
267724,"1277101,1277100,1288982,1277079,1277080,1277081,1263149,1263150,1237356,1237357,1185306,1185305,1185304,1243017,1243018,1187008,1187007,1144165,1122277,1075983,1142582,1075502,1075503,1122310,1122276,1075982,1075984,1075985,1142581,1144153,1144164,1031437,1031439,1031441,1031443,1020045,1000851,1000853,936147,936149,1020041,1020043"
432960,"1277101,1277100,903603,903607,817215,722333,817213"
372116,"1277101,1277100,1288981,1288982,1277079,1277080,1277081,1237356,1237357,1185307,1243017,1243018,1187009,1187008,1187007,1144165,1144155,1142582,1075502,1075503,1122310,1075984,1075985,1142581,1144153,1144154,1144164,1031437,1031439,1031441,1031443,1020045,936151,1000855,1000851,1000853,936147,936149,1020041,1020043,800467,936127,936129,800465,800463,817215,903609,722333,817213,722331,800461"
230852,"1277101,1277100,1288981,1288982,1277079,1277080,1277081,1263149,1263150,1237356,1237357,1185307,1185306,1185305,1185304,1243017,1243018,1187009,1187008,1187007,1144165,1144155,1122277,1122278,1075983,1142582,1075502,1075503,1122310,1122276,1075982,1075984,1075985,1142581,1144153,1144154,1144164,1031437,1031439,1031441,1031443,1020045,936151,1000855,1000851,1000853,936147,936149,1020041,1020043,800467,936127,800465,800463,903603,903605,903607,817215,903609,722333,817213,722331,800461,722329,736435,648675,730089,730091,567365,648677,573009,567356,567357,567363,567364,649089"
696401,"1288981,1288982,1277079,1277080,1277081"
337790,"1288981,1288982,1277079,1277080,1277081,1263149,1263150,1237356,1237357,1185307,1185306,1185305,1185304,1243017,1243018"
550187,"1288981,1185306,1185305,1185304,1187009,1144155"
600498,"1288981,1288982,1277079,1277080,1277081,1263149,1263150,1237356,1237357,1185304,1243017,1243018,1187008,1187007,1144165,1144155,1122277,1122278,1075983,1142582,1075502,1075503,1122310,1122276,1075982,1075984,1075985,1142581,1144153,1144154,1144164"
