player,matches
784367,"1288346,1278682,1278683"
1028665,"1288346,1278683,1255829,1288345"
1028655,"1288346,1278682,1255829,1288345,1252073,1252074,1255828"
629084,"1288346,1255829,1288345,1243016"
366725,"1288346,1255829,1288345,1252073,1252074,1255828,1243016,1144164,1144165,1206635,1206636,1212541,1212542"
848109,"1288346,1278682,1278683,1288345,1252073,1252074,1243016,1243015,1144164,1144165,1206636,1212541,1212542,1192873,1192874"
465793,"1288346,1278682,1278683,1255829,1288345,1252073,1252074,1255828,1237356,1144164,1144165,1206635,1206636,1212541,1212542,1192873,1192874,1145001,1135150,1135151,1153838,1130745,1142582,1140385,1140386,1122725,1130744,1142581,1140387,1145000,1109603,1059702,1059703,936149,936151,1083445,995453,995451,995455,936147"
227772,"1288346,1278682,1278683,1255829,1288345,1252073,1252074,1255828,1237357,1237356,1144164,1144165,1206635,1206636,1212541,1212542,1192873,1192874,1145001,1153838,1130745,1142582,1140385,1140386,1122725,1130744,1142581,1140387,1153839,1145000,1120285,1122723,1122724,1109603,1109604,1109602,1059702,1059703,936149,936151,1083444,1104483,1083445,995453,995451,995455,1120284,936147,913613,914203,914205,915775,913615,913617,915773,895777,860265,895775,749777,860267,895773,657651,690347,690349,860263,657647,602472,602473,582192,573011,573012,573013,657649,667899,667901,749779"
300628,"1288346,1288345,1252073,1252074,1243016,1243015,1237356,1206635,1206636,1212541,1212542,1145001,1135150,1153838,1130745,1140385,1122725,1130744,1135149,1153839,1145000,1120285,1122723,1122724,1109603,1109604,936149,936151,1083444,1104483,1083445,995453,995451,995455,1120284,936147,913613,914203,914205,915775,913615,913617,915773,895777,860265,895775,860267,895773,657651,690347,690349,730089,860263,657647,602472,602473,573013,657649,667901,749779,514033,514034,521225,562446"
49619,"1288346,1278682,1278683,1255829,1288345,1252073,1252074,1255828,1243016,1144164,1144165,1212541,1212542,1192873,1192874,1135150,1135151,1153838,1130745,1142582,1140385,1140386,1122725,1130744,1135149,1142581,1140387,1153839,1145000,1120285,1122723,1122724,1059702,1059703,936149,936151,1083444,1104483,1083445,995455,1120284,936147,914203,914205,913615,913617,749777,860267,730091,657651,690347,690349,730089,657647,602473,573013,657649,749779,521225,530425,530424,516214,516213,474465,521226,474463,464988,464989,474464,516212"
