player,matches
632168,1288345
348056,"1288345,1263149,1263150,1263169,1263170,1244025,1244026,1252073,1252074,1288346"
314650,"1288345,1263149,1263169,1263170,1244025,1244026,1252073,1252074,1288346"
1168667,"1288345,1263149,1263150,1263169,1263170,1244025,1244026,1252073,1252074,1288346,1233958"
494581,"1288345,1263149,1244025,1244026,1252073,1252074,1188629,1193500,1225249"
391832,"1288345,1263149,1263150,1263169,1263170,1288346,1233958,1188629,1193500,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1158064,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1022597,1050233,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717,1022593"
432214,"1288345,1263169,1244025,1244026,1288346,1193500,1153312,1157753,1153311,892517,892519,915775,892515"
581379,"1288345,1263149,1263150,1288346,1193500,1225249,1188628,1225247,1225248,1158062,1158063,1158064,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1050231,1135149,1135150,1135151,1146717,892519,915775,810425,810423,766933,915773"
391485,"1288345,1263149,1263150,1263169,1263170,1252073,1252074,1288346,1233958,1188629,1193500,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1146718,1115793,1157753,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1022597,1050233,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717,1022593,892517,892519,915775,892515,810425,810423,766933,915773,722331,722333,730281,766929,766931"
431909,"1288345,1263149,1263150,1263169,1263170,1244025,1244026,1252073,1252074,1288346,1233958,1188629,1225249,1225247,1225248,1233957,1031659,1031661,1031663,1122886,1122887,1022597,1050233,1022595,1022599,1050229,1050231,1022593,892517,892519,915775,892515,810425,810423,766933,915773,730297,722329,722333,766929,766931,730279,730295"
446101,"1288345,1263150,1244025,1244026,1252073,1252074,1233958,1188629,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1158064,1157752,1146718,1115794,1115793,1157753,1153311,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1022597,1050233,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717,1022593,892515,810423,766933,915773,722331,730297,722333,766931,730279,730295,534205,593988,593989,676527,661679,661681"
348024,"1288345,1263149,1263150,1263169,1263170,1244025,1244026,1252073,1252074,1288346,1233958,1188629,1193500,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1158064,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1022597,1050233,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717,1022593,892517,892519,915775,892515,810425,810423,766933,915773,722331,730297,722329,722333,730281,766929,766931,730279,730295,661683,531987,535997,535999,540177,540178,531986,535998,540176,489219"
1199304,"1263149,1263150,1263169,1263170"
252932,"1263149,1263150,1263169,1263170,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1135149,1135150,1135151,1146717,676525,587469,587470,661683,534207,560929,560930,534205,593988,593989,676527,661679,661681,489228,531987,535997,535999,540177,540178,534206,730277"
230553,"1263149,1263150,1263169,1263170,1244025,1252073,1252074,1288346,1188629,1193500,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1158064,1153312,1115794,1115793,1153311,1031659,1031661,1031663,1122886,1122887,1135149,1135150,1135151,1146717,892517,892519,915775,892515,810425,915773,730297,722329,730281,766929,766931,730279,730295,560929,560930,534205,593988,593989,531987,540177,540178,534206,730277,535998,540176,489219,489218,464987,464988,464989,439154,439153,406191,406189,406190,401071,401072"
670031,"1263170,1244026,1252073,1252074,1233958,1225247,1225248,1233957,1158062,1158063,1158064,1031659,1077953,1077954,1077955,1022597,1050233"
851501,"1244025,1244026"
348026,"1244025,1244026,1252073,1252074,1233958,1188629,1193500,1225249,1188628,1225247,1225248,1233957,1158062,1158063,1158064"
274921,"1288346,810425,766933,676525,587469,587470,661683"
914519,1233958
230555,"1233958,1188629,1193500,1225249,1188628,1225247,1225248,1233957"
277472,"1233958,1188629,1188628,1233957,1158062,1158063,1158064,1022597,1050233,1022595,1022599,1050229,1050231,1022593,892517,892519,915775,892515,810425,810423,766933,915773,730297,730281,766929,766931,730279,730295,676525,587469,587470,534207,534205,593988,593989,676527,661679,661681,489228,531987,535997,535999,540177,540178,534206,730277,531986,535998,540176,489219,489218,489226,489227,464987,464988,464989"
332937,1188629
670025,"1188629,1193500,1188628,1158062,1158063,1158064,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1077953,1077954,1077955"
431905,"1193500,1225249,1225247,1225248,1233957,1158062,1158063,1158064,1157752,1153312,1146718,1115794,1115793,1157753,1153311,1031659,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1022597,1050233,1022595,1022599,1050229,1135149,1135150,1135151,1146717,1022593,810425,810423"
556749,"1188628,1146718,1115794,1115793,1031659,1022597,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717"
677081,"1158064,1157752,1146718"
1086206,"1157752,1153312"
348054,"1157752,1153312,1115794,1115793,1157753,1153311"
341593,"1157752,1153312,1157753,1153311,1031661,1031663,1122886,1122887,1077953,1077954,1077955,1050233,1022595,1022599,1050229,1050231,1135149,1135150,1135151,1146717,1022593,915775,810423,915773,766931,489228,531987,535997,535999,531986,535998,540176,489219,489218,489226,489227"
