player,matches
946517,1267676
493765,1267676
951781,"1267676,1257187,1257186"
806241,"1267676,1257187,1257186"
392946,"1267676,1257187,1257186"
453277,"1267676,1252056,1252057,1214666,1212542,1212541"
827051,"1267676,1257187,1257186,1252056,1252057,1122310"
392945,"1267676,1257187,1257186,1252056,1252057,1214666,1212542,1212541,1153640,1104483,1059702,1059703,1024043,1024041,736435"
235524,"1267676,1214666,1212542,623576"
293831,"1267676,1257187,1257186,1252056,1252057,1214666,1212542,1212541,1153639,1153640,1122887,1122886,1104483,1024041,760783,760785,760781,736435,623577,593988,520591,527017"
55814,"1267676,1257187,1257186,1214666,1212542,1212541,1153639,1153640,1122310,1122887,1122886,760783,760785,760781,736435,623576,623577,659557,593989,593988,520591,527017,523731,522245,219613,219062,216055,215253,64121,64122,64123,64124,64085,64084"
541224,1257187
453274,"1257187,1257186,1252056,1252057,1214666,1212542,1212541"
235519,"1257187,1257186,1122887"
596375,"1257187,1257186,1252056,1252057,1104483"
232442,"1257186,1252056,1252057,1214666,1212542,1212541,1024043,1024041"
938959,"1252056,1252057"
495964,"1252056,1252057,1122310"
299572,"1252056,1252057,1214666,1212542,1212541,1153639,1153640,1122310,1122887,1122886,1104483,1024043,1024041,760783,760785,760781,659555"
55870,"1252056,1252057,1212542,1212541,1153639,1153640,1122886,1104483,1059702,1059703,1024043,1024041,736435,593989"
959823,1214666
596456,"1214666,1212541"
55412,"1214666,1212542,1212541,1122310,1122887,1122886,1104483,1059702,1059703,1024043,1024041,760783,760785,760781,593989,593988,523731,522245"
333001,1212542
672775,"1212542,1059702,1059703"
1147414,1212541
332996,"1212541,1153639,1153640,1122310,1122886,623576,623577,593989,593988,520591,527017,523731,522245"
806239,"1153639,1153640"
571703,1153639
333000,"1153639,1153640,1122310,1122887,1104483,1059702,1059703,1024043"
427178,"1153639,1153640,1059702,1059703,1024041,760783,760785"
425639,"1153639,1153640,760783,760781,736435,659555,659557,593989,593988"
55608,"1153639,1153640,1122310,1122887,1122886,1104483,1059702,1059703,1024041,760783,760785,760781,736435,659555,623576,623577,659557,593989,593988,520591,527017,523731,522245,219613,219062,216055,215253,64121,64122,64123,64124,64017,64016,63949,63942,63950,63969,63970"
55354,"1122310,1024043,1024041"
55633,"1122310,1122887,1122886,1104483,1059702,1059703,527017,523731,522245,216055,215253,64121,64122,64123,64124"
55346,"1122310,1122887,1122886,1104483,1059702,1059703,1024043,1024041,623576,623577,593989,593988,520591,216055,215253,64121,64122,64123,64124"
290462,"1122887,1122886"
55872,"1122887,1122886,1104483,1059702,1059703,760783,659555,623576,623577,659557,593989,593988,520591,527017"
55597,"1059702,1059703,1024043,659555,659557,593989,593988,520591,527017,523731,522245"
55353,"1024043,1024041"
55666,"1024043,760781,736435"
392944,"760783,760785"
55705,"760783,760785,760781,736435,659555,659557,64122,64085,64084"
55343,"760783,760785,760781,659555,623576,623577,659557,522245,64121,64122,64123,64124,64085,64084"
235516,"760785,736435,659555,623576,623577,659557"
343529,"760785,659555,623576,623577,520591"
235521,760781
55787,"760781,736435,659555,623576,623577,659557,593989,593988,527017,523731,522245,64121,64054,64055"
55822,"736435,64085,64054,64055,64049,64032,64033,64048,64017"
55820,"659555,659557,593989,64084"
232443,"623576,623577"
235514,"659557,520591,523731,522245"
55698,"593988,527017,523731,522245,64054,64055,64049,64069,64032,64033,64048,64070,64017,64016,63949,63942,63950,63941,63976,63977,63931,63859"
55641,520591
55805,"520591,527017,523731,522245,219613,219062,216055,215253,64121,64122,64123,64124,64085,64084,64054,64055,64049,64069,64032,64033,64048,64070,64017,64016,63942,63941,63976,63977"
333002,527017
55562,523731
55640,219613
55391,"219613,219062"
55329,"219613,219062"
55388,"219613,219062,216055"
55628,"219613,219062,216055,215253,64084,64054,64055,64049,64070,64016"
55416,"219613,219062,216055,215253,64122,64123,64124,64085,64084,64049,64069,64032,64033,64048,64070,64017,64016,63949,63942,63950,63941,63977,63935,63956,63957,63971,63930,63931,63934"
55259,"219613,219062,64123,64124,64054,64055,64049,64069,64032,64033,64048,64017,64016,63942,63941,63935,63930,63931,63934"
55761,"219613,219062,216055,215253,64123,64124,64054,64055,64049,64069,64032,64033,64048,64070,63949,63942,63950,63969,63970,63941,63976,63977,63935,63956,63957,63971,63930,63931,63934,63912,63896,63884,63897,63906,63878,63879,63883,63905,63851,63813,63824,63825,63797,63798,63781,63782,63792,63793,63764,63765,63734,63735,63719,63693,63710,63674,63673,63709,63672,63659,63626,63657,63658,63624,63625"
55419,"219062,64049,64069"
55854,"216055,215253,64054,64055,64049,64048,63949,63942,63969,63970,63941,63956,63957,63971,63896,63859,63813,63824,63825,63781,63782,63723,63719,63720,63722,63693,63710"
