player,players
590326,"326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192"
326434,"590326,1076713,787987,530011,219889,311592,489889,272279,215155,267192,446548,434813,376169,774223,288284"
1076713,"590326,326434,787987,530011,219889,311592,489889,272279,215155,267192,446548,434813,376169,774223,288284,772365,230193,7252,326632"
787987,"590326,326434,1076713,530011,219889,311592,489889,272279,215155,267192,446548,434813,376169,774223,288284,772365,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011"
530011,"590326,326434,1076713,787987,219889,311592,489889,272279,215155,267192,446548,434813,376169,774223,288284,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011"
219889,"590326,326434,1076713,787987,530011,311592,489889,272279,215155,267192,446548,434813,376169,774223,288284,772365,230193,7252,326632,334337,6683,272450,272465,7898,230368,501011,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4451,270484,4531,272364,5017,5939,228622,7133,211854,5941,307495"
311592,"590326,326434,1076713,787987,530011,219889,489889,272279,215155,267192,446548,434813,376169,774223,288284,772365,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,5961,7388,6033,4578,5560,8180,5779,270484,4531,272364,5017,5939,228622,7133,5941"
489889,"590326,326434,1076713,787987,530011,219889,311592,272279,215155,267192,446548,434813,774223,288284,772365,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,501011,261230,722303,215152,557295,7069,505120,325026,6033,4578,5560,8180,272364,5939,7133"
272279,"590326,326434,1076713,787987,530011,219889,311592,489889,215155,267192,446548,434813,376169,774223,288284,772365,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011,261230,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4451,270484,4531,272364,5017,5939,228622,7133,211854,5941,307495,281974"
215155,"590326,326434,1076713,787987,530011,219889,311592,489889,272279,267192,446548,434813,774223,288284,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011,261230,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,7388,6033,4578,5560,8180,5779,272364,5939,7133,5941,307495,281974"
267192,"590326,326434,1076713,787987,530011,219889,311592,489889,272279,215155,446548,434813,376169,774223,288284,772365,230193,7252,326632,334337,6683,272450,272465,7898,230368,501011,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4451,270484,4531,272364,5017,5939,7133,5941,307495,6943,6128,4508"
446548,"326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813"
434813,"326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192,446548,376169,774223,288284,230193,7252,326632,505110,5334,334337,6683,272450,272465,7898"
376169,"326434,1076713,787987,530011,219889,311592,272279,267192,434813,774223"
774223,"326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813,376169,7252,326632,505110"
288284,"326434,1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813,772365,230193,7252,326632,5334,334337,6683,272450,272465,7898,230368,501011,261230,722303,215152,557295,7069,505120,325026,333780,439288,5236,6973,8119,5961,7388,6033,4578,5560,8180,5779"
772365,"1076713,787987,219889,311592,489889,272279,267192,288284,230193,7252"
230193,"1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,772365,7252,326632,334337,6683,272450,272465,7898,501011,722303,215152,557295,7069,505120,325026,333780,5961,6033,4578,8180,5779,4531,272364,5017,5939,228622,7133,211854,5941,307495"
7252,"1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813,774223,288284,772365,230193,326632,505110,5334,334337,6683,272450,272465,7898,230368,501011,261230,722303,215152,6033,4578,8180,5939,7133,5941,6943,6128,4508,232287,5593"
326632,"1076713,787987,530011,219889,311592,489889,272279,215155,267192,434813,774223,288284,230193,7252,505110,334337,6683,272450,272465,7898,230368,261230,722303,215152,7069,439288,5236,6973,8119,7388,6033,5560,8180,5779"
505110,"787987,530011,311592,489889,272279,215155,434813,774223,7252,326632"
5334,"787987,530011,311592,489889,272279,215155,434813,288284,7252,334337,6683,272450,7898,230368"
334337,"787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,230193,7252,326632,5334,6683,272450,501011,261230,722303,215152,557295,7069,505120,325026,333780"
6683,"787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,230193,7252,326632,5334,334337,272450,272465,7898,230368,501011,261230,722303,215152,7069,325026,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4531,272364,5939,7133,5941,281974"
272450,"787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,230193,7252,326632,5334,334337,6683,272465,7898,230368,501011,261230,722303,215152,7069,325026,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648"
272465,"787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,230193,7252,326632,6683,272450,7898,501011,215152,7069,505120,325026,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4531,272364,5017,5939,7133,211854,5941,307495"
7898,"787987,530011,219889,311592,489889,272279,215155,267192,434813,288284,230193,7252,326632,5334,6683,272450,272465,230368,501011,215152,7069,505120,325026,6973,8119,5961,7388,6033,4578,5560,8180,5779,233648,4451,270484,4531,272364,5017,5939,7133,211854,5941,307495,281974,6943,6128,4508,5593,6480,6844,6553,4582,5616,6235,8291,6278,7702"
230368,"787987,530011,219889,311592,272279,215155,267192,288284,7252,326632,5334,6683,272450,7898,6973,8119,5961"
501011,"787987,530011,219889,311592,489889,272279,215155,267192,288284,230193,7252,334337,6683,272450,272465,7898,215152"
261230,"489889,272279,215155,288284,7252,326632,334337,6683,272450,722303"
722303,"219889,311592,489889,272279,215155,267192,288284,230193,7252,326632,334337,6683,272450,261230,215152,557295,7069,505120,325026,333780"
215152,"219889,311592,489889,272279,215155,267192,288284,230193,7252,326632,334337,6683,272450,272465,7898,501011,722303,333780,6973,8119,7388,6033,4578,5560,8180,5779,4531,272364,5939"
557295,"219889,311592,489889,272279,215155,267192,288284,230193,334337,722303,7069,505120,325026"
7069,"219889,311592,489889,272279,215155,267192,288284,230193,326632,334337,6683,272450,272465,7898,722303,557295,505120,325026,6973,8119,7388,6033,4578,5560,233648"
505120,"219889,311592,489889,272279,215155,267192,288284,230193,334337,272465,7898,722303,557295,7069,325026,7388,4578,5560,8180,5779,4531,272364"
325026,"219889,311592,489889,272279,215155,267192,288284,230193,334337,6683,272450,272465,7898,722303,557295,7069,505120,5961,7388,6033,4578,5560,8180,4531,272364,5017"
333780,"219889,311592,272279,215155,267192,288284,230193,334337,722303,215152"
439288,"219889,311592,272279,215155,267192,288284,326632,5236,6973,8119"
5236,"219889,311592,272279,215155,267192,288284,326632,439288,6973,8119"
6973,"219889,311592,272279,215155,267192,288284,326632,6683,272450,272465,7898,230368,215152,7069,439288,5236,8119,5961,7388,6033,4578"
8119,"219889,311592,272279,215155,267192,288284,326632,6683,272450,272465,7898,230368,215152,7069,439288,5236,6973,5961,7388,6033,4578,5560,8180"
5961,"219889,311592,272279,267192,288284,230193,6683,272450,272465,7898,230368,325026,6973,8119,4578,5560,8180,4531,272364,5017"
7388,"219889,311592,272279,215155,267192,288284,326632,6683,272450,272465,7898,215152,7069,505120,325026,6973,8119,6033,4578,5560,8180,5779,233648,4451,270484,4531,272364,5939,7133,4582,6278,7702,6060,8076,5390"
6033,"219889,311592,489889,272279,215155,267192,288284,230193,7252,326632,6683,272450,272465,7898,215152,7069,325026,6973,8119,7388,4578,5560,8180,5779,233648,4451,4531,272364,5017,5939,228622,7133,5941,307495,281974,6943,6128,4508,232287,5593,6903,6480,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681"
4578,"219889,311592,489889,272279,215155,267192,288284,230193,7252,6683,272450,272465,7898,215152,7069,505120,325026,6973,8119,5961,7388,6033,5560,8180,5779,233648,4451,270484,4531,272364,5017,5939,228622,7133,211854,5941,307495,281974,6943,6128,4508,232287,5593,6903,6480,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285"
5560,"219889,311592,489889,272279,215155,267192,288284,326632,6683,272450,272465,7898,215152,7069,505120,325026,8119,5961,7388,6033,4578,8180,5779,233648,4451,270484,4531,272364,5017,5939,7133,5941,307495,281974,6943,6128,4508,5593,6903,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441"
8180,"219889,311592,489889,272279,215155,267192,288284,230193,7252,326632,6683,272450,272465,7898,215152,505120,325026,8119,5961,7388,6033,4578,5560,5779,233648,4451,270484,4531,272364,5017,5939,228622,7133,5941,307495,281974,6943,6128,4508,232287,5593,6903,6480,4582,5616,6235,8291,6278,7702,6441,5390,5392,8166,6256,6513,6565,4185"
5779,"219889,311592,272279,215155,267192,288284,230193,326632,6683,272450,272465,7898,215152,505120,7388,6033,4578,5560,8180,233648,4451,270484,4531,272364,5017,5939,7133,5941,281974,6943,6128,4508,5593"
233648,"219889,272279,267192,6683,272450,272465,7898,7069,7388,6033,4578,5560,8180,5779"
4451,"219889,272279,267192,7898,7388,6033,4578,5560,8180,5779"
270484,"219889,311592,272279,267192,7898,7388,4578,5560,8180,5779"
4531,"219889,311592,272279,267192,230193,6683,272465,7898,215152,505120,325026,5961,7388,6033,4578,5560,8180,5779,272364,5017,5939,228622,7133,211854,5941,307495"
272364,"219889,311592,489889,272279,215155,267192,230193,6683,272465,7898,215152,505120,325026,5961,7388,6033,4578,5560,8180,5779,4531,5017,5939,7133,5941,307495,281974,6943,6128,4508,5593,6844,6553"
5017,"219889,311592,272279,267192,230193,272465,7898,325026,5961,6033,4578,5560,8180,5779,4531,272364,5939,7133,5941,6943,6128,4508"
5939,"219889,311592,489889,272279,215155,267192,230193,7252,6683,272465,7898,215152,7388,6033,4578,5560,8180,5779,4531,272364,5017,228622,7133,211854,5941,307495,281974,6943,6128,4508,232287,5593,6903,6480,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185"
228622,"219889,311592,272279,230193,6033,4578,8180,4531,5939,7133"
7133,"219889,311592,489889,272279,215155,267192,230193,7252,6683,272465,7898,7388,6033,4578,5560,8180,5779,4531,272364,5017,5939,228622,211854,5941,307495,281974,6943,6128,4508,232287,5593,6903,6480,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,6665,7924,5628,7366,4890,8241,7326,4619,8457,4144,6573,6274,6056,6551,4169"
211854,"219889,272279,230193,272465,7898,4578,4531,5939,7133,5941"
5941,"219889,311592,272279,215155,267192,230193,7252,6683,272465,7898,6033,4578,5560,8180,5779,4531,272364,5017,5939,7133,211854,307495,6943,6128,4508,232287,5593,6480,6844,6553,4582"
307495,"219889,272279,215155,267192,230193,272465,7898,6033,4578,5560,8180,4531,272364,5939,7133,5941"
281974,"272279,215155,6683,7898,6033,4578,5560,8180,5779,272364,5939,7133"
6943,"267192,7252,7898,6033,4578,5560,8180,5779,272364,5017,5939,7133,5941,6128,4508,232287,5593,6903,6480,6553,4582"
6128,"267192,7252,7898,6033,4578,5560,8180,5779,272364,5017,5939,7133,5941,6943,4508,232287,5593,6903,6480,6844,6553,4582,5616,6235,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,7629,8189,5130"
4508,"267192,7252,7898,6033,4578,5560,8180,5779,272364,5017,5939,7133,5941,6943,6128,5593,6903,6553,5616"
232287,"7252,6033,4578,8180,5939,7133,5941,6943,6128,5593"
5593,"7252,7898,6033,4578,5560,8180,5779,272364,5939,7133,5941,6943,6128,4508,232287,6903,6480,6553,4582,5616,6278,7702,5390,5392,6126,6256,6513,6565"
6903,"6033,4578,5560,8180,5939,7133,6943,6128,4508,5593"
6480,"7898,6033,4578,8180,5939,7133,5941,6943,6128,5593"
6844,"7898,6033,4578,5560,272364,5939,7133,5941,6128,6553"
6553,"7898,6033,4578,5560,272364,5939,7133,5941,6943,6128,4508,5593,6844,5616"
4582,"7898,7388,6033,4578,5560,8180,5939,7133,5941,6943,6128,5593,5616,8291,6278,7702,4825,6060,5674,6441,8076,5390,5681,5392,8166,6126,6256,6513,6565"
5616,"7898,6033,4578,5560,8180,5939,7133,6128,4508,5593,6553,4582,6235,8291,6278,7702,6060,5674,6441,8076,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,7924,5628,7326,4144,6551,4169,6534,5726,47884,4174"
6235,"7898,6033,4578,5560,8180,5939,7133,6128,5616,8291,6278,7702"
8291,"7898,6033,4578,5560,8180,5939,7133,6128,4582,5616,6235,6278"
6278,"7898,7388,6033,4578,5560,8180,5939,7133,6128,5593,4582,5616,6235,8291,7702,4825,6060,5674,6441,8076,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,4161,5239,6607"
7702,"7898,7388,6033,4578,5560,8180,5939,7133,6128,5593,4582,5616,6235,6278,4825,6060,5674,6441,8076,5390,5681,5392,8166,6126,6256,6513,6565,4185,6285"
4825,"6033,4578,5560,5939,7133,6128,4582,6278,7702,6060"
6060,"7388,6033,4578,5560,5939,7133,6128,4582,5616,6278,7702,4825,5674,6441,8076,5390,5681,4882,5392,8166,6565"
5674,"6033,4578,5560,5939,7133,6128,4582,5616,6278,7702,6060,6441,5390,8166,6256,6565,4185"
6441,"6033,4578,5560,8180,5939,7133,6128,4582,5616,6278,7702,6060,5674,5390,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,6925,7924,5628,7366,4890"
8076,"7388,6033,4578,5939,7133,6128,4582,5616,6278,7702,6060,5390,8166,6126,6256,6513,6565"
5390,"7388,6033,4578,8180,5939,7133,6128,5593,4582,5616,6278,7702,6060,5674,6441,8076,5681,4882,5392,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,6665"
5681,"6033,4578,5939,7133,6128,4582,5616,6278,7702,6060,6441,5390,5392,6256,6513,6565,6285,4146,8192,8231,7629,8189,7924,5628,7326,4144,6573"
4882,"4578,5939,7133,5616,6278,6060,6441,5390,5392,8166"
5392,"4578,8180,5939,7133,6128,5593,4582,5616,6278,7702,6060,6441,5390,5681,4882,8166,6126,6256,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,7924,5628,7326,4144"
8166,"4578,8180,5939,7133,6128,4582,5616,6278,7702,6060,5674,6441,8076,5390,4882,5392,6126,6256,6513,6565,4185,6285,4146,8192,8231,7629,8189,5130,4161,5239,6607,6665,7924,5628,7366,4890,8241,7326,4619,8457,4144,6573,6274,6056,6551,4169,3975,5139,6534,5726,47884,4174,7319,6525,8220,6628,6044,6499,4964"
6126,"4578,5939,7133,6128,5593,4582,5616,6278,7702,6441,8076,5390,5392,8166,6256,6513,6565,6285,4146,8192,8231,7629,8189,5130,4161,5239,7924,5628,7366,4890,8241,7326,4619,8457,4144"
6256,"4578,8180,5939,7133,6128,5593,4582,5616,6278,7702,5674,6441,8076,5390,5681,5392,8166,6126,6513,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,6665,6925,7924,5628,7366,4890,7326,4144,6551,4169,3975,5139,6534,5726,4174"
6513,"4578,8180,5939,7133,6128,5593,4582,5616,6278,7702,6441,8076,5390,5681,5392,8166,6126,6256,6565,4185,6285,4146,8192,8231,6321,7629,8189,5130,4161,6607,7924,5628,7326,6551,4169,3975,6534,5726,47884,4174,7319,6525,8220"
6565,"4578,8180,5939,7133,6128,5593,4582,5616,6278,7702,6060,5674,6441,8076,5390,5681,5392,8166,6126,6256,6513,4185,6285,4146,8192,6321,7629,8189,5130,4161,5239,6607,6665,6925,7924,5628,7366,4890,7326,8457,4144,6573,6274,6056,6551,4169,3975,5139,6534,5726,47884,4174"
4185,"4578,8180,5939,7133,6128,5616,6278,7702,5674,6441,5390,5392,8166,6256,6513,6565,4146,8192,8231"
6285,"4578,7133,6128,5616,6278,7702,6441,5390,5681,5392,8166,6126,6256,6513,6565,4146,8192,8231,6321,7629,8189,5130,4161,5239,6607,6925,7924,5628,7366,4890"
4146,"7133,6128,5616,6278,6441,5390,5681,5392,8166,6126,6256,6513,6565,4185,6285,8192,8231,6321,7629,8189,5130,4161,6607,7924,5628,7326,4144"
