player,players
990081,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696"
629059,"990081,990039,932355,629057,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56029,56194,821749,410763"
990039,"990081,629059,932355,629057,410765,629058,538506,629063,536936,373696,1161381,401057,56029,56194,821749,410763"
932355,"990081,629059,990039,629057,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532"
629057,"990081,629059,990039,932355,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56143,56029,56194,821749,410763,269237,56025,932635,436677,330902,280734,511532,550133"
410765,"990081,629059,990039,932355,629057,629058,538506,629063,536936,373696,401057,56143,56029,56194,821749,410763,300619,56025,436677,375724,373538"
629058,"990081,629059,990039,932355,629057,410765,538506,629063,536936,373696,1161381,927619,401057,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,270135,446810,375724,373538"
538506,"990081,629059,990039,932355,629057,410765,629058,629063,536936,373696,1161381,927619,401057,56143,56029,56194,821749,410763,300619,56025,436677,330902,280734,375724,301847,373538,288305"
629063,"990081,629059,990039,932355,629057,410765,629058,538506,536936,373696,1161381,927619,401057,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283"
536936,"990081,629059,990039,932355,629057,410765,629058,538506,629063,373696,1161381,927619,401057,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066"
373696,"990081,629059,990039,932355,629057,410765,629058,538506,629063,536936,1161381,927619,401057,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883"
1161381,"629059,990039,932355,629057,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194"
927619,"629059,932355,629057,629058,538506,629063,536936,373696,1161381,401057,56143,56029,56194,410763,269237,56025,436677,330902,280734,270135"
401057,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696,1161381,927619,56143,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455"
56143,"932355,629057,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56029,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,375724,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093,56266,56007,56032,56031,56074,55906,55973,55986,55935,55954,56160"
56029,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56143,56194,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093,56266,56007,56032,56031,56074,55906,55973,55986,55935,55954,56160,56186,56064,56235"
56194,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696,1161381,927619,401057,56143,56029,821749,410763,269237,300619,56025,932635,436677,330902,280734,511532,550133,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,56167,55944,227454,55988,373439,55883,56059,56054,56153,55946,55882,56056,56138,56093,56266,56007,56032,56031,56074,55906,55973"
821749,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696,401057,56143,56029,56194,410763,269237,300619,56025,932635"
410763,"629059,990039,932355,629057,410765,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194,821749,269237,300619,56025,932635,436677,330902,280734,511532,270135,446810,375724"
269237,"932355,629057,629058,629063,536936,373696,927619,401057,56143,56029,56194,821749,410763,300619,56025,932635,436677,330902,280734,511532,270135"
300619,"932355,410765,629058,538506,629063,536936,373696,401057,56143,56029,56194,821749,410763,269237,56025,436677,330902,280734,511532,375724,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,228349,444135,55944,55988,373439,55883,56059,56054,56153,55946,55882,56138,56093,56266,56007"
56025,"932355,629057,410765,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194,821749,410763,269237,300619,932635,436677,330902,280734,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,380354,227455,444135,55944,55988,373439,55883,56059,56054,56153,55946,55882,56056,56093,56266,56007"
932635,"932355,629057,629058,629063,536936,373696,401057,56143,56029,56194,821749,410763,269237,56025,436677,330902,280734,511532,550133"
436677,"932355,629057,410765,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194,410763,269237,300619,56025,932635,330902,280734,550133,375724,301847,373538,288305,402992,300618,537154,629066,56149"
330902,"932355,629057,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194,410763,269237,300619,56025,932635,436677,280734,550133,270135,380974,301847,373538,288305,300618,56283,537154,629066"
280734,"932355,629057,629058,538506,629063,536936,373696,927619,401057,56143,56029,56194,410763,269237,300619,56025,932635,436677,330902,511532,550133,270135,446810,375724,380974,301847,373538,288305,402992,300618,56283,537154,629066,56149,56154,227455,444135,55944,55988,55883,56054,56153,55946,55882,56138,56093,56266,56007,56032,56031"
511532,"932355,629057,629063,536936,373696,401057,56143,56029,56194,410763,269237,300619,56025,932635,280734,288305,402992,300618,56283,629066,56149,56154,380354,227455,228349,444135"
550133,"629057,629063,536936,373696,401057,56143,56029,56194,56025,932635,436677,330902,280734,380974,301847,373538"
