,0
527776,"747031,641423,665053,519082,398778,887207,351588,303669,10617,8608,662973,308967,297433,632172,8917,464626,236489,247235"
747031,"527776,641423,665053,519082,398778,887207,351588,303669,10617,8608,457279"
641423,"527776,747031,665053,519082,398778,887207,351588,303669,10617,8608,662973,308967,297433,8917,457279,646847,455524,669855,311158,364788"
665053,"527776,747031,641423,519082,398778,887207,351588,303669,10617,8608,662973,308967,297433,247235,457279,646847,455524,669855,311158,364788,12454"
519082,"527776,747031,641423,665053,398778,887207,351588,303669,10617,8608,662973,308967,297433,632172,8917,247235,457279,646847,455524,669855,311158,364788,12454"
398778,"527776,747031,641423,665053,519082,887207,351588,303669,10617,8608,662973,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497"
887207,"527776,747031,641423,665053,519082,398778,351588,303669,10617,8608,662973,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,440780,244497,11728"
351588,"527776,747031,641423,665053,519082,398778,887207,303669,10617,8608,662973,308967,297433,632172,8917,236489,247235,457279,646847,455524,669855,311158,12454,440780,244497,11728,229954,296597,211855,232438,210283,9062,251721"
303669,"527776,747031,641423,665053,519082,398778,887207,351588,10617,8608,662973,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497,11728,229954,296597,660889,550235,214265,370535,414990,211855,232438,349853,521637,9042,210283,249866,11718,297635,9062,18632,251721,272485,288992,21646,47623,18675,19264,10656,19296,20431,18655,9310,297499,21650"
10617,"527776,747031,641423,665053,519082,398778,887207,351588,303669,8608,662973,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497,11728,229954,296597,660889,550235,214265,370535,414990,211855,232438,349853,521637,9042,210283,249866,11718,297635,9062,18632,251721,272485,288992,21646,47623,18675,19264,310519,10656,19296,20431,18655,9310,297499,21650,20387,18389,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182"
8608,"527776,747031,641423,665053,519082,398778,887207,351588,303669,10617,662973,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497,11728,229954,296597,660889,550235,214265,370535,414990,211855,232438,349853,521637,9042,210283,249866,11718,297635,9062,18632,251721,272485,288992,21646,47623,18675,19264,310519,10656,19296,20431,18655,9310,297499,21650,20387,18389,21431,24598,10772,10582,14054,12856,20187,23911,20123,8845,270253,22182,14236,15501,21585,17944,19346,22144,13368,15876,21537,9327,14325,15522,15901,8476,20242,9089,20372,16975,13411"
662973,"527776,641423,665053,519082,398778,887207,351588,303669,10617,8608,308967,297433,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497,11728"
308967,"527776,641423,665053,519082,398778,887207,351588,303669,10617,8608,662973,297433,632172,8917,464626,236489,247235,646847,455524,669855,311158,364788,12454,298438,440780,244497,11728,229954,414990,211855,232438,9042,210283,9062,251721,272485,288992,21646,47623"
297433,"527776,641423,665053,519082,398778,887207,351588,303669,10617,8608,662973,308967,632172,8917,464626,236489,247235,457279,646847,455524,669855,311158,364788,12454,298438,24599,440780,244497,11728,229954,296597,660889,550235,214265,370535,414990,211855,232438,349853,521637,9042,210283,249866,11718,297635,9062,18632,251721,47623,18675,310519,10656,19296,20431,18655,9310,20387,18389"
632172,"527776,519082,398778,887207,351588,303669,10617,8608,662973,308967,297433,8917,464626,236489,247235,311158,244497,11728,349853,521637,9042"
