player,players
642519,"554691,1070173,398438,277916,234675,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896"
554691,"642519,1070173,398438,277916,234675,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715"
1070173,"642519,554691,398438,277916,234675,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715,802575,700167,475281,31872"
398438,"642519,554691,1070173,277916,234675,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715,802575,700167,475281,31872,422108,1070168"
277916,"642519,554691,1070173,398438,234675,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715,802575,700167,475281,31872,422108,1070168,28235,237095,625371,326016,32242,302582,30045,398439,31107,32102,27223,28081,33335,360911,29264,30288,32973,28763,32130,35320,30102"
234675,"642519,554691,1070173,398438,277916,376116,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,700167,475281,31872,422108,1070168,28235,237095,625371,326016,32242,302582,30045,398439,31107,27223,28081,360911,29264,32973,28763,32130,35320,30102,35263,32966"
376116,"642519,554691,1070173,398438,277916,234675,26421,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,475281,31872,422108,1070168,28235,237095,625371,326016,32242,302582,30045,398439,31107,32102,27223,28081,33335,360911,29264,28763,32130,35320,30102,35263,35731,30750,28114,36084"
26421,"642519,554691,1070173,398438,277916,234675,376116,32540,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715,700167,475281,31872,422108,1070168,28235,237095,625371,326016,32242,302582,30045,398439,31107,32102,27223,28081,33335,360911,29264,32973,28763,32130,35320,30102,35263,32966,30750,28114,36084"
32540,"642519,554691,1070173,398438,277916,234675,376116,26421,279810,236779,940973,447587,253802,452044,931581,625383,34102,481896,559235,719715,802575,700167,475281,31872,422108,1070168,28235,237095,625371,326016,32242,302582,30045,398439,31107,32102,27223,28081,33335,360911,29264,30288,32973,28763,32130,35320,30102,35263,32966,30750,28114,36084,34274"
279810,"642519,554691,1070173,398438,277916,234675,376116,26421,32540,236779,940973,447587,253802,452044,625383,34102,481896,559235,31872,422108,1070168,28235,237095,625371,326016,302582,398439,31107,27223,28081,33335,360911,29264,30288,28763,35320,30102,35263,30750,28114,26806"
