player,players
526441,"470917,417381,24609,414821,303427,24599,24611,24605,17134,303423"
470917,"526441,417381,24609,414821,303427,24599,24611,24605,17134,303423,308294,348034,380957"
417381,"526441,470917,24609,414821,303427,24599,24611,24605,17134,303423,308294,348034,380957"
24609,"526441,470917,417381,414821,303427,24599,24611,24605,17134,303423,24289,571707,24249"
414821,"526441,470917,417381,24609,303427,24599,24611,24605,17134,303423,308294,348034,380957,24289,571707,24249"
303427,"526441,470917,417381,24609,414821,24599,24611,24605,17134,303423,308294,348034,380957,24289,571707,24249"
24599,"526441,470917,417381,24609,414821,303427,24611,24605,17134,303423,24289,571707,24249"
24611,"526441,470917,417381,24609,414821,303427,24599,24605,17134,303423,308294,348034,380957,24289,571707,24249"
24605,"526441,470917,417381,24609,414821,303427,24599,24611,17134,303423,308294,348034,380957,24289,571707,24249"
17134,"526441,470917,417381,24609,414821,303427,24599,24611,24605,303423,308294,348034,380957,24289,571707,24249"
303423,"526441,470917,417381,24609,414821,303427,24599,24611,24605,17134,308294,348034,380957,24289,571707,24249"
308294,"470917,417381,414821,303427,24611,24605,17134,303423,348034,380957"
348034,"470917,417381,414821,303427,24611,24605,17134,303423,308294,380957"
380957,"470917,417381,414821,303427,24611,24605,17134,303423,308294,348034"
24289,"24609,414821,303427,24599,24611,24605,17134,303423,571707,24249"
571707,"24609,414821,303427,24599,24611,24605,17134,303423,24289,24249"
24249,"24609,414821,303427,24599,24611,24605,17134,303423,24289,571707"
