player,players
959767,"547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743"
547749,"959767,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,233713,38924,506612,277912"
625960,"959767,547749,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912"
38607,"959767,547749,625960,595783,440516,539511,388802,277906,232364,38699,381743,55395,502714,233713,38924,506612,277912,823509,277914,213674"
595783,"959767,547749,625960,38607,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912,277914,559066"
440516,"959767,547749,625960,38607,595783,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912,823509,277914,213674"
539511,"959767,547749,625960,38607,595783,440516,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502"
388802,"959767,547749,625960,38607,595783,440516,539511,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912,823509,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710"
277906,"959767,547749,625960,38607,595783,440516,539511,388802,232364,38699,381743,379140,55395,502714,233713,38924,506612,277912,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,4493,232359,37095,47780,37700,38058,36194,37111,37004,38931,38373,37706,38005,37248,226493"
232364,"959767,547749,625960,38607,595783,440516,539511,388802,277906,38699,381743,379140,55395,502714,233713,38924,506612,277912,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,38264,4493,37095,47780,37700,38058,36194,37004,38931,38373,37706,38005,37248,38952,38620,38393,38108,37740,37265,38062,44956,37698,36294,37000"
38699,"959767,547749,625960,38607,595783,440516,539511,388802,277906,232364,381743,379140,55395,502714,233713,38924,506612,277912,823509,277914,213674,493773,559066,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,38264,4493,37095,47780,37700,38058,36194,37111,37004,38931,38373,37706,38005,37248,226493,38952,38620,38393,38108,37740,37265,38062,44956,36326,37698,36294,37000,36627,38111,38407,38714"
381743,"959767,547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,379140,502714,233713,38924,506612,277912,277914"
379140,"547749,625960,595783,440516,539511,388802,277906,232364,38699,381743,55395,502714,233713,38924,506612,277912"
55395,"625960,38607,595783,440516,539511,388802,277906,232364,38699,379140,502714,233713,38924,506612,277912,823509,277914,213674,493773,559066,36581,355269,38141"
502714,"625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,233713,38924,506612,277912,277914,493773,559066,36581,355269,38141,497543,362541,226492,37737,7502"
233713,"547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,38924,506612,277912,823509,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,38264,4493,232359,37095,47780,37700"
38924,"547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,506612,277912,823509,277914,213674,493773,559066,36581,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,38264,4493,232359,37095,47780,37700,36194,37004,38931,38373,37706,37248,226493,38952,38620,38393,38108"
506612,"547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,277912,823509,277914,213674,36581,355269,38141,497543,277662,362541,226492,37737,7502"
277912,"547749,625960,38607,595783,440516,539511,388802,277906,232364,38699,381743,379140,55395,502714,233713,38924,506612,277914,213674,559066,355269,38141,497543,277662,362541,226492,37737,7502,37091,331375,38710,37745,38264,4493,232359,37095,47780,37700,38058,37004,38931,38373"
823509,"38607,440516,388802,38699,55395,233713,38924,506612,277914,213674"
277914,"38607,595783,440516,539511,388802,277906,232364,38699,381743,55395,502714,233713,38924,506612,277912,823509,213674,493773,559066,36581,355269,38141"
213674,"38607,440516,539511,388802,277906,232364,38699,55395,233713,38924,506612,277912,823509,277914,38141,362541,226492,37737,37095,47780"
493773,"539511,388802,277906,232364,38699,55395,502714,233713,38924,277914"
