player,players
43409,"1062812,238672,598905,39950,1072470,681305,323389,348144,39037,40250"
1062812,"43409,238672,598905,39950,1072470,681305,323389,348144,39037,40250,681117"
238672,"43409,1062812,598905,39950,1072470,681305,323389,348144,39037,40250,681117,43685,389666"
598905,"43409,1062812,238672,39950,1072470,681305,323389,348144,39037,40250,681117,43685,389666"
39950,"43409,1062812,238672,598905,1072470,681305,323389,348144,39037,40250,681117,43685,389666,348154,1158088,318788,233901,697279,316397,922943"
1072470,"43409,1062812,238672,598905,39950,681305,323389,348144,39037,40250,681117,43685,389666,348154,1158088,318788,233901,697279,316397,922943,1072472,568276,480603,316363,498875,227760,41434,512191,290948"
681305,"43409,1062812,238672,598905,39950,1072470,323389,348144,39037,40250,681117,43685,389666,318788,233901,316397,922943,568276,498875,227760,41434,512191,290948,260519,547079,41378,43652"
323389,"43409,1062812,238672,598905,39950,1072470,681305,348144,39037,40250,681117,43685,389666,348154,1158088,318788,233901,697279,316397,922943,1072472,568276,480603,316363,227760,290948,43590,547079,43652,317252"
348144,"43409,1062812,238672,598905,39950,1072470,681305,323389,39037,40250,681117,43685,389666,1158088,318788,233901,697279,316397,922943,1072472,568276,480603,316363,498875,227760,41434,512191,290948,556684,43590,323244,547079,41378,43652,259410,227762,317252,348148"
39037,"43409,1062812,238672,598905,39950,1072470,681305,323389,348144,40250,681117,43685,389666,348154,1158088,318788,233901,697279,316397,922943,1072472,568276,480603,316363,498875,227760,41434,512191,290948,556684,43590,260519,323244,547079,41378,43652,259410,227762,317252,348148,43871,259551,547092,43363,227771,42657,39038,42699,41140,39091,429981,40582,42321,43307,43524,41557,39821,317273,41324,41481,41411,42683,43656,41028,43650,43860,288211,40043,42639"
40250,"43409,1062812,238672,598905,39950,1072470,681305,323389,348144,39037,681117,43685,389666,348154,1158088,318788,233901,316397,290948,41378,43652,42657,42699,41140,40582,43524,317273,41411,41028,43650,40043,39084"
681117,"1062812,238672,598905,39950,1072470,681305,323389,348144,39037,40250,43685,389666,348154,1158088,318788,233901,316397,922943,568276,227760,290948,260519,323244"
43685,"238672,598905,39950,1072470,681305,323389,348144,39037,40250,681117,389666,1158088,318788,233901,316397,922943,1072472,568276,480603,316363,498875,227760,41434,512191,290948,556684,43590,323244,547079,41378,43652,259410,227762,317252,348148,43871,259551,547092,43363,227771,42657"
389666,"238672,598905,39950,1072470,681305,323389,348144,39037,40250,681117,43685,348154,1158088,318788,233901,697279,316397,922943,1072472,568276,480603,498875,227760,41434,512191,290948,556684,43590,260519,323244,547079,41378,43652,259410"
348154,"39950,1072470,323389,39037,40250,681117,389666,1158088,318788,233901"
1158088,"39950,1072470,323389,348144,39037,40250,681117,43685,389666,348154,318788,233901,697279,316397,922943,480603,316363"
318788,"39950,1072470,681305,323389,348144,39037,40250,681117,43685,389666,348154,1158088,233901,697279,316397,922943,568276,480603,316363,498875,227760,41434,512191,290948,556684,43590,260519,323244,547079"
233901,"39950,1072470,681305,323389,348144,39037,40250,681117,43685,389666,348154,1158088,318788,697279,316397,922943,1072472,568276,480603,316363,227760,41434,512191,290948,43590,323244,547079,41378,43652,259410,43871,259551,547092,43363,227771,42657,39038,42699,41140,429981"
697279,"39950,1072470,323389,348144,39037,389666,1158088,318788,233901,316397"
316397,"39950,1072470,681305,323389,348144,39037,40250,681117,43685,389666,1158088,318788,233901,697279,922943,1072472,568276,480603,316363,498875,227760,41434,512191,290948,556684,43590,260519,323244,547079,41378,43652,259410,227762,317252,348148,43871,259551,547092,43363,227771,42657,343305,39038,42699,41140,39091,429981,40582,42321,43307,43524,41557,39821,317273,41324,41481"
922943,"39950,1072470,681305,323389,348144,39037,681117,43685,389666,1158088,318788,233901,316397,568276,227760,290948,260519,323244,41378,43652,259410"
1072472,"1072470,323389,348144,39037,43685,389666,233901,316397,568276,480603"
568276,"1072470,681305,323389,348144,39037,681117,43685,389666,318788,233901,316397,922943,1072472,480603,498875,227760,41434,512191,290948,43590,260519,323244"
480603,"1072470,323389,348144,39037,43685,389666,1158088,318788,233901,316397,1072472,568276,316363,227760,290948,43590,547079,41378,43652,317252"
316363,"1072470,323389,348144,39037,43685,1158088,318788,233901,316397,480603,227760,41434,290948,43590,323244,547079,41378,43652,259410,227762,317252,43871,259551,547092,42657"
498875,"1072470,681305,348144,39037,43685,389666,318788,316397,568276,227760,41434,512191,556684,43590"
227760,"1072470,681305,323389,348144,39037,681117,43685,389666,318788,233901,316397,922943,568276,480603,316363,498875,41434,512191,290948,556684,43590,260519,323244,547079,41378,43652,259410,227762,317252,348148,43871,259551,547092,43363,227771,42657,343305,42699,41140,39091,429981,40582,42321,43307,43524,317273,41411,42683,43650,40043"
41434,"1072470,681305,348144,39037,43685,389666,318788,233901,316397,568276,316363,498875,227760,512191,290948,556684,43590,323244,547079,41378,43652,259410,317252,43871,259551,547092,43363,227771,42657,343305,39038,42699,41140,39091,429981,40582,42321,43307,43524,41557,39821,317273,41324,41481,41411,42683,43656,41028,43650,40043,40088,42655,40570,39836,42272,42632,42646,43670,40097,42628,42423"
512191,"1072470,681305,348144,39037,43685,389666,318788,233901,316397,568276,498875,227760,41434,290948,556684"
290948,"1072470,681305,323389,348144,39037,40250,681117,43685,389666,318788,233901,316397,922943,568276,480603,316363,227760,41434,512191,43590,260519,323244,547079,41378,43652,259410,227762,317252,348148,43871,42657,42699,41140,40582,43524,317273,41411,42683,43656,41028,43650,43860,288211,40043,42639,40088,39084"
556684,"348144,39037,43685,389666,318788,316397,498875,227760,41434,512191"
