player,players
595004,"485676,337790,481979,698189,542023,600498,267724,550215,379143,230852"
485676,"595004,337790,481979,698189,542023,600498,267724,550215,379143,230852"
337790,"595004,485676,481979,698189,542023,600498,267724,550215,379143,230852,698143,372116,44828,379927,327947,277390,327830,46945,550187,481875"
481979,"595004,485676,337790,698189,542023,600498,267724,550215,379143,230852,698143,372116,44828,379927,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393"
698189,"595004,485676,337790,481979,542023,600498,267724,550215,379143,230852,698143,372116,44828,481875,486679,47492,43906"
542023,"595004,485676,337790,481979,698189,600498,267724,550215,379143,230852,698143,372116,44828,46945,550187,481875,436757,486672,379926,47492,43906,46538,44936,540316"
600498,"595004,485676,337790,481979,698189,542023,267724,550215,379143,230852,698143,372116,44828,327830,46945,550187,481875,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145"
267724,"595004,485676,337790,481979,698189,542023,600498,550215,379143,230852,698143,372116,44828,327947,277390,327830,46945,550187,481875,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583"
550215,"595004,485676,337790,481979,698189,542023,600498,267724,379143,230852,372116,44828,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583,267479,375126,262456,432960,40618"
379143,"595004,485676,337790,481979,698189,542023,600498,267724,550215,230852,698143,372116,44828,379927,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583,267479,432960,40618,46934,47270"
230852,"595004,485676,337790,481979,698189,542023,600498,267724,550215,379143,698143,372116,44828,379927,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583,267479,375126,262456,432960,40618,46934,47270,45949,46750,45789"
698143,"337790,481979,698189,542023,600498,267724,379143,230852,372116,44828"
372116,"337790,481979,698189,542023,600498,267724,550215,379143,230852,698143,44828,379927,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583,267479,375126,262456,432960,40618,46934"
44828,"337790,481979,698189,542023,600498,267724,550215,379143,230852,698143,372116,379927,327947,277390,327830,46945,550187,481875,436757,486672,379926,535393,486679,47492,43906,46538,44936,540316,265564,379145,45955,44932,439952,44656,297583,267479,375126,262456,432960,40618,46934,47270,45949,46750,45789,47015,46393"
379927,"337790,481979,379143,230852,372116,44828,327947,277390,327830,46945"
