player,players
1028665,"1028655,629084,366725,465783,465793,429754,227772,301236,49619,49764"
1028655,"1028665,629084,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375"
629084,"1028665,1028655,366725,465783,465793,429754,227772,301236,49619,49764,848109,300628,786925,300631,49920"
366725,"1028665,1028655,629084,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629074,499594"
465783,"1028665,1028655,629084,366725,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,437316,629074,499594,623695,49178,50482,50205,429738,50747"
465793,"1028665,1028655,629084,366725,465783,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,300631,49920,437316,629074,499594,574178,623695,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456"
429754,"1028665,1028655,629084,366725,465783,465793,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,437316,629074,499594,574178,623695,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,342616,50163,465797,50710,49236,268739,49289,51019"
227772,"1028665,1028655,629084,366725,465783,465793,429754,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,437316,629074,499594,574178,623695,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424"
301236,"1028665,1028655,629084,366725,465783,465793,429754,227772,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,437316,629074,499594,574178,623695,237310,49178,50482,629076,268845,429738,324358,50747,267414,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,49535,48472,50438,50181,50424,233514,48835"
49619,"1028665,1028655,629084,366725,465783,465793,429754,227772,301236,49764,848109,552152,300628,784379,784375,786925,300631,49920,437316,629074,499594,574178,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424,233514,48835,268740,49638"
49764,"1028665,1028655,629084,366725,465783,465793,429754,227772,301236,49619,848109,552152,300628,784379,784375,786925,300631,49920,437316,629074,499594,574178,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424,233514,48835,49477,268740,49758,49677,50874,50804,49636"
848109,"1028655,629084,366725,465783,465793,429754,227772,301236,49619,49764,552152,300628,784379,784375,786925,300631,49920,437316,629074,499594,574178"
552152,"1028655,366725,465783,465793,429754,227772,301236,49619,49764,848109,300628,784379,784375,786925,300631,49920,629075,437316,629074,237310,345821,49178,50482,324358,267414,345822,222354,342616,50163,465797,50710,49633"
300628,"1028655,629084,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,784379,784375,786925,300631,49920,437316,629074,499594,574178,623695,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424,233514,48835"
784379,"1028655,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784375,786925,300631,49920,629075,437316,629074,499594"
784375,"1028655,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,300631,49920,437316,629074,499594,574178,50802,237310,345821,49178,50482,50205,268845,429738,324358,50747,360456"
786925,"629084,366725,465783,429754,227772,301236,49619,49764,848109,552152,300628,784379,300631,49920,629075,437316,629074"
300631,"629084,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,49920,629075,437316,629074,499594,574178,623695,50802,237310,345821,49178,50482,268845,429738,324358,50747,360456,267414,222354,50163,465797"
49920,"629084,366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,437316,629074,499594,574178,623695,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,222354,342616,50163,50710,49236,268739,49289,51019"
629075,"465783,429754,227772,301236,552152,784379,786925,300631,437316,629074"
437316,"465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,629074,499594,49178,50482,629076,268845,324358,267414"
629074,"366725,465783,465793,429754,227772,301236,49619,49764,848109,552152,300628,784379,784375,786925,300631,49920,629075,437316,499594,574178,623695,50802,237310,345821,49178,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163"
499594,"366725,465783,465793,429754,227772,301236,49619,49764,848109,300628,784379,784375,300631,49920,437316,629074,574178,623695,50802,237310,345821"
574178,"465793,429754,227772,301236,49619,49764,848109,300628,784375,300631,49920,629074,499594,50802,237310,345821,49178,50482,50205"
623695,"465783,465793,429754,227772,301236,300628,300631,49920,629074,499594"
50802,"465793,429754,49619,300628,784375,300631,49920,629074,499594,574178,237310,345821"
237310,"465793,429754,227772,301236,49619,49764,552152,300628,784375,300631,49920,629074,499594,574178,50802,345821,49178,50482,50205,629076,268845,429738"
345821,"465793,429754,227772,49619,49764,552152,300628,784375,300631,49920,629074,499594,574178,50802,237310,49178,50205,429738,324358,50747,360456"
49178,"465783,465793,429754,227772,301236,49619,49764,552152,300628,784375,300631,49920,437316,629074,574178,237310,345821,50482,50205,629076,268845,429738,324358,50747,360456,267414,345822,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424,233514,48835,49477,49638,49758,49677,50874,50804,49636,209457,50809,49209,48124,50345,48369,48122,51050,49361,50744,48462,49863,50244"
50482,"465783,465793,429754,227772,301236,49619,49764,552152,300628,784375,300631,49920,437316,629074,574178,237310,49178,50205,629076,268845,429738,324358,50747,360456,267414,222354,342616,50163,465797,50710,49633,49236,268739,49289,51019,273439,49535,48472,50438,50181,50424,233514,48835,49477"
50205,"465783,465793,429754,227772,49619,49764,300628,784375,49920,629074,574178,237310,345821,49178,50482,429738,324358,50747"
629076,"465793,429754,227772,301236,49619,49764,300628,49920,437316,629074,237310,49178,50482,268845,429738,324358"
268845,"465793,429754,227772,301236,49619,49764,300628,784375,300631,49920,437316,629074,237310,49178,50482,629076,429738,324358"
