player,players
632168,"348056,314650,1168667,494581,391832,432214,581379,391485,431909,446101,348024"
348056,"632168,314650,1168667,494581,391832,432214,581379,391485,431909,446101,348024,1199304,252932,230553,670031,851501,348026,274921"
314650,"632168,348056,1168667,494581,391832,432214,581379,391485,431909,446101,348024,1199304,252932,230553,670031,851501,348026,274921"
1168667,"632168,348056,314650,494581,391832,432214,581379,391485,431909,446101,348024,1199304,252932,230553,670031,851501,348026,274921,914519,230555,277472"
494581,"632168,348056,314650,1168667,391832,432214,581379,391485,431909,446101,348024,1199304,252932,230553,670031,851501,348026,230555,277472,332937,670025,431905"
391832,"632168,348056,314650,1168667,494581,432214,581379,391485,431909,446101,348024,1199304,252932,230553,670031,348026,274921,914519,230555,277472,332937,670025,431905,556749,677081,1086206,348054,341593,52962,450101,443150,399276,52280,52983,316153,457249"
432214,"632168,348056,314650,1168667,494581,391832,581379,391485,431909,446101,348024,1199304,252932,230553,670031,851501,348026,274921,230555,277472,670025,431905,1086206,348054,341593,52983,316153,457249,52917,53191"
581379,"632168,348056,314650,1168667,494581,391832,432214,391485,431909,446101,348024,1199304,252932,230553,670031,348026,274921,230555,277472,670025,431905,556749,677081,1086206,348054,341593,52962,450101,443150,399276,52280,52983,316153,457249,52917,53191,51469"
391485,"632168,348056,314650,1168667,494581,391832,432214,581379,431909,446101,348024,1199304,252932,230553,670031,348026,274921,914519,230555,277472,332937,670025,431905,556749,677081,348054,341593,52962,443150,399276,52280,52983,316153,457249,52917,53191,51469,52796,51248,51786,52997,51880"
431909,"632168,348056,314650,1168667,494581,391832,432214,581379,391485,446101,348024,1199304,252932,230553,670031,851501,348026,274921,914519,230555,277472,332937,670025,431905,556749,341593,52962,443150,52280,52983,316153,457249,52917,53191,51469,51248,51786,495551,51880"
446101,"632168,348056,314650,1168667,494581,391832,432214,581379,391485,431909,348024,1199304,252932,230553,670031,851501,348026,274921,914519,230555,277472,332937,670025,431905,556749,677081,1086206,348054,341593,52962,450101,443150,399276,52280,52983,316153,457249,52917,53191,51469,52796,51248,51786,52997,51880,53115,51436,51782,51659,274926"
