player,players
946517,"493765,951781,806241,392946,453277,827051,392945,235524,293831,55814"
493765,"946517,951781,806241,392946,453277,827051,392945,235524,293831,55814"
951781,"946517,493765,806241,392946,453277,827051,392945,235524,293831,55814,541224,453274,235519,596375,232442"
806241,"946517,493765,951781,392946,453277,827051,392945,235524,293831,55814,541224,453274,235519,596375,232442"
392946,"946517,493765,951781,806241,453277,827051,392945,235524,293831,55814,541224,453274,235519,596375,232442"
453277,"946517,493765,951781,806241,392946,827051,392945,235524,293831,55814,453274,596375,232442,938959,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996"
827051,"946517,493765,951781,806241,392946,453277,392945,235524,293831,55814,541224,453274,235519,596375,232442,938959,495964,299572,55870,55412,332996,333000,55608,55354,55633,55346"
392945,"946517,493765,951781,806241,392946,453277,827051,235524,293831,55814,541224,453274,235519,596375,232442,938959,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996,806239,333000,427178,425639,55608,55354,55633,55346,55872,55597,55353,55666,55705,235516,55787,55822"
235524,"946517,493765,951781,806241,392946,453277,827051,392945,293831,55814,453274,232442,299572,55870,959823,596456,55412,333001,672775,332996,55608,55346,55872,55343,235516,343529,55787,232443"
293831,"946517,493765,951781,806241,392946,453277,827051,392945,235524,55814,541224,453274,235519,596375,232442,938959,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996,806239,571703,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55353,55666,392944,55705,55343,235516,343529,235521,55787,55822,232443,235514,55698,55641,55805,333002"
55814,"946517,493765,951781,806241,392946,453277,827051,392945,235524,293831,541224,453274,235519,596375,232442,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996,806239,571703,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55666,392944,55705,55343,235516,343529,235521,55787,55822,55820,232443,235514,55698,55641,55805,333002,55562,55640,55391,55329,55388,55628,55416,55259,55761,55419,55854,55307,55421,55736,55612,55509,55663,55652,55573"
541224,"951781,806241,392946,827051,392945,293831,55814,453274,235519,596375"
453274,"951781,806241,392946,453277,827051,392945,235524,293831,55814,541224,235519,596375,232442,938959,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996"
235519,"951781,806241,392946,827051,392945,293831,55814,541224,453274,596375,232442,299572,55412,333000,55608,55633,55346,290462,55872"
596375,"951781,806241,392946,453277,827051,392945,293831,55814,541224,453274,235519,232442,938959,495964,299572,55870,55412,333000,55608,55633,55346,55872"
232442,"951781,806241,392946,453277,827051,392945,235524,293831,55814,453274,235519,596375,938959,495964,299572,55870,959823,596456,55412,333001,672775,1147414,332996,333000,427178,55608,55354,55346,55597,55353,55666"
938959,"453277,827051,392945,293831,453274,596375,232442,495964,299572,55870"
495964,"453277,827051,392945,293831,55814,453274,596375,232442,938959,299572,55870,55412,332996,333000,55608,55354,55633,55346"
299572,"453277,827051,392945,235524,293831,55814,453274,235519,596375,232442,938959,495964,55870,959823,596456,55412,333001,672775,1147414,332996,806239,571703,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55353,55666,392944,55705,55343,235516,343529,235521,55787,55820"
55870,"453277,827051,392945,235524,293831,55814,453274,596375,232442,938959,495964,299572,596456,55412,333001,672775,1147414,332996,806239,571703,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55353,55666,55705,235516,55787,55822,55820"
959823,"453277,392945,235524,293831,55814,453274,232442,299572,596456,55412"
596456,"453277,392945,235524,293831,55814,453274,232442,299572,55870,959823,55412,1147414,332996"
55412,"453277,827051,392945,235524,293831,55814,453274,235519,596375,232442,495964,299572,55870,959823,596456,333001,672775,1147414,332996,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55353,55666,392944,55705,55343,235516,343529,235521,55787,55820,235514,55698,55805,55562"
333001,"453277,392945,235524,293831,55814,453274,232442,299572,55870,55412,672775"
672775,"453277,392945,235524,293831,55814,453274,232442,299572,55870,55412,333001,333000,427178,55608,55633,55346,55872,55597"
1147414,"453277,392945,293831,55814,453274,232442,299572,55870,596456,55412,332996"
332996,"453277,827051,392945,235524,293831,55814,453274,232442,495964,299572,55870,596456,55412,1147414,806239,571703,333000,427178,425639,55608,55354,55633,55346,290462,55872,55597,55343,235516,343529,55787,55820,232443,235514,55698,55641,55805,333002,55562"
806239,"392945,293831,55814,299572,55870,332996,571703,333000,427178,425639,55608"
571703,"293831,55814,299572,55870,332996,806239,333000,427178,425639,55608"
333000,"827051,392945,293831,55814,235519,596375,232442,495964,299572,55870,55412,672775,332996,806239,571703,427178,425639,55608,55354,55633,55346,290462,55872,55597,55353,55666"
427178,"392945,293831,55814,232442,299572,55870,55412,672775,332996,806239,571703,333000,425639,55608,55354,55633,55346,55872,55597,55353,392944,55705,55343,235516,343529"
425639,"392945,293831,55814,299572,55870,55412,332996,806239,571703,333000,427178,55608,55346,55872,55597,55666,392944,55705,55343,235516,343529,235521,55787,55822,55820,235514,55698"
55608,"827051,392945,235524,293831,55814,235519,596375,232442,495964,299572,55870,55412,672775,332996,806239,571703,333000,427178,425639,55354,55633,55346,290462,55872,55597,55353,55666,392944,55705,55343,235516,343529,235521,55787,55822,55820,232443,235514,55698,55641,55805,333002,55562,55640,55391,55329,55388,55628,55416,55259,55761,55419,55854,55307,55421,55736,55612,55509,55663,55463,55429,55438,55675,55427,55301,55848,55756,55758,55269,55713,55578"
55354,"827051,392945,293831,55814,232442,495964,299572,55870,55412,332996,333000,427178,55608,55633,55346,55597,55353,55666"
55633,"827051,392945,293831,55814,235519,596375,495964,299572,55870,55412,672775,332996,333000,427178,55608,55354,55346,290462,55872,55597,55705,55343,55787,235514,55698,55805,333002,55562,55388,55628,55416,55259,55761,55854,55307,55421,55736,55612,55509,55663"
55346,"827051,392945,235524,293831,55814,235519,596375,232442,495964,299572,55870,55412,672775,332996,333000,427178,425639,55608,55354,55633,290462,55872,55597,55353,55666,55705,55343,235516,343529,55787,55820,232443,235514,55698,55641,55805,55388,55628,55416,55259,55761,55854,55307,55421,55736,55612,55509,55663"
