player,players
527776,"747031,641423,665053,519082,398778,887207,662973,464626,236489,632172,351588,308967,8917,247235,303669,297433,10617,8608,379140,625960,55395,539511,502714,388802,233713,277906,38924,232364,38699,940973,475281,931581,625383,422108,34102,481896,277916,234675,376116,253802,32540,236779"
747031,"527776,641423,665053,519082,457279,398778,887207,351588,303669,10617,8608,379140,547749,625960,381743,595783,440516,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699"
641423,"527776,747031,665053,519082,669855,457279,364788,398778,887207,662973,646847,455524,351588,308967,8917,311158,303669,297433,10617,8608,379140,547749,625960,381743,595783,440516,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699,554691,719715,1070173,940973,31872,475281,931581,625383,559235,422108,34102,481896,277916,234675,26421,253802,32540,236779,629084,786925,784379,366725,848109,437316,629074,300631,429754,49920,300628,301236,49619,49764"
665053,"527776,747031,641423,519082,669855,457279,12454,364788,398778,887207,662973,646847,455524,351588,308967,311158,247235,303669,297433,10617,8608,379927,327947,277390,337790,327830,481979,550187,267724,550215,372116,379143,230852,44828,46945,230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553,379140,547749,625960,381743,595783,440516,277914,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699,554691,719715,1070173,940973,475281,931581,625383,422108,34102,481896,277916,234675,26421,253802,32540,236779,39950,1158088,1072470,389666,323389,348144,43685,233901,316397,39037,40250,629084,786925,784379,366725,848109,437316,629074,300631,429754,49920,300628,301236,49619,49764"
519082,"527776,747031,641423,665053,669855,457279,12454,364788,398778,887207,662973,646847,455524,632172,351588,308967,8917,311158,247235,303669,297433,10617,8608,379927,327947,277390,337790,327830,481979,550187,600498,267724,550215,372116,379143,230852,44828,46945,494581,230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553,379140,547749,625960,381743,595783,440516,277914,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699,554691,719715,1070173,940973,31872,475281,931581,625383,559235,422108,34102,481896,277916,234675,26421,253802,32540,236779,39950,1158088,1072470,922943,389666,323389,348144,43685,233901,316397,39037,40250,629084,786925,784379,366725,848109,437316,629074,300631,429754,49920,300628,301236,49619,49764"
669855,"641423,665053,519082,298438,12454,364788,398778,887207,662973,646847,455524,464626,351588,308967,311158,247235,303669,297433,10617,8608,434813,787987,530011,501011,288284,272450,230193,219889,311592,272465,489889,272279,215155,267192,7252,7898,337790,327830,481979,550187,600498,267724,550215,379143,230852,44828,46945,494581,230555,348026,670031,391832,431905,581379,391485,431909,446101,348024,230553,381743,277914,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699,554691,719715,1070173,31872,931581,625383,34102,277916,26421,253802,32540,236779,39950,1158088,1072470,922943,389666,323389,348144,43685,233901,316397,39037,40250"
457279,"747031,641423,665053,519082,298438,12454,364788,398778,887207,662973,455524,351588,8917,24599,311158,247235,303669,297433,10617,8608,379140,547749,381743,595783,440516,539511,506612,388802,233713,277912,38699,554691,1070173,940973,931581,559235,34102,277916,26421,253802,32540,236779,526441,470917,417381,24609,414821,303427,24611,24605,17134,303423"
298438,"669855,457279,12454,398778,662973,455524,464626,308967,8917,24599,311158,247235,303669,297433,10617,8608,434813,787987,530011,501011,288284,230193,219889,311592,272465,489889,272279,215155,267192,7252,7898,526441,470917,417381,24609,414821,303427,24611,24605,17134,303423"
12454,"665053,519082,669855,457279,298438,364788,398778,887207,662973,646847,455524,464626,440780,351588,308967,8917,24599,311158,247235,303669,297433,10617,8608,434813,787987,530011,501011,288284,272450,230193,219889,311592,272465,489889,272279,215155,267192,7252,7898,379927,327947,277390,337790,327830,481979,550187,600498,267724,550215,372116,379143,230852,44828,46945,230555,348026,677081,670025,670031,391832,431905,581379,391485,431909,446101,348024,277472,230553,381743,277914,55395,539511,502714,506612,388802,233713,277912,277906,38924,232364,38699,526441,470917,417381,24609,414821,303427,24611,24605,17134,303423"
364788,"641423,665053,519082,669855,457279,12454,398778,887207,662973,646847,455524,440780,244497,308967,8917,311158,303669,297433,10617,8608,348026,670025,670031,391832,431905,581379,391485,446101,348024,277472,230553,554691,719715,1070173,940973,931581,625383,559235,34102,277916,26421,253802,32540,236779,574178,237310,50205,345821,429738,465793,629074,429754,49920,227772,300628,50482,49619,49764,49178"
