id,name
554691,AR Patel
719715,Washington Sundar
802575,T Natarajan
700167,NA Saini
1070173,Shubman Gill
940973,Mohammed Siraj
31872,S Nadeem
398438,MA Agarwal
475281,SN Thakur
1070168,PP Shaw
452044,GH Vihari
931581,RR Pant
625383,JJ Bumrah
625371,HH Pandya
559235,Kuldeep Yadav
398439,KK Nair
447587,J Yadav
32102,NV Ojha
422108,KL Rahul
30288,KV Sharma
32973,Pankaj Singh
27223,STR Binny
34102,RG Sharma
481896,Mohammed Shami
277916,AM Rahane
28235,S Dhawan
326016,B Kumar
234675,RA Jadeja
35731,R Vinay Kumar
360911,VR Aaron
376116,UT Yadav
26421,R Ashwin
302582,A Mukund
30732,P Kumar
253802,V Kohli
390484,JD Unadkat
32540,CA Pujara
33335,SK Raina
310958,A Mithun
279810,WP Saha
26806,S Badrinath
32130,PP Ojha
237095,M Vijay
31107,A Mishra
236779,I Sharma
32391,RR Powar
35281,VRV Singh
32965,MM Patel
32966,PP Chawla
34274,S Sreesanth
35280,RP Singh
28081,MS Dhoni
30045,KD Karthik
28763,G Gambhir
32685,IK Pathan
36084,Yuvraj Singh
27639,A Chopra
26829,L Balaji
32242,PA Patel
33127,A Ratra
36080,T Yohannan
34026,IR Siddiqui
27225,SB Bangar
35263,V Sehwag
28146,D Dasgupta
26802,HK Badani
28090,SS Dighe
26815,SV Bahutule
34214,RL Sanghvi
34211,Sarandeep Singh
27978,V Dahiya
30102,Z Khan
30042,SS Karim
28010,SS Das
29990,M Kaif
27641,N Chopra
30049,M Kartik
29646,W Jaffer
30018,HH Kanitkar
35673,R Vijay Bharadwaj
32346,MSK Prasad
28770,DJ Gandhi
31820,A Nehra
33066,S Ramesh
34060,R Singh
34059,RR Singh
26184,AB Agarkar
29264,Harbhajan Singh
29280,Harvinder Singh
31025,DS Mohanty
30149,NM Kulkarni
30182,A Kuruvilla
28774,D Ganesh
30750,VVS Laxman
29712,DJ Johnson
28779,SC Ganguly
28114,R Dravid
33120,V Rathour
32345,BKV Prasad
30999,PL Mhambrey
29725,SB Joshi
30030,AR Kapoor
31036,NR Mongia
36069,V Yadav
30009,VG Kambli
27622,RK Chauhan
29632,A Jadeja
26238,PK Amre
26853,ST Banerjee
34105,J Srinath
30176,A Kumble
28884,Gursharan Singh
35939,AS Wassan
33044,SLV Raju
33151,V Razdan
35320,SR Tendulkar
26257,SA Ankola
35657,M Venkataramana
33963,SK Sharma
32249,RGM Patel
33943,AK Sharma
33058,WV Raman
29299,ND Hirwani
30934,SV Manjrekar
26290,Arshad Ayub
30745,R Lamba
26293,B Arun
30151,RR Kulkarni
32179,CS Pandit
31038,KS More
35713,S Viswanath
33034,LS Rajput
33952,G Sharma
26329,M Azharuddin
32323,M Prabhakar
33949,C Sharma
34028,NS Sidhu
26928,AR Bhat
34074,L Sivaramakrishnan
33891,TAP Sekhar
33816,BS Sandhu
30923,Maninder Singh
34020,RC Shukla
26295,J Arun Lal
31808,SV Nayak
32201,GAHM Parkar
33187,P Roy
30912,AO Malhotra
34103,K Srikkanth
34109,TE Srinivasan
36078,B Yograj Singh
33975,RJ Shastri
26325,KBJ Azad
32283,SM Patil
26948,RMH Binny
36064,NS Yadav
28107,DR Doshi
36075,Yashpal Sharma
33152,B Reddy
32207,DD Parsana
31795,MV Narasimha Rao
30028,N Kapil Dev
36072,Yajurvindra Singh
35654,DB Vengsarkar
30116,SMH Kirmani
26226,S Amarnath
28813,KD Ghavri
28754,AD Gaekwad
33958,PH Sharma
30019,HS Kanitkar
31778,SS Naik
32231,BP Patel
30873,S Madan Lal
32202,RD Parkar
28794,SM Gavaskar
30135,P Krishnamurthy
29852,HK Jayantilal
26225,M Amarnath
35712,GR Viswanath
34085,ED Solkar
28772,A Gandotra
33182,AK Roy
32149,AM Pai
30938,AV Mankad
27619,CPS Chauhan
30154,UN Kulkarni
26169,S Abid Ali
33882,RC Saxena
28864,S Guha
26875,BS Bedi
35933,AL Wadekar
34215,V Subramanya
35656,S Venkataraghavan
29533,KS Indrajitsinhji
29260,Hanumant Singh
33028,Rajinder Pal
27591,BS Chandrasekhar
32357,EAS Prasanna
32222,MAK Pataudi
33850,DN Sardesai
28624,FM Engineer
30173,VV Kumar
28878,BP Gupte
34174,RF Surti
34090,MM Sood
31004,AG Milkha Singh
30178,BK Kunderan
28118,SA Durani
31045,VM Muddiah
26817,AA Baig
26268,AL Apte
29663,ML Jaisimha
28045,RB Desai
33895,AK Sengupta
34814,Surendra Nath
30066,RB Kenny
33092,VB Ranjane
29268,MS Hardikar
28861,GM Guard
26962,CG Borde
32220,CT Patankar
34154,GR Sunderam
31760,RG Nadkarni
32284,SR Patil
30974,VL Mehra
27667,NJ Contractor
34189,VN Swamy
30132,AG Kripal Singh
32236,JM Patel
26897,P Bhandari
35308,NS Tamhane
32371,PH Punjabi
28814,JM Ghorpade
28751,CV Gadkari
34007,RH Shodhan
30908,ES Maka
33027,V Rajindernath
27988,HT Dani
26269,ML Apte
31830,S Nyalchand
28756,HG Gaekwad
33062,GS Ramchand
28755,DK Gaekwad
30936,VL Manjrekar
28880,SP Gupte
28095,RV Divecha
30950,MK Mantri
28855,CD Gopinath
33186,P Roy
29721,PG Joshi
26851,SN Banerjee
33164,MR Rege
27659,NR Chowdhury
28821,Ghulam Ahmed
26849,SA Banerjee
35577,PR Umrigar
35313,KK Tarapore
29529,KC Ibrahim
33088,CR Rangachari
34741,PK Sen
33009,K Rai Singh
32309,DG Phadkar
38997,Amir Elahi
33091,KM Rangnekar
30117,G Kishenchand
29543,JK Irani
26179,HR Adhikari
34081,SW Sohoni
33859,CT Sarwate
33999,SG Shinde
32224,Nawab of Pataudi snr
31021,RS Modi
30939,MH Mankad
41030,AH Kardar
29290,VS Hazare
40329,Gul Mohammad
26860,M Baqa Jilani
33059,C Ramaswami
30970,KR Meherhomji
35930,Vizianagram
29297,DD Hindlekar
32278,Yuvraj of Patiala
31813,CS Nayudu
31061,S Mushtaq Ali
28850,MJ Gopalan
28092,Dilawar Hussain
33068,L Ramji
30996,VM Merchant
